#timestep time dt l2_h l2_h_v1 l2_h_v2 l2_h_v3 l2_b linf_h linf_h_v1 linf_h_v2 linf_h_v3 linf_b l2_H l2_v1 l2_v2 l2_v3 l2_b linf_H linf_v1 linf_v2 linf_v3 linf_b dsdu_ut waterheight e_total 
0 0.0 100.0 0.0 NaN NaN NaN 0.0 0.0 NaN NaN NaN 0.0 0.0 NaN NaN NaN 0.0 0.0 NaN NaN NaN 0.0 0.0 5942.574955414761 1.7407953877230707e8
50 730.3910964739352 14.607821929478664 4.699762802993542e-16 1.0 1.0 1.0 0.0 1.35813806137231e-14 1.0 1.0 1.0 0.0 4.687118481574384e-16 1.0 1.0 1.0 0.0 1.35813806137231e-14 1.0 1.0 1.0 0.0 8.664141195338746e-25 5942.574955414761 1.7407953877230707e8
100 1460.7821929478669 14.607821929478622 4.412326380953635e-16 1.0 1.0 1.0 0.0 9.918985841483185e-15 1.0 1.0 1.0 0.0 4.4003777033008835e-16 1.0 1.0 1.0 0.0 9.918985841483185e-15 1.0 1.0 1.0 0.0 1.5602140305586852e-24 5942.574955414761 1.7407953877230704e8
150 2191.1732894217985 14.607821929478598 5.057016540527253e-16 1.0 1.0 1.0 0.0 1.0529384970189854e-14 1.0 1.0 1.0 0.0 5.04313766260159e-16 1.0 1.0 1.0 0.0 1.0529384970189854e-14 1.0 1.0 1.0 0.0 2.0203328600834913e-24 5942.574955414761 1.7407953877230704e8
200 2921.56438589573 14.607821929478508 5.229477153160292e-16 1.0 1.0 1.0 0.0 1.3733980395899791e-14 1.0 1.0 1.0 0.0 5.215083111940248e-16 1.0 1.0 1.0 0.0 1.3733980395899791e-14 1.0 1.0 1.0 0.0 2.536615383016024e-24 5942.574955414761 1.7407953877230704e8
250 3651.9554823696617 14.607821929478433 5.251987307727259e-16 1.0 1.0 1.0 0.0 9.46118649495319e-15 1.0 1.0 1.0 0.0 5.237793938250002e-16 1.0 1.0 1.0 0.0 9.46118649495319e-15 1.0 1.0 1.0 0.0 3.0794196500577608e-24 5942.574955414761 1.7407953877230704e8
300 4382.34657884359 14.607821929478352 5.559360585934575e-16 1.0 1.0 1.0 0.0 1.2513182138486484e-14 1.0 1.0 1.0 0.0 5.544478754522693e-16 1.0 1.0 1.0 0.0 1.2513182138486484e-14 1.0 1.0 1.0 0.0 3.584614300978252e-24 5942.574955414761 1.7407953877230704e8
350 5112.737675317521 14.60782192947832 5.823210664807158e-16 1.0 1.0 1.0 0.0 1.2055382791956475e-14 1.0 1.0 1.0 0.0 5.807392833324381e-16 1.0 1.0 1.0 0.0 1.2055382791956475e-14 1.0 1.0 1.0 0.0 4.11766792680337e-24 5942.574955414761 1.7407953877230707e8
400 5843.128771791453 14.607821929478272 6.116439593812319e-16 1.0 1.0 1.0 0.0 1.3886580178076445e-14 1.0 1.0 1.0 0.0 6.100113222307949e-16 1.0 1.0 1.0 0.0 1.3886580178076445e-14 1.0 1.0 1.0 0.0 4.6501086551805856e-24 5942.574955414761 1.7407953877230707e8
450 6573.5198682653845 14.607821929478177 6.467180999668302e-16 1.0 1.0 1.0 0.0 1.0987184316719828e-14 1.0 1.0 1.0 0.0 6.450073556363801e-16 1.0 1.0 1.0 0.0 1.0987184316719828e-14 1.0 1.0 1.0 0.0 5.179763486067339e-24 5942.574955414761 1.7407953877230707e8
500 7303.910964739271 14.607821929478114 6.77809320052701e-16 1.0 1.0 1.0 0.0 1.113978409889648e-14 1.0 1.0 1.0 0.0 6.760195416987647e-16 1.0 1.0 1.0 0.0 1.113978409889648e-14 1.0 1.0 1.0 0.0 5.7344913943682555e-24 5942.574955414761 1.7407953877230707e8
550 8034.302061213157 14.607821929478042 7.132920075182502e-16 1.0 1.0 1.0 0.0 1.2970981485016476e-14 1.0 1.0 1.0 0.0 7.114068439518742e-16 1.0 1.0 1.0 0.0 1.2970981485016476e-14 1.0 1.0 1.0 0.0 6.1983990444800904e-24 5942.574955414761 1.7407953877230707e8
600 8756.862575435822 14.607821929477996 7.392074650755249e-16 1.0 1.0 1.0 0.0 1.1444983663249815e-14 1.0 1.0 1.0 0.0 7.372338944895683e-16 1.0 1.0 1.0 0.0 1.1444983663249815e-14 1.0 1.0 1.0 0.0 6.716130234107664e-24 5942.574955414761 1.7407953877230707e8
