#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut entropy h_squared 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 2.6802995045747787e-11 7.387780849071555e8 1.040022101565639e8
200 1325.1010281696128 6.6185678915014226 2.3501300195430683e-6 2.2626565174213185e-9 3.733886864045476e-9 1.512520657342975e-5 3.2946773309561195e-8 2.6221229632028553e-8 2.0126471787477204e-11 7.387780849071345e8 1.040022101565617e8
400 2647.571764640391 6.606601654808698 2.2862091995460002e-6 3.2151671561969916e-9 3.8327285319657585e-9 1.5328553217841545e-5 4.5015940308701374e-8 2.8896823600632615e-8 2.5110095624468657e-11 7.387780849071383e8 1.0400221015656374e8
600 3967.8947364085493 6.59709157174264 2.280001943556977e-6 4.2369751162249646e-9 4.319226095948085e-9 1.5458707821380813e-5 5.471882991159305e-8 3.1216202955874905e-8 2.7616102502772738e-11 7.38778084907153e8 1.0400221015656258e8
800 5286.568793779575 6.590110566642408 2.255721631221647e-6 5.2375269270186165e-9 4.8000599263404905e-9 1.4772660506423563e-5 6.270095953553323e-8 3.5080543137056e-8 3.1533104706748965e-11 7.387780849071294e8 1.0400221015656227e8
1000 6604.022874862505 6.584509515539331 2.2452038658676223e-6 6.18647135065505e-9 5.326126955859865e-9 1.4286174064181978e-5 6.933471441428196e-8 4.21273466111316e-8 2.8654093712865163e-11 7.387780849071491e8 1.0400221015656462e8
1200 7920.523000328594 6.580943567812348 2.2324875401861723e-6 7.081517185314465e-9 5.835664519964658e-9 1.3737135304836556e-5 7.530043610870507e-8 4.844851041185816e-8 3.0295961682886615e-11 7.387780849071534e8 1.0400221015656011e8
1400 9236.57247194332 6.579993415207555 2.224913050585404e-6 7.912626731345258e-9 6.3279876190880776e-9 1.3140455394022865e-5 8.032159337645339e-8 5.4006812959250805e-8 3.257343514053994e-11 7.387780849071814e8 1.040022101565663e8
1600 10552.695971588239 6.581671252476497 2.219773770870893e-6 8.670059993221597e-9 6.793180284436581e-9 1.299666655540932e-5 8.450046617980433e-8 5.8454002277441575e-8 2.6268494276315263e-11 7.387780849071349e8 1.0400221015656328e8
1800 11868.942990990394 6.580270427663989 2.2177329204278668e-6 9.346689499473587e-9 7.223111688335132e-9 1.302623559240601e-5 8.786251104453413e-8 6.110175682083607e-8 3.410645729689395e-11 7.387780849071438e8 1.0400221015656273e8
2000 13184.958698722397 6.580324416921961 2.2194899009935437e-6 9.937263323131875e-9 7.617439486918718e-9 1.317087799179717e-5 9.035301706816767e-8 6.093817939145652e-8 2.781594280212637e-11 7.38778084907151e8 1.0400221015656435e8
2200 14501.248961247757 6.583000357660627 2.2231691095077063e-6 1.0439463444725516e-8 7.971679875877955e-9 1.3442004274111241e-5 9.191009375797421e-8 5.8445202011370156e-8 3.232584452508267e-11 7.387780849071321e8 1.040022101565621e8
