#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut entropy h_squared 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 -3.949027131769448e-11 8.590948797757937e8 1.7343525023483774e8
200 1117.828498265995 5.589821649857681 27.556853539438283 0.005314755033422162 0.006723304967287105 92.47958871990159 0.07282133103395738 0.048508408653741064 -4.0878495848650075e-11 8.59094879775776e8 1.7343524198521072e8
400 2236.058663878643 5.5927775663664665 54.25235986308916 0.014291798026100562 0.02083853428032024 175.1934466643943 0.14989332519128418 0.09361958403615622 -4.112893628993529e-11 8.5909487977574e8 1.7343516917764866e8
600 3355.05594839396 5.597457785398044 79.42331077573878 0.027021152427767668 0.042914333765069465 217.52893084694733 0.22566053090575444 0.1338410607491567 -4.4051818900801705e-11 8.590948797757754e8 1.7343493691906342e8
800 4475.143240024935 5.603658746585769 102.54682003673176 0.04286587898101681 0.07204210634703762 239.53768791882794 0.2868131923798867 0.1710254664615405 -4.67503892979561e-11 8.590948797757598e8 1.734344471400307e8
1000 5596.610030681176 5.61117006002767 123.15269745442943 0.06197901513392088 0.10713181369738774 262.69108116778625 0.31855545568590626 0.211553915275557 -4.521967073850495e-11 8.590948797757559e8 1.7343360224065223e8
1200 6719.699963415864 5.619852948254739 140.79048002576317 0.0851667014815063 0.14699127937994494 285.3977732923686 0.3422956125593335 0.2837869541444902 -5.022141320914215e-11 8.590948797757771e8 1.7343228132178816e8
1400 7844.624612514374 5.629494509015313 155.08596595855923 0.11308012849441632 0.19024133465052376 305.53172744466974 0.35883999264422384 0.37970102451068355 -4.738132540193488e-11 8.590948797757802e8 1.7343039224251103e8
1600 8971.562227461201 5.639955046860875 165.80395531509598 0.14581418359126394 0.23527118473659653 322.9063861455252 0.38597213723442625 0.4856507005332129 -4.989285248920732e-11 8.590948797757634e8 1.7342794763376185e8
1800 10100.663715150871 5.651105074935633 172.8588389923985 0.18304166199310015 0.2803757971317493 338.3292431148493 0.4282746134291462 0.5984311641619091 -4.8112733766227344e-11 8.590948797757553e8 1.7342506051437563e8
2000 11232.052973958876 5.662815979868787 176.3258492898533 0.22408277630719253 0.32389608032567047 347.3612662573869 0.5091334964069163 0.7145521382980187 -5.12351901036598e-11 8.590948797757518e8 1.7342195041159067e8
2200 12365.79438887251 5.672010227754799 176.4549340881588 0.26795442443372414 0.3643284032005504 350.59497195139556 0.5852542906281837 0.8319958250633364 -5.0171724926970305e-11 8.590948797757736e8 1.7341893359226674e8
2400 13499.250303953419 5.662747991261854 173.6928502223253 0.3133739297110443 0.4004134530168368 348.85964625055385 0.645729737099618 0.9464445608071159 -4.953325326212744e-11 8.590948797757679e8 1.7341636771031335e8
2600 14630.919423170744 5.653546161212037 168.69503762796873 0.35895338415961014 0.4314157538818833 343.50024537086756 0.7534534568080287 1.0547302865674877 -4.6473924136755017e-11 8.590948797757651e8 1.734145870354369e8
2800 15760.596104111903 5.640941346294511 162.29961893071237 0.4032752739476917 0.45716581724591715 335.87144133929905 0.8656588105644356 1.152975483772288 -5.2826209692104296e-11 8.590948797757742e8 1.7341387463540205e8
3000 16886.173318903995 5.615257678963406 155.5092179620485 0.44483009264482526 0.4780290140224961 327.43833102849203 0.9720178698668538 1.2382755410653967 -5.2359540427260306e-11 8.59094879775761e8 1.734144331239716e8
3200 18006.827949447135 5.591744358060713 149.3964675479539 0.4822147549756095 0.4949588652597232 319.5299127272647 1.069170143622293 1.3076354571692526 -5.598897031542246e-11 8.590948797757545e8 1.7341634185405734e8
3400 19123.01089930072 5.570626758153793 144.96658905635476 0.5141704024586933 0.5094118205465199 313.0079387554106 1.1518116696592378 1.3591391293311363 -5.3796055427123015e-11 8.590948797757713e8 1.7341954149194556e8
3600 20235.215762700176 5.551789778299462 142.97911472627482 0.5396060325524755 0.5232349596697542 308.6391981872948 1.2189204377497882 1.4041018446809534 -5.346463134183176e-11 8.59094879775776e8 1.7342383067109853e8
3800 21343.85454747399 5.535061829543562 143.76531593475187 0.5576444630509165 0.5384768029293229 306.7172174725765 1.2664371176505997 1.4280250026214234 -4.015776241728737e-11 8.590948797757643e8 1.734288764534206e8
4000 22449.396826373963 5.5208883301681615 147.15195934933521 0.5676709117106256 0.557104516204212 309.76337415006856 1.2931606492924388 1.4254104854388983 -4.8582665739603914e-11 8.590948797757668e8 1.734342406909014e8
4200 23552.368042078037 5.509329262670803 152.55202066829733 0.5693717945766703 0.5806488753426696 323.64766129512464 1.298476796856527 1.3960400188867506 -5.23776016272808e-11 8.590948797757615e8 1.7343941835604405e8
