#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut entropy h_squared 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.6386197586435212e-13 7.387780641008914e8 1.0400221549049306e8
200 6541.466284454262 32.63737956677001 0.03792606588355277 1.5524618140831275e-5 1.825492313386409e-5 0.31070411636483186 0.00011703721936207057 9.18585819170703e-5 -2.3572502600847446e-5 7.387780639677374e8 1.04002215420867e8
400 13072.016726949889 32.64184832436279 0.03911641318207792 2.4578010781338896e-5 2.20681927462893e-5 0.3254339707239069 0.00016014162808741794 0.0001304962331162285 -2.2128087851259317e-5 7.387780638230215e8 1.0400221545106919e8
600 19604.782164322718 32.73854632003756 0.04009094940362754 3.227632492160866e-5 2.5340260981599492e-5 0.3231515975523962 0.00020000617047877256 0.00015428870369851855 -2.2249353390452735e-5 7.38778063678621e8 1.0400221554876149e8
800 26154.213906617846 32.66193207953816 0.0398292229252821 3.878103879178202e-5 2.6760416118930476e-5 0.36117321868232466 0.00025621827214328263 0.00019453290491833197 -2.2404869311045706e-5 7.387780635320752e8 1.0400221557391861e8
1000 32684.266849381765 32.67523983863995 0.039185602744994955 4.410387299755174e-5 2.714230615504538e-5 0.40015862267182456 0.0002505265091555797 0.00021798836229658392 -2.22514355025227e-5 7.387780633861841e8 1.0400221548720634e8
1200 39214.081340082186 32.67686019488918 0.03959795036797282 4.8285815058951825e-5 2.7826495391724618e-5 0.3801944172294043 0.00023757184420147848 0.00022023754913713667 -2.2305097607217757e-5 7.387780632406532e8 1.0400221535015786e8
1400 45755.6666722952 32.71453536853104 0.040036764700072155 5.140417225061981e-5 2.921656527118415e-5 0.32345350790728844 0.0002760490235308444 0.00023506782273097215 -2.2339008767126704e-5 7.38778063094238e8 1.0400221525037882e8
1600 52286.777512027154 32.65042695958361 0.03967573045208102 5.372728492731792e-5 3.112215994465208e-5 0.4039787110730231 0.0003263207514245803 0.0002467455963784948 -2.2084452244622123e-5 7.38778062949074e8 1.0400221527443425e8
1800 58817.223278923295 32.64263896697161 0.039526530836227126 5.579846849796946e-5 3.29126065860772e-5 0.41121055475719004 0.00025298530813600006 0.0002390204320254774 -2.197754737788497e-5 7.387780628054656e8 1.0400221535591598e8
2000 65362.333125650504 32.79334106289186 0.039096928478199205 5.813094077430794e-5 3.3551351550210225e-5 0.3303324130024521 0.0002393368365716242 0.0002220846793403175 -2.1932523539778942e-5 7.387780626618152e8 1.0400221537704305e8
2200 71899.92080842944 32.63563907243755 0.03814700725374259 6.0827211713915536e-5 3.311449823156598e-5 0.33386404181942453 0.0002941024818025051 0.0002535257831584037 -2.1547837330656667e-5 7.387780625195003e8 1.0400221534001222e8
2400 78430.56108565489 32.6368681625359 0.03803456900178536 6.357643946001177e-5 3.301179797882565e-5 0.29822610017936313 0.0003152115599882599 0.000276424922280194 -2.1431463992662914e-5 7.387780623793075e8 1.0400221522455376e8
2600 84965.94269603485 32.76904402876749 0.039094540520702555 6.58528673624736e-5 3.3390634603736284e-5 0.28177624174372795 0.0002859975291247263 0.0002872412790138057 -2.1740043772197234e-5 7.387780622384691e8 1.04002215095603e8
2800 91503.93732881322 32.649361377218746 0.03968746080784506 6.74057578957219e-5 3.40137268269101e-5 0.27146206637371506 0.0003134339675131548 0.000310866035298174 -2.157332994955013e-5 7.387780620969509e8 1.0400221509389092e8
3000 98034.23850542346 32.65951581031222 0.03938450626303977 6.880813071394075e-5 3.5261667942413415e-5 0.3172733095273088 0.0003450470638660663 0.0002860539635938242 -2.1319926884805162e-5 7.387780619567682e8 1.0400221516513327e8
3200 104564.53398750837 32.69701097635461 0.04022920281962816 7.046955710659151e-5 3.643571260166887e-5 0.32750576814191845 0.00033583190478270186 0.00024169064031309695 -2.1554688653678256e-5 7.387780618168839e8 1.0400221517555536e8
3400 111115.52554592829 32.69126566007867 0.0401879336102483 7.246124488986905e-5 3.618381224696339e-5 0.2781107835739931 0.0003550970139652998 0.00029671792639313077 -2.1458662923633035e-5 7.387780616758287e8 1.04002215172114e8
3600 117645.59207831566 32.66334085962915 0.039208678609861145 7.474508490676306e-5 3.511500773841201e-5 0.34598583257456994 0.000354635547547999 0.0003502418202557811 -2.1195455874461894e-5 7.387780615364913e8 1.0400221513890639e8
3800 124175.83396726039 32.65247641313981 0.03962959516085412 7.684384955388775e-5 3.453938759944986e-5 0.33542960020554347 0.00034113197263174744 0.0003588515500091427 -2.1356565183351505e-5 7.387780613978072e8 1.0400221499865724e8
4000 130714.68915812038 32.760619045929495 0.040176734387360635 7.830868804481845e-5 3.46978645685965e-5 0.30462989422312603 0.00036368859734758896 0.0003660846063580081 -2.1445679306359823e-5 7.387780612576125e8 1.0400221489075728e8
4200 137249.1901482906 32.63785281730738 0.039777809827180856 7.937804391386469e-5 3.575967308230758e-5 0.33767564525760463 0.0003793636107064513 0.0003658678950574368 -2.1132261299974886e-5 7.387780611184605e8 1.0400221494098568e8
4400 143779.8130511586 32.63572540356997 0.03980392180617325 8.043792460275836e-5 3.730564231728948e-5 0.35049816786818155 0.0003798347977030936 0.0002877226078090711 -2.1172154849297515e-5 7.38778060980689e8 1.0400221502114351e8
4600 150318.54353258497 32.80292541923411 0.040237444705733344 8.168182320797049e-5 3.78415799716127e-5 0.31279437824719025 0.000386153109530607 0.0002656422504814515 -2.1388804464812262e-5 7.387780608413612e8 1.040022150439823e8
4800 156862.6175150479 32.640936026435604 0.039689678881164606 8.3430524330031e-5 3.6937411026985744e-5 0.29319291394358515 0.00039771713977676537 0.00033852680267476565 -2.105021520966052e-5 7.387780607022752e8 1.0400221499563377e8
5000 163393.1120456204 32.64754010073363 0.039347156253603466 8.540827173667077e-5 3.613919053461835e-5 0.3143629495521054 0.00036564183117560045 0.00039206101869859733 -2.0914194694446847e-5 7.387780605655807e8 1.0400221485224283e8
5200 169924.68559939525 32.72128780135151 0.04012364164682635 8.691298274137985e-5 3.619946151483762e-5 0.32543298073596816 0.00038277108874662513 0.0003949743653177684 -2.1254696960997067e-5 7.387780604278022e8 1.0400221473994403e8
5400 176465.86250052246 32.672369056321756 0.040331506504933515 8.77520392308526e-5 3.712007337985903e-5 0.2844451954786109 0.0003972780988963365 0.0003921706576657247 -2.1138895008932055e-5 7.387780602888227e8 1.0400221475348826e8
5600 182995.71274877962 32.68006196685686 0.03981488853701768 8.841848600233727e-5 3.873256120227362e-5 0.31436648689373214 0.0003907329513374025 0.0003586111698251626 -2.0900197534355453e-5 7.38778060151819e8 1.0400221482977249e8
5800 189525.67961678302 32.666085145968516 0.04044437310747054 8.919450383170808e-5 4.008882664779755e-5 0.3307221279969781 0.00041404414301104975 0.00023959672625478712 -2.1200431781249112e-5 7.387780600145403e8 1.0400221487807603e8
6000 196075.6457502965 32.73131066227928 0.040715679138378987 9.026610548710102e-5 3.9987316071075896e-5 0.30239709322881936 0.00041981629891296723 0.000330254130848473 -2.1245393626804187e-5 7.387780598752055e8 1.040022148404482e8
6200 202607.8058114672 32.644022546579755 0.039924080308738764 9.177136025140432e-5 3.889198989392419e-5 0.31509831997800575 0.0004107725553141872 0.0003887255841603654 -2.0933418999225216e-5 7.387780597374474e8 1.0400221471401818e8
6400 209138.336719857 32.638805164276555 0.040188952002173435 9.330994896001195e-5 3.8166662415456045e-5 0.3205614754474482 0.0004023161171161638 0.0004248655321601458 -2.1087547022572882e-5 7.387780596006129e8 1.0400221461009288e8
6600 215681.17427708226 32.81677394030993 0.04071435348463876 9.430956323927067e-5 3.82030635464428e-5 0.32577002048628856 0.00042376604261373796 0.00042964538511780503 -2.1268126195530195e-5 7.387780594617485e8 1.040022145964785e8
6800 222212.00552361563 32.636409937402725 0.04031985549998435 9.486137800786962e-5 3.90666049258003e-5 0.301534682091642 0.00042261841534141364 0.00040987305163064924 -2.093199491294231e-5 7.387780593238392e8 1.040022146265355e8
7000 228742.590224277 32.6397249648556 0.0400880613313412 9.543971667772225e-5 4.0503356511677576e-5 0.3329022298394193 0.00041264287487485785 0.00035369711460264686 -2.0937342754060465e-5 7.387780591875106e8 1.0400221466454883e8
7200 235276.21636938798 32.74904909059323 0.040729639079949025 9.62307343128604e-5 4.11419191333117e-5 0.33040072159769807 0.00042868653892291775 0.0002690828315750071 -2.1276104315137817e-5 7.387780590494562e8 1.0400221468378943e8
7400 241825.0324533848 32.65721645836498 0.04046483270749036 9.748968702997803e-5 4.0183209474453264e-5 0.2712997188971258 0.000441766774376795 0.000382568836447994 -2.1035962219383504e-5 7.387780589105399e8 1.0400221461878705e8
7600 248355.17605930747 32.66906506083934 0.039898301570359784 9.911668836389492e-5 3.888290589877294e-5 0.3058691916767202 0.0004114346194254992 0.00041582873002543597 -2.08209937622821e-5 7.387780587741914e8 1.0400221449411236e8
7800 254885.0834132644 32.68382451320664 0.040533726264627805 0.0001004732398166328 3.825644051580329e-5 0.34370898738484357 0.0004212525606023254 0.00043724427197433524 -2.1152306039079678e-5 7.387780586372263e8 1.0400221439992565e8
8000 261426.8068570695 32.70605951689832 0.04077397710033766 0.00010120880621238541 3.8478693997892506e-5 0.31373857787502857 0.00045812592479599346 0.0004555363865129669 -2.1083687648200884e-5 7.387780584986849e8 1.040022143998195e8
