#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut entropy h_squared 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 -6.8755194029852074e-12 7.387780849071592e8 1.0400221015656458e8
200 3184.816940290814 15.916693097430931 2.1267370153986148e-11 2.8775156715035384e-15 2.7771315944399667e-15 2.2919266484677792e-10 3.7270880826056896e-13 4.096931127683945e-13 -7.455120644632472e-12 7.387780849071571e8 1.0400221015656453e8
400 6369.3787973191065 15.935628932325228 3.730248999841894e-11 4.5432988497340005e-15 4.674427785835636e-15 4.474713932722807e-10 6.08388339706778e-13 6.867423296696984e-13 -6.069423754039972e-12 7.387780849071609e8 1.0400221015656383e8
600 9561.81581469792 15.995135907798343 5.031352380578233e-11 6.6293854951008214e-15 7.133152822331287e-15 5.602487362921238e-10 8.421319197537969e-13 1.1840528557627295e-12 -7.464562014717253e-12 7.387780849071454e8 1.0400221015656482e8
800 12762.883058666173 15.977553287547734 5.974577135467696e-11 8.992492946275735e-15 1.0255045464249066e-14 6.875779945403337e-10 1.1730061366677091e-12 1.5949463971764999e-12 -7.613938259170162e-12 7.387780849071614e8 1.0400221015656275e8
1000 15952.690501385712 15.927511340059667 6.503072460794511e-11 1.1968547555364877e-14 1.3800931987794214e-14 7.912603905424476e-10 1.3840595336489514e-12 2.010946964503546e-12 -6.961884977776158e-12 7.38778084907152e8 1.0400221015656334e8
1200 19136.573244131 15.918151258424885 6.639892428801253e-11 1.5410615484639727e-14 1.7327235613661767e-14 8.531060302630067e-10 1.6228685062458226e-12 2.3104851365474133e-12 -7.450689281477708e-12 7.387780849071628e8 1.0400221015656333e8
1400 22322.16521654858 15.929281213450452 6.4921434578468e-11 1.9107762396053208e-14 2.0432419286000367e-14 9.51331458054483e-10 1.7990886558294505e-12 2.5672519665675964e-12 -6.983532309431904e-12 7.387780849071567e8 1.040022101565627e8
1600 25506.17126739135 15.917560864803853 6.234553337333584e-11 2.2929176599455313e-14 2.302831187255457e-14 9.258656064048409e-10 2.0352886043184526e-12 2.7788327194855356e-12 -6.8004772263892395e-12 7.387780849071592e8 1.0400221015656449e8
1800 28691.91078625546 15.946484514436808 6.084662393470061e-11 2.6593163227482676e-14 2.4744212790191293e-14 1.344233169220388e-9 2.6140756226311623e-12 3.1596392169319643e-12 -6.987644856139366e-12 7.387780849071532e8 1.0400221015656354e8
2000 31887.508926568804 16.015777351178397 6.219292508485627e-11 3.0134706267502675e-14 2.5996882716417062e-14 1.178705133497715e-9 2.5157792515884125e-12 3.798406034150048e-12 -7.484101805282487e-12 7.38778084907159e8 1.040022101565635e8
2200 35086.79837523616 15.96155982383227 6.705715385580518e-11 3.339818374890232e-14 2.6392462244663392e-14 1.4351826393976808e-9 2.472522186991455e-12 4.002465026076152e-12 -4.8621868975031656e-12 7.387780849071577e8 1.0400221015656318e8
2400 38274.40162789243 15.921447523967846 7.302083841664047e-11 3.6910569806415095e-14 2.60857567061582e-14 1.3769749784842134e-9 3.623989996981436e-12 4.432010314303625e-12 -6.8917543333734335e-12 7.38778084907167e8 1.0400221015656383e8
2600 41458.07482203078 15.922046297109794 7.91890182995376e-11 4.010134004207875e-14 2.5733153921265366e-14 1.395164872519672e-9 3.2958080709022397e-12 4.12020417783765e-12 -5.352936825089637e-12 7.3877808490716e8 1.0400221015656461e8
2800 44633.61097620132 15.922758922300833 8.456017929605737e-11 4.305903138375781e-14 2.5486830385895214e-14 1.3133103493601084e-9 4.679978626853654e-12 4.029998557086856e-12 -6.166248231311224e-12 7.387780849071646e8 1.0400221015656435e8
3000 47817.29133251574 15.920815050075033 8.932783801802106e-11 4.5460622835997204e-14 2.611582597219621e-14 1.8935679690912366e-9 6.541989172603735e-12 4.555272825612633e-12 -4.0916297400746835e-12 7.387780849071527e8 1.040022101565638e8
3200 51004.67237122247 15.959579011710648 9.401179119436735e-11 4.742033378436662e-14 2.703501146149672e-14 2.4683686206117272e-9 6.814326880544286e-12 6.706996069638649e-12 -6.188402295057167e-12 7.387780849071531e8 1.0400221015656435e8
3400 54203.64225557648 16.018753502478155 9.995575607237513e-11 4.880991110245594e-14 2.917180553601006e-14 2.852175384759903e-9 5.857314633317401e-12 8.716000143849101e-12 -4.725332379907179e-12 7.387780849071574e8 1.0400221015656249e8
3600 57399.63472420247 15.948141491568405 1.0579495812575349e-10 4.962340798153239e-14 3.1431836048970695e-14 3.103195922449231e-9 6.220191028916133e-12 7.280481773008773e-12 -4.659263848309669e-12 7.3877808490715e8 1.0400221015656295e8
3800 60585.541005536485 15.917866160785989 1.1275845727341932e-10 5.068387356595803e-14 3.3706579973745926e-14 2.191882231272757e-9 6.300571175898995e-12 6.971478949679977e-12 -4.631421582241211e-12 7.387780849071598e8 1.0400221015656367e8
4000 63769.48479885303 15.928248680651933 1.1963488904754572e-10 5.166147620802574e-14 3.642168877408532e-14 2.3756001610308886e-9 5.710210082554568e-12 5.947881076551198e-12 -2.772371110042788e-12 7.387780849071568e8 1.0400221015656339e8
4200 66955.13542957845 15.918536959308893 1.2739631522793853e-10 5.294034639103386e-14 3.887696165485652e-14 2.5047484086826444e-9 5.509814826609727e-12 6.229794458079141e-12 -2.9184263747640787e-12 7.387780849071544e8 1.0400221015656321e8
4400 70138.9692464188 15.92654707719093 1.3537388719281313e-10 5.4776769241912535e-14 4.067790903318605e-14 2.470187610015273e-9 6.450340261920928e-12 7.46985806543421e-12 -4.619247388644259e-12 7.387780849071542e8 1.0400221015656385e8
4600 73328.49847533862 15.975246928313476 1.4264927948787484e-10 5.692923190581854e-14 4.2724305277171935e-14 3.865352482534945e-9 6.739275804079625e-12 1.0988293608349409e-11 -3.915955984681406e-12 7.387780849071423e8 1.0400221015656202e8
4800 76529.45266614594 15.997794637501793 1.4755347386273685e-10 5.908870726469466e-14 4.494053806822672e-14 3.508830559439957e-9 7.202349827650778e-12 1.2431999873996347e-11 -4.388129925988631e-12 7.387780849071565e8 1.0400221015656206e8
5000 79722.22882363849 15.936955831436865 1.4937859208971293e-10 6.22168050510915e-14 4.73565441515804e-14 3.3305695978924632e-9 8.091194381165678e-12 8.508763138515008e-12 -5.512530302096243e-12 7.387780849071558e8 1.040022101565635e8
