N   M   resolution_km            l2_height_normalized     order
2   4   2.50197224330054496e+03  2.10862405190020714e-03  missing
3   4   1.66798149553369672e+03  3.92652671501998599e-04  missing
4   4   1.25098612165027248e+03  4.21113229879966291e-05  missing
5   4   1.00078889732021798e+03  5.30059815060497124e-06  missing
6   4   8.33990747766848358e+02  5.48161291617313778e-07  missing
7   4   7.14849212371584258e+02  5.94820199585663073e-08  missing
8   4   6.25493060825136240e+02  5.89682071782060678e-09  missing
9   4   5.55993831844565534e+02  5.30031862454623925e-10  missing
10  4   5.00394448660108992e+02  5.39982860004707112e-11  missing
11  4   4.54904044236462710e+02  3.85880342385833973e-12  missing
12  4   4.16995373883424179e+02  5.55330798810587460e-13  missing
13  4   3.84918806661622284e+02  5.61677556011991212e-14  missing
14  4   3.57424606185792129e+02  1.76343233048982401e-14  missing
15  4   3.33596299106739309e+02  3.78587393125581091e-14  missing
16  4   3.12746530412568120e+02  1.35570791529701749e-14  missing
