#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut entropy h_squared 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 2.9884648860596507e-12 7.38778084907083e8 1.0400221015658548e8
200 6369.380065027616 31.870865814204933 5.973152797970443e-5 1.523808243613566e-8 1.298911115241868e-8 0.0005331963780008664 1.9317825084019802e-7 1.170129147465282e-7 -5.123374397283901e-11 7.3877808490708e8 1.0400221015658396e8
400 12762.86351361008 31.955810748042293 5.973174610550654e-5 2.4422354647099772e-8 1.6300970157611935e-8 0.0006235328744423896 2.868046527493284e-7 2.0928639585249265e-7 -4.8275037362519676e-11 7.387780849070857e8 1.040022101565839e8
600 19136.583445633154 31.83619460902476 5.927206345443735e-5 3.095776427272809e-8 1.8397037383494128e-8 0.0006833217241819511 2.719306117504594e-7 2.0658754446012395e-7 -4.9558228992028415e-11 7.38778084907077e8 1.0400221015658456e8
800 25506.181805824137 31.835037904737625 5.8553801332428886e-5 3.620094478986262e-8 1.8763445819689913e-8 0.0005905261489260738 3.947537723369976e-7 2.8990259054451073e-7 -4.80950518674444e-11 7.387780849070808e8 1.0400221015659556e8
1000 31887.470107182595 32.030662418037586 5.876190904220565e-5 4.053589800898646e-8 1.9212090125818697e-8 0.0006891254690799542 3.680682786333378e-7 3.310800618314125e-7 -4.7156291962484865e-11 7.387780849070777e8 1.0400221015660281e8
1200 38274.41024543361 31.84309398530739 5.8645349455919895e-5 4.3655258994708634e-8 1.9646003941533144e-8 0.0006587229661363381 4.2168687874877264e-7 2.746442062315224e-7 -4.9049386216100795e-11 7.387780849070743e8 1.0400221015657584e8
1400 44633.61799726301 31.84574119355439 5.9662814378809355e-5 4.5554516417786545e-8 2.064626541156813e-8 0.0005632193108340289 3.811730781011491e-7 2.404307897219127e-7 -4.7854944853368284e-11 7.387780849070737e8 1.040022101565772e8
1600 51004.66093407875 31.91856781546664 6.011756523606832e-5 4.7158976598177875e-8 2.2310404379885207e-8 0.0006649944359651272 3.7520100271137835e-7 2.435876893247535e-7 -5.054475297323099e-11 7.387780849070741e8 1.0400221015660664e8
1800 57399.6292954696 31.896790810548154 5.953590259104395e-5 4.876120733028433e-8 2.3531958501919443e-8 0.0007540027650065895 3.832445546469998e-7 2.6622740523229993e-7 -5.1652352780002584e-11 7.387780849070784e8 1.0400221015659592e8
2000 63769.48933994312 31.85619457773892 5.9109604328918253e-5 5.022496050388765e-8 2.3445300733640798e-8 0.0006436286366806598 3.678532301543136e-7 2.93252410965561e-7 -4.98139483799248e-11 7.387780849070749e8 1.0400221015659125e8
2200 70138.97480513444 31.85281147837452 5.916327022546246e-5 5.2045298492531305e-8 2.3456249141638965e-8 0.0006476062249021197 3.997559455126698e-7 3.314190254732896e-7 -4.939620969218506e-11 7.387780849070795e8 1.0400221015659635e8
2400 76529.42248363885 31.996400144029277 5.8815786485823304e-5 5.421051760427691e-8 2.3655663042372266e-8 0.0008225423566727841 3.931445244909071e-7 3.5424108009440847e-7 -4.9110726285185823e-11 7.387780849070739e8 1.040022101565939e8
2600 82906.91163370029 31.83333605701415 5.891417443867195e-5 5.593084803243481e-8 2.35145264626136e-8 0.0007076638407852442 3.859348335355506e-7 2.8011496872037966e-7 -4.865550832800654e-11 7.38778084907075e8 1.0400221015659253e8
