N   M   resolution_km            l2_height_normalized     order
2   4   2.50197224330054496e+03  1.13550525962482249e-03  missing
3   4   1.66798149553369672e+03  9.30261832254755092e-05  missing
4   4   1.25098612165027248e+03  1.00082078245703494e-05  missing
5   4   1.00078889732021798e+03  7.26666263062869834e-07  missing
6   4   8.33990747766848358e+02  7.49990022642465816e-08  missing
7   4   7.14849212371584258e+02  6.08933253572627815e-09  missing
8   4   6.25493060825136240e+02  7.48889095326027848e-10  missing
9   4   5.55993831844565534e+02  6.29279624769127875e-11  missing
10  4   5.00394448660108992e+02  7.87336534364670374e-12  missing
11  4   4.54904044236462710e+02  6.68654809959508351e-13  missing
12  4   4.16995373883424179e+02  8.45113321569507917e-14  missing
13  4   3.84918806661622284e+02  1.45417114966055867e-14  missing
14  4   3.57424606185792129e+02  1.24264930559771399e-14  missing
15  4   3.33596299106739309e+02  7.54730928094958825e-15  missing
16  4   3.12746530412568120e+02  8.30927236849367463e-15  missing
