#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut entropy h_squared 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 1.183577425637245e-12 6.049694847641275e8 1.2304772251844485e8
200 6813.767353823188 34.068813224231 0.0004418423650709662 3.269855442213898e-6 1.322178015493471e-6 0.004348839311205666 0.00011088141272415364 5.329379829303871e-5 1.6190746543794649e-12 6.04969484764117e8 1.2304772251844312e8
400 13627.527170427236 34.06879147422789 0.00047830159135816945 5.747538101832885e-6 2.3424867158719834e-6 0.004529770096269203 0.00025545718602774936 9.42981442444285e-5 1.0510719161171057e-12 6.049694847641134e8 1.2304772251844563e8
600 20441.286419533713 34.06879504130397 0.0005057368234104863 7.995739114343797e-6 3.4616170975565723e-6 0.006274680787100806 0.0004191888931683596 0.0001416068195712883 1.4357256453644856e-12 6.049694847641186e8 1.2304772251844431e8
800 27255.04493402412 34.06878241360055 0.0005733232776325326 1.0204620557800346e-5 4.651106317633919e-6 0.007592383914015954 0.0005927122136548391 0.00024031613174499422 1.1631351137254756e-12 6.049694847641245e8 1.2304772251844756e8
1000 34068.802323546566 34.068790040520945 0.0006775230902657925 1.2410730896179454e-5 5.859344857232785e-6 0.008814600198093103 0.0007462083128984276 0.00036171756131832267 1.1593335096787718e-12 6.04969484764117e8 1.2304772251844308e8
1200 40882.55685074624 34.06876911127437 0.0007311444403025149 1.4561441432407419e-5 7.195676364895709e-6 0.010244959652482066 0.0008853201479484263 0.0003871702671029431 1.0552789852896419e-12 6.049694847641172e8 1.2304772251843065e8
1400 47696.30934750232 34.068773674005 0.0007793478812347419 1.6650337932662937e-5 8.570341973257631e-6 0.010682927235393436 0.0009900333305483539 0.00040688695596183266 1.0730232799283927e-12 6.049694847641122e8 1.2304772251843056e8
1600 54497.363903416386 34.06877606178603 0.0009257118068371092 1.8725901864715505e-5 1.0014222843055858e-5 0.015273727110979962 0.00114846667688899 0.0004604320486598923 9.65334009629321e-13 6.049694847641066e8 1.2304772251842768e8
1800 61311.1135180776 34.06869887624216 0.000991454688865601 2.0778223571582566e-5 1.1549909017510875e-5 0.015671074386773398 0.0013340457739377115 0.0005399148847768237 1.1241788850702288e-12 6.04969484764126e8 1.2304772251842481e8
