#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut entropy h_squared 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 2.265438696654419e-12 6.049694847635326e8 1.230477225183268e8
200 3425.0991019578737 17.125495483476495 9.950200335246324e-7 3.24166895211986e-8 1.0906008692396665e-8 2.8781114451703615e-5 9.158458498248478e-7 6.100642238049403e-7 2.3245377518265336e-12 6.049694847635281e8 1.2304772251832747e8
400 6850.198199008605 17.125495482948207 1.2050442963701105e-6 5.663741152310805e-8 1.8973785855241636e-8 3.005339385708794e-5 1.7045574976504163e-6 8.332216552275895e-7 1.824658747584815e-12 6.049694847635219e8 1.2304772251832831e8
600 10275.297296643766 17.125495512055757 1.4245121090385926e-6 7.598604131190135e-8 2.4784360967594453e-8 4.423220889293589e-5 2.6020127678050287e-6 8.925167485074326e-7 1.650242502432201e-12 6.049694847635162e8 1.230477225183331e8
800 13700.396396725322 17.125495493911114 1.60815192554926e-6 9.20843582992029e-8 2.937538720017865e-8 5.244972635409795e-5 3.758416642907214e-6 1.2205918680230354e-6 2.018963779069228e-12 6.049694847635703e8 1.2304772251833214e8
1000 17125.495499516743 17.125495515180077 1.7683987247685284e-6 1.0561832720992969e-7 3.3005460769096464e-8 5.781984327768441e-5 4.812822983701892e-6 1.5721930641809934e-6 1.6997202773728765e-12 6.049694847635435e8 1.2304772251832591e8
1200 20550.59460355349 17.125495532834083 1.8989415103611636e-6 1.1732818620996493e-7 3.610395314665616e-8 6.207648766576312e-5 5.570557744749571e-6 1.8863812031866267e-6 1.8281609529106627e-12 6.049694847635528e8 1.2304772251833077e8
1400 23975.693710357315 17.125495537582246 2.0063199993714993e-6 1.2766276626326776e-7 3.8842785438151145e-8 6.226378172868863e-5 5.998148619901222e-6 2.1530173041073297e-6 1.2688728088624971e-12 6.049694847635548e8 1.230477225183204e8
1600 27400.792817723257 17.125495535397402 2.101743206742929e-6 1.368200004267003e-7 4.1356339069992035e-8 6.274217048485298e-5 6.138956979317989e-6 2.3817848968654687e-6 1.1878380926335322e-12 6.049694847635425e8 1.2304772251832682e8
1800 30825.89192511663 17.12549553593716 2.1777864437568042e-6 1.4505950369890735e-7 4.375959409113898e-8 6.646621113759466e-5 6.057952576909997e-6 2.592451492117176e-6 1.4668572211946326e-12 6.049694847635454e8 1.2304772251832269e8
2000 34250.99103103515 17.125495522271798 2.238901575198363e-6 1.5258044071204429e-7 4.617605947760734e-8 6.869042044854723e-5 5.798190794270575e-6 2.7645295559708405e-6 1.3947603594822103e-12 6.049694847635518e8 1.2304772251833113e8
2200 37676.09013270701 17.125495494741013 2.2912621697235113e-6 1.5954342805725647e-7 4.856677603315846e-8 6.99662650731625e-5 5.510194201419072e-6 2.931357623053854e-6 1.1737415601546046e-12 6.049694847635313e8 1.2304772251832758e8
2400 41101.18923035349 17.125495482691683 2.3346309190998187e-6 1.660475358488268e-7 5.104915317379812e-8 7.050878048175946e-5 5.904919009480647e-6 3.0771827617959158e-6 1.4170566704785418e-12 6.049694847635573e8 1.2304772251832587e8
2600 44526.28832637954 17.125495477229066 2.371848207405086e-6 1.721523215505563e-7 5.3523493429163415e-8 7.073773667798378e-5 6.224783129116229e-6 3.2166129817212674e-6 8.731428426318807e-13 6.049694847635478e8 1.2304772251832889e8
2800 47951.387420378254 17.125495464577526 2.4088816751304393e-6 1.7789331296006673e-7 5.586960103468091e-8 7.080967407091521e-5 6.46307951168712e-6 3.330542730051178e-6 1.0703537986437426e-12 6.049694847635432e8 1.2304772251833078e8
3000 51376.48651404447 17.125495468680565 2.444836336410168e-6 1.832941640388989e-7 5.813048929377269e-8 7.102044764906168e-5 6.614747266486809e-6 3.425160977066355e-6 1.5187070005580718e-12 6.049694847635467e8 1.2304772251832815e8
3200 54785.58522018108 17.125495466287642 2.4793466482565823e-6 1.883512396448644e-7 6.040947470389263e-8 7.162081783462781e-5 6.662276915925247e-6 3.519721394867892e-6 1.5141875570810799e-12 6.049694847635162e8 1.230477225183296e8
3400 58210.68431331932 17.125495465039986 2.51569754409181e-6 1.932232222857675e-7 6.274736889166316e-8 7.222754175018054e-5 6.612582539811118e-6 3.578658599651119e-6 9.59611439487063e-13 6.049694847635347e8 1.2304772251833351e8
3600 61635.78340642758 17.12549546659198 2.549316642251221e-6 1.9783414260242265e-7 6.501700774014212e-8 7.257853758346755e-5 6.469858879254442e-6 3.6561627542730513e-6 1.2046087808244858e-12 6.049694847635205e8 1.2304772251832668e8
3800 65060.88250000266 17.125495468117204 2.58180331205284e-6 2.023030253805538e-7 6.693152833143751e-8 7.273966366483364e-5 6.22516423959274e-6 3.72022709882458e-6 1.284087594329354e-12 6.049694847635363e8 1.2304772251832512e8
4000 68485.98159383179 17.12549547050986 2.6111916737404324e-6 2.065994647392906e-7 6.870903714311425e-8 7.307759187824558e-5 6.098849528624051e-6 3.7596866906131066e-6 1.2265906808974972e-12 6.049694847635146e8 1.2304772251832795e8
4200 71911.08068833982 17.125495472736358 2.6388661622541583e-6 2.106894150301257e-7 7.047349960836915e-8 7.36033616703935e-5 6.389642724258238e-6 3.797629745172504e-6 1.1150295699173333e-12 6.049694847635365e8 1.2304772251832798e8
4400 75336.17978280089 17.125495473237446 2.6644580784821153e-6 2.1460858934556957e-7 7.237686247159139e-8 7.395483225991484e-5 6.556566889359683e-6 3.838006820661155e-6 1.475583413509774e-12 6.049694847635581e8 1.2304772251833032e8
4600 78761.27887683593 17.125495471852723 2.6898231624376717e-6 2.1836180555320433e-7 7.458506266896222e-8 7.438573811668903e-5 6.815243883573352e-6 3.865438753997141e-6 9.598940598144057e-13 6.049694847635369e8 1.2304772251833047e8
4800 82186.37797092988 17.12549546429709 2.715595228299629e-6 2.2194467092922478e-7 7.71395339122338e-8 7.432316851918586e-5 6.876752413342846e-6 3.890702218400932e-6 6.434426360651969e-13 6.049694847635255e8 1.2304772251832242e8
5000 85611.47706617179 17.125495485365608 2.740475523602719e-6 2.2532509656723633e-7 8.005705128286066e-8 7.407486555166543e-5 7.066562074442562e-6 3.898468208751726e-6 1.4986083794981961e-12 6.049694847635264e8 1.2304772251832432e8
5200 89036.57616071183 17.125495463540727 2.76368821315934e-6 2.2856167051463276e-7 8.314778325535601e-8 7.42484498914564e-5 7.069989811869792e-6 3.9353992996871145e-6 1.2676466613970763e-12 6.049694847635511e8 1.230477225183246e8
5400 92461.67525427292 17.125495470775782 2.7883688836270426e-6 2.3174019067901217e-7 8.633453359340193e-8 7.415173968183808e-5 7.144006364034894e-6 3.9605506008677516e-6 1.29360862425573e-12 6.049694847635524e8 1.230477225183284e8
5600 95886.77434852121 17.125495469694478 2.812052033089483e-6 2.348566078130203e-7 8.96485144406161e-8 7.441876732627861e-5 7.067026267182364e-6 3.95507585315702e-6 9.568712984851816e-13 6.049694847635188e8 1.2304772251832637e8
5800 99311.87344181364 17.125495469418507 2.833102967040323e-6 2.3790775653474276e-7 9.298797383934275e-8 7.420566907967441e-5 6.811270540640901e-6 3.955627369156556e-6 1.0243183497587756e-12 6.049694847635275e8 1.2304772251833077e8
6000 102736.97253705974 17.12549547954518 2.851846071368611e-6 2.409348315723045e-7 9.618959582367985e-8 7.344301047851332e-5 6.783011388122873e-6 3.956769277418948e-6 7.902540021184468e-13 6.049694847635778e8 1.230477225183226e8
6200 106146.07134851915 17.12549547012247 2.8726229885203283e-6 2.439726810723898e-7 9.910253067110812e-8 7.730886864010245e-5 6.461937764545844e-6 3.96194046159426e-6 1.2505616313877316e-12 6.049694847635372e8 1.23047722518323e8
6400 109571.17044049055 17.125495453507863 2.8955970997173027e-6 2.4707529116665726e-7 1.0170995386278816e-7 7.97135380707914e-5 6.306258824972932e-6 3.9589345496859885e-6 9.330755746151534e-13 6.049694847635571e8 1.2304772251832254e8
6600 112996.26953208397 17.12549546624203 2.919315388228615e-6 2.5018955776092323e-7 1.0406833077928157e-7 7.855626972741447e-5 6.467078996499898e-6 3.946073868610345e-6 1.2895210981192346e-12 6.04969484763542e8 1.2304772251832907e8
6800 116421.36862773648 17.12549548937459 2.943047702766645e-6 2.5326880931593287e-7 1.0623710618476401e-7 7.744896902295295e-5 6.71514382592775e-6 3.941572025434326e-6 1.2155380694776526e-12 6.04969484763541e8 1.2304772251833135e8
7000 119846.46772628285 17.12549548986627 2.9685561012340154e-6 2.5630691084557733e-7 1.0828212321396944e-7 7.857400851207785e-5 7.117182157595492e-6 4.264907568954368e-6 9.128515855718244e-13 6.04969484763543e8 1.2304772251831909e8
7200 123271.56682201943 17.125495467463683 2.995634321238882e-6 2.5929630545092703e-7 1.1032256719114176e-7 7.802294385328423e-5 7.535991384463592e-6 4.573780851363507e-6 1.1762609244415832e-12 6.04969484763534e8 1.2304772251833005e8
7400 126696.66591391807 17.12549545303627 3.0220262635668752e-6 2.622147593439819e-7 1.1243575390539692e-7 7.62689614930423e-5 7.970392316369868e-6 4.412221014826745e-6 9.956774567098565e-13 6.049694847635367e8 1.2304772251832646e8
7600 130121.765003939 17.125495449492302 3.0436988727225482e-6 2.6505270939293857e-7 1.1460219021474428e-7 7.777805330988485e-5 8.420085152616164e-6 4.391326442185206e-6 1.7498633060572656e-12 6.049694847635368e8 1.2304772251832773e8
7800 133546.8640946557 17.1254954587604 3.061816533933196e-6 2.677955709746396e-7 1.1676818104073713e-7 7.787751383148134e-5 8.881511512057183e-6 4.848270516333297e-6 3.2024218113088574e-13 6.049694847635211e8 1.2304772251832467e8
8000 136971.9631867444 17.125495462203215 3.0815539885365435e-6 2.704617158743507e-7 1.1884661526180866e-7 7.728413766017184e-5 9.349267540578743e-6 4.855107424595051e-6 8.755728928177315e-13 6.049694847635223e8 1.2304772251833186e8
8200 140397.06227975365 17.125495471033897 3.108506443066147e-6 2.730951244739463e-7 1.208098316677212e-7 7.77120039856527e-5 9.819165425542509e-6 4.486126519195888e-6 9.966532424364754e-13 6.049694847635367e8 1.2304772251832506e8
8400 143822.16137557433 17.125495483311 3.1446491579233327e-6 2.7574020032349447e-7 1.226643976640749e-7 7.795583405822981e-5 1.028941003958228e-5 4.582889640794563e-6 1.0145498433842588e-12 6.049694847635355e8 1.2304772251832782e8
8600 147247.26047194315 17.125495480768787 3.1887706401235394e-6 2.7843358816450034e-7 1.244092767275505e-7 7.83254381531151e-5 1.075909644057682e-5 4.842039603922266e-6 1.1511119145320062e-12 6.049694847635249e8 1.230477225183285e8
8800 150672.3595680229 17.125495481033663 3.2367076448322116e-6 2.8115609855106253e-7 1.2607363221984598e-7 7.866115265642293e-5 1.1215035171457943e-5 4.7014137795758915e-6 9.169967809266988e-13 6.049694847635392e8 1.2304772251832129e8
9000 154097.45866386621 17.12549547638749 3.2813508350989513e-6 2.8388248064818706e-7 1.27695394900427e-7 7.926588114059996e-5 1.1647619242868834e-5 4.3399652893544305e-6 1.4031356101238945e-12 6.049694847635491e8 1.2304772251832621e8
9200 157506.55747387424 17.12549545754999 3.3176540855758945e-6 2.8657697747733187e-7 1.2926949050225578e-7 7.994103179953527e-5 1.2051986611250065e-5 4.642756812514581e-6 8.920651704372361e-13 6.049694847635458e8 1.230477225183261e8
9400 160931.656562825 17.12549543304189 3.344429602370871e-6 2.8923946790587637e-7 1.3078501713390966e-7 8.035539940465242e-5 1.2433941276659977e-5 5.1193304276969664e-6 1.1540640765040306e-12 6.049694847635443e8 1.2304772251832509e8
9600 164356.7556480137 17.12549542159874 3.3649979227931492e-6 2.918422071678597e-7 1.3220551972380513e-7 8.047492337937001e-5 1.2788167921135019e-5 5.462941990663772e-6 1.0664995565568795e-12 6.049694847635384e8 1.2304772251832348e8
9800 167781.85473175137 17.125495416689134 3.3825685405326476e-6 2.943759246755269e-7 1.3347965863938171e-7 8.056211481743958e-5 1.3109677426167976e-5 5.013829602565356e-6 8.158051764785523e-13 6.049694847635405e8 1.2304772251832913e8
