#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut entropy mass h_squared 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0099196663022713e-14 1.5690751210205686e8 5619.927979669221 3.1681238764726747e7
50 4021.446648392685 80.4289317607537 5.747504443927031 0.0039843482715326605 0.0020276196340908207 62.495911180664734 0.05255644457202824 0.02197008021984427 -1.0913581727994164e-5 1.569075120350177e8 5619.92797966934 3.168123396397849e7
100 8042.888612643229 80.4275453777446 5.874613730468204 0.00853459258913219 0.004990471423699605 46.205523312022706 0.10168159387155379 0.04824157366601107 -7.661802965051607e-6 1.5690751199913168e8 5619.927979669375 3.1681246733238965e7
150 12064.29125827433 80.42893012735901 5.327859872382448 0.00931374140073345 0.006717850419498642 32.593780268002774 0.08022357125061141 0.0567381258911165 -5.36202829772096e-6 1.569075119667577e8 5619.927979669249 3.1681300565404713e7
200 16085.737774698759 80.42893069074573 4.9519329735946425 0.008737336954813086 0.007987795277489409 27.76430696493935 0.07288912201783576 0.07641069558253306 -5.20068011975367e-6 1.5690751194355384e8 5619.92797966928 3.1681210770783864e7
250 20107.140878164326 80.41556907740755 5.190649668260056 0.008620832145142837 0.009242135037395268 29.12068987933344 0.06886182350655196 0.0955331359303026 -4.8012741598240445e-6 1.569075119246944e8 5619.92797966935 3.1681059914641198e7
300 24122.848609058732 80.23571806423438 5.770148913824164 0.008964482350756914 0.01032029971922625 35.68428017811311 0.07216338472000572 0.11282416468697219 -4.6669114182713655e-6 1.5690751190662795e8 5619.927979669313 3.168100789359103e7
350 28136.791730963225 80.31183193518007 6.4611677271870205 0.009506186661166895 0.011426735278576586 40.357955252091415 0.07897088414136116 0.1285514264590998 -4.70777641688273e-6 1.5690751188796213e8 5619.927979669347 3.1680999234954916e7
400 32153.796643863705 80.37264623039027 7.165025234760678 0.010237552690727023 0.012660349248722525 44.359344392193634 0.08950040050399277 0.14281383164484968 -4.591343205998298e-6 1.5690751186932313e8 5619.927979669351 3.1681013187633026e7
450 36170.90500861778 80.31717050791002 7.81492174205086 0.011100767190767392 0.013988752656446094 51.41859930507508 0.09939931635933613 0.15614406688762486 -4.44060923066827e-6 1.5690751185127127e8 5619.927979669275 3.1681038853015997e7
500 40186.5109642889 80.32440756240537 8.391001247998643 0.012001025161054654 0.0153892320230917 58.475384931007284 0.10867109733051883 0.16950550733659642 -4.5112060339279215e-6 1.5690751183334255e8 5619.927979669328 3.1681067114412706e7
550 44203.63749453138 80.34223279164641 8.903328630523255 0.01289354746212889 0.016825049420927368 65.38539657816455 0.117540176252861 0.1821770734206573 -4.5335429700569635e-6 1.569075118152105e8 5619.927979669319 3.168108903061142e7
600 48220.8544353907 80.33913781620686 9.37031709996974 0.013798976998469003 0.018286219026246622 72.00667738680204 0.12613318397552403 0.194198485352856 -4.5679347853243876e-6 1.569075117969215e8 5619.927979669358 3.168109641250875e7
