#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 4.530484857397773e-12 9507.350780128698 7.387780849070634e8
50 829.5204028914726 16.579256473875187 9.452469866210485e-6 1.999397272895117e-8 3.369154653989863e-8 8.080641759988794e-5 2.0593137506352832e-7 1.9565528663889609e-7 -2.242173387474653e-11 9507.35078012831 7.387780849071188e8
100 1657.9416632916764 16.558396374356388 9.261027550531951e-6 2.4903367481953074e-8 3.528522517012278e-8 7.305225221898581e-5 3.5011745236346314e-7 2.844172894977959e-7 -7.436915740898225e-12 9507.350780128567 7.387780849071492e8
150 2485.3667276774063 16.539092675518557 9.370353404161816e-6 2.906855895569145e-8 3.668602723699624e-8 7.048735415082774e-5 4.4587577807675416e-7 3.744559670115777e-7 -6.7161804586469e-12 9507.350780128203 7.387780849071782e8
200 3311.867622754529 16.521688940426852 9.275787116711358e-6 3.189067892930953e-8 3.754737601991017e-8 7.28347347376257e-5 4.791460019859528e-7 4.216063688167182e-7 -3.3600977738356865e-12 9507.35078012879 7.387780849071288e8
250 4137.559631922315 16.506696980425794 9.317645257237159e-6 3.371687848098293e-8 3.7814017851218884e-8 7.602946629958751e-5 4.784769007670775e-7 4.339077377402134e-7 -1.3138813350683863e-11 9507.35078012899 7.387780849071559e8
300 4962.564506816683 16.49416129488672 9.309514580881932e-6 3.526457271975093e-8 3.77559144841242e-8 7.373043922598299e-5 4.7373608413892043e-7 4.301843417042761e-7 -1.362092053471137e-11 9507.350780128607 7.387780849070848e8
350 5786.989913314024 16.48319958577436 9.31353639888197e-6 3.7005269060161775e-8 3.768509226697387e-8 7.722977170487866e-5 4.773687578563113e-7 4.286677302012265e-7 -1.3458897405959598e-11 9507.350780128681 7.387780849071342e8
400 6610.912928126551 16.47431831053229 9.326165720207544e-6 3.9015663062102754e-8 3.786158285750651e-8 7.667233444408339e-5 4.977516310233909e-7 4.464236207368799e-7 -1.3991837416623854e-11 9507.35078012887 7.387780849070941e8
450 7434.456331428752 16.4679684603017 9.329406158520497e-6 4.1097414971742555e-8 3.8262958671684524e-8 7.770826437081269e-5 5.220426606555861e-7 4.68332663983162e-7 -1.1503254225098046e-11 9507.350780128716 7.387780849071276e8
500 8257.747242844316 16.46417043109553 9.338402041062444e-6 4.304695221365817e-8 3.8720737869566305e-8 7.887518222560175e-5 5.790042454378863e-7 4.802265012315843e-7 -1.567914687101115e-11 9507.350780128301 7.387780849071678e8
550 9080.887756927226 16.46175697997226 9.340859824568236e-6 4.478151461851905e-8 3.904287454018273e-8 7.892264829933993e-5 5.901357509330296e-7 4.688100960770214e-7 -1.1861228678848022e-11 9507.350780128687 7.387780849071435e8
600 9903.963782621517 16.461712821974388 9.343317862962138e-6 4.6285641557647155e-8 3.914232126108302e-8 7.97167324435577e-5 5.590647900177714e-7 4.718097929012899e-7 -1.6953726567708103e-11 9507.350780128289 7.387780849071443e8
650 10727.103099661737 16.464237148018178 9.34333332847421e-6 4.752652936241753e-8 3.906450726854266e-8 7.968046065798262e-5 5.124122708366485e-7 4.789563345375392e-7 -1.2117353691723428e-11 9507.350780128545 7.387780849071168e8
700 11550.258692479567 16.46192105001011 9.34198482626721e-6 4.843859669760228e-8 3.893680407624314e-8 7.945322727209714e-5 5.508872731319059e-7 4.802010427351622e-7 -1.0714550794091224e-11 9507.35078012829 7.387780849071313e8
750 12373.33561831012 16.46159053948275 9.339090912355607e-6 4.896552764361397e-8 3.8899110501196587e-8 7.885910986260569e-5 5.856611471344308e-7 4.943520986455674e-7 -1.420681745892269e-11 9507.350780128045 7.387780849071889e8
800 13196.46148762596 16.463826592914085 9.33467440836869e-6 4.911560784614682e-8 3.9027330581289074e-8 7.814253626747814e-5 5.884118503551861e-7 5.063220943624103e-7 -1.2058795085252009e-11 9507.350780128452 7.387780849071084e8
