#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 4.530484857397773e-12 9507.350780128698 7.387780849070634e8
50 207.4871045413587 4.149011595899405 1.0441190456853807e-5 2.0918237282648772e-8 4.1366051527655205e-8 4.559857552521862e-5 1.601736192569092e-7 2.301389381287322e-7 -1.2554502073145338e-11 9507.350780128605 7.387780849071242e8
100 414.900261299329 4.147549742460558 1.0311023780483621e-5 1.9039160630529262e-8 3.1503144572854186e-8 6.360167390084825e-5 1.653994248229651e-7 1.6228293997500032e-7 -1.773191557706346e-11 9507.350780128601 7.387780849071838e8
150 622.241220195691 4.146123022763887 1.0226859585852958e-5 1.9205002098852536e-8 3.572341070619962e-8 8.220189192797989e-5 1.8609113716649972e-7 2.050160778921395e-7 -1.9222039840734936e-11 9507.350780128545 7.38778084907101e8
200 829.5117445984987 4.1447316982227225 9.452495801831999e-6 1.9993937038789404e-8 3.369164235571067e-8 8.080682641775638e-5 2.0593124006040853e-7 1.9565620590356048e-7 -2.370970278534974e-11 9507.350780128729 7.387780849071293e8
250 1036.7136108408683 4.143376025665703 9.30437176212765e-6 2.128814347618551e-8 3.4562090990470503e-8 7.635240103809338e-5 2.4863624226156844e-7 2.0833532499153762e-7 -1.3028606120789161e-11 9507.350780128436 7.38778084907148e8
300 1243.8486079297954 4.142056254980458 9.211629409717275e-6 2.244223415342502e-8 3.464228379347845e-8 7.474270591956156e-5 2.8355721148898283e-7 2.2623581988345798e-7 -8.505027537184556e-12 9507.350780128512 7.387780849071722e8
350 1450.918537188559 4.1407726296161 9.206188639635162e-6 2.368903856727218e-8 3.502145459199853e-8 6.573692826350452e-5 3.1891697638286587e-7 2.572972326586598e-7 -9.723322281053042e-12 9507.35078012871 7.387780849071363e8
400 1657.9252119462449 4.139525386163398 9.261023136518553e-6 2.490327268561787e-8 3.52852030584894e-8 7.305167878257635e-5 3.5011494059489223e-7 2.8441528565625873e-7 -6.539730960438023e-12 9507.350780128516 7.387780849071593e8
450 1864.870457195706 4.138314754840099 9.305719366531919e-6 2.6080092710986898e-8 3.565474843677194e-8 7.792711107867945e-5 3.8113881473123e-7 3.100818918855275e-7 -2.1353473708261416e-11 9507.350780128587 7.387780849071342e8
500 2071.7554621825047 4.137096860673167 9.332332783510028e-6 2.7139334064095294e-8 3.5989234295770525e-8 7.900442983554967e-5 4.071166515018376e-7 3.3334812343799314e-7 -1.644086870275583e-11 9507.350780128332 7.387780849071622e8
