#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 6.269431566873827e-12 9507.35078012804 7.387780850018977e8
50 1311.8543577948587 26.213177975148056 0.001787820411686194 4.7414319666505166e-7 1.0277629365150085e-6 0.010386849003225507 6.1389413064105725e-6 6.808676560221549e-6 7.393840281100744e-12 9507.350780128072 7.387780850019033e8
100 2621.4311610336163 26.172324840769775 0.001844094189995218 5.633024908958794e-7 1.0277374183391053e-6 0.012676680672484508 1.1797508281397029e-5 1.1562130065478904e-5 6.6964926891466826e-12 9507.350780128028 7.387780850019002e8
150 3929.214945463988 26.141307058321548 0.0016109046618753738 6.343141704810148e-7 9.23531862361054e-7 0.013380485355355631 1.2774033802620544e-5 1.3048084832267826e-5 7.0860687986250025e-12 9507.350780128043 7.387780850019063e8
200 5235.703774116903 26.120362550997488 0.0017769721550816478 7.504290683238614e-7 1.1143547382304338e-6 0.015018457004316588 1.442098392501201e-5 1.6120413146247792e-5 6.388950941172235e-12 9507.350780128023 7.387780850018991e8
250 6541.406163503562 26.109668007883585 0.0016648151479972504 8.547177718647923e-7 1.0631945873908303e-6 0.018232515370982583 1.709742430835992e-5 1.902810749077055e-5 6.370181632416483e-12 9507.350780128052 7.387780850019016e8
300 7846.838056183878 26.10934793289674 0.001713045620156942 9.686165414541034e-7 1.1429067498234707e-6 0.015291403604123843 1.9531749873014093e-5 2.1488688846438286e-5 6.842864197738049e-12 9507.350780128074 7.387780850018957e8
350 9152.519390625872 26.119439980536058 0.0018378531891963359 1.065329745318674e-6 1.208846002402936e-6 0.012299308995807223 2.129810514600594e-5 2.0759591327577584e-5 8.138532324863227e-12 9507.350780128018 7.387780850019034e8
400 10458.970524417962 26.139924152737315 0.0017403341709567248 1.165920238634182e-6 1.2479621957388873e-6 0.017009539021273667 2.2809069688489725e-5 2.219273516375353e-5 7.072793973358542e-12 9507.35078012803 7.387780850019007e8
450 11765.90941048041 26.128721219469135 0.001765855862876952 1.2486459857871382e-6 1.2771350371439797e-6 0.01742365067002538 2.5320791767841078e-5 2.539620830541156e-5 7.608584606185678e-12 9507.350780127994 7.387780850019001e8
500 13071.907749813148 26.11324935660293 0.001768027006883612 1.340143311192436e-6 1.3358389894245103e-6 0.015641189265352295 2.6737012785993386e-5 2.885678329325736e-5 8.158392872500126e-12 9507.350780128036 7.387780850019017e8
550 14377.397946055211 26.10819335364746 0.0018047453241216923 1.4177530836122612e-6 1.3431678123316035e-6 0.019126299052913964 2.9176211726905654e-5 3.208106510887293e-5 7.703916766406141e-12 9507.350780127994 7.387780850019047e8
600 15682.900572873916 26.113535073061225 0.0018291346505051758 1.5008741675746366e-6 1.4002875980347782e-6 0.019282436586308904 3.313582372352353e-5 3.662508862006808e-5 7.1449497513067556e-12 9507.350780128028 7.387780850018966e8
650 16988.933798216956 26.129194982380298 0.0018384688712045501 1.5810177139021002e-6 1.425519214506013e-6 0.019284255875390954 3.586928298529579e-5 4.469555789955726e-5 7.518934545963896e-12 9507.350780128032 7.387780850018988e8
