#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.7335488724312123e-13 9507.350780128003 7.387766634397864e8
50 3184.9228680376427 63.66817021240418 0.9584568496225857 0.000148840745401676 0.0002732533116947646 4.155605479265432 0.0013921746587565592 0.0013281567147400974 -1.8072544091600353e-14 9507.350780127954 7.38776663439788e8
100 6369.545177447002 63.739107387811536 1.619953168479622 0.00028365804738312715 0.0003836173670279357 6.723718493820343 0.0030905461974660986 0.0019166582063469342 8.781418542677947e-13 9507.350780127977 7.38776663439786e8
150 9561.550358704264 63.964093770934056 1.8855909341771664 0.00037487966158177645 0.0004001335847916085 6.820680181581338 0.004701358723325 0.004205446420490424 5.3182289918367e-13 9507.350780127977 7.387766634397868e8
200 12761.892987597732 63.8966252049121 1.7247218329135572 0.0004367641694295418 0.00044707084419617096 6.321055493336189 0.0057518006601654514 0.006300477039823067 3.29532931080401e-13 9507.35078012798 7.387766634397877e8
250 15950.834111874707 63.69268904727675 1.4902051614690883 0.00046876400683061944 0.0005130814442133067 6.648276526708742 0.006854248443912525 0.007104738525602977 6.265352827959214e-13 9507.350780127987 7.38776663439784e8
300 19133.742349450255 63.65322297448299 1.634088025873836 0.0004800868903108814 0.0005769016105175823 7.12731754813376 0.00790630535286127 0.007459356505208986 3.680979022860363e-13 9507.35078012797 7.387766634397861e8
350 22318.433958544585 63.70108524636966 2.0470524552209315 0.0004958994525213908 0.0006207540298955697 9.290599349694048 0.008938975668577515 0.008707361791684673 -1.7438473476861152e-13 9507.35078012799 7.38776663439787e8
400 25501.632697419962 63.65411219318044 2.3720145974158235 0.0005303629686379297 0.0006517192144862614 10.154662231158454 0.009360749474572078 0.009467071943521671 -7.52001622794557e-14 9507.35078012798 7.387766634397866e8
450 28686.514841414813 63.76722604984049 2.4634050716974953 0.0005869578506091678 0.0006796973072152938 11.913952124362822 0.009333844856109275 0.010698543452652204 5.447187314931001e-13 9507.350780127963 7.387766634397862e8
500 31881.246341461912 64.0422499187567 2.36405389513259 0.000640160033291534 0.0007126504631130845 11.745258362124105 0.008896879245279127 0.011749318542625651 3.008485107282349e-13 9507.350780127972 7.38776663439786e8
550 35079.618259646304 63.828083082125275 2.3506106615616287 0.0006592623867165496 0.0007212086759063493 12.375250849209124 0.008621632418864225 0.011951181126806126 6.149872334356953e-13 9507.350780127954 7.387766634397873e8
600 38266.21442439159 63.666907943919334 2.4494649871183816 0.0006773702334279945 0.000731811659247927 11.37470274577936 0.009085126484401101 0.013405502365538668 8.179510930135664e-13 9507.35078012796 7.387766634397856e8
650 41449.06023985486 63.674259858714755 2.7381697852621723 0.0007021461973944458 0.0007414642305040554 12.200037517035526 0.009772075891814225 0.014683281548392102 -1.507066388655487e-13 9507.350780127988 7.387766634397851e8
700 44602.15545721622 63.70929947252704 3.081007386476178 0.0007403925503809052 0.0007364394885507755 12.570789743509522 0.009647693449483102 0.01417703094669559 4.0932780795941607e-13 9507.35078012799 7.387766634397848e8
750 47786.42716647123 63.688489611158744 3.280459341167629 0.000794211346193397 0.000729455892550998 13.859792191838096 0.009954820495198857 0.01307276447126899 5.930244976498014e-13 9507.350780127988 7.387766634397862e8
800 50973.7114983677 63.82550982155837 3.2094917706485853 0.0008774637395947628 0.0007249247514245078 14.205288046678561 0.010525877228172512 0.012517259632999482 1.6344931402166014e-13 9507.350780127994 7.387766634397851e8
850 54171.96502290415 64.10892729934173 2.912581026441568 0.0009648220105391349 0.0007453265558442036 13.04747109246182 0.012577719216443684 0.012264423241878375 4.370492527100912e-13 9507.35078012797 7.387766634397868e8
900 57369.86160005966 63.83725807678204 2.720973912184329 0.0010257886878739762 0.0007808752640943281 12.335187988189318 0.014279648744943196 0.015733792785095346 1.5622029638502e-13 9507.350780127972 7.387766634397866e8
950 60558.22147112259 63.72294500550486 2.766847720964049 0.0010526271913484629 0.0008325283090824834 10.89280783155482 0.0138664847957235 0.018697824843225797 9.62102605717077e-13 9507.350780127968 7.387766634397873e8
