#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 2.29818258710859e-13 9507.350780128016 7.387780849071587e8
50 1274.4786136696616 25.47985451382424 7.090909070234754e-7 7.39712844853279e-11 1.2681567931799457e-10 4.490129413170507e-6 8.486965289615858e-10 1.0334121336441626e-9 -2.5318895808681827e-13 9507.350780128014 7.387780849071587e8
100 2548.139292332293 25.46851353960727 6.942295866186673e-7 1.000840063797908e-10 1.1208844083895941e-10 7.934949735499686e-6 1.3179051109972473e-9 1.3700399178855072e-9 -9.995977887829915e-13 9507.350780128043 7.387780849071655e8
150 3821.4962741983645 25.46751725618111 6.731483380868674e-7 1.2594455233655448e-10 1.2775616349682651e-10 7.399762125714915e-6 1.7474089397673254e-9 1.4988064548152047e-9 -4.951410273768155e-13 9507.350780128081 7.387780849071678e8
200 5095.069017232929 25.476944107976724 6.41805696586844e-7 1.5136009719959995e-10 1.2880014332341924e-10 7.256153594425996e-6 2.190760517439827e-9 1.651185800935484e-9 3.4445816794753003e-13 9507.350780128041 7.387780849071666e8
250 6369.379516506844 25.496817833626405 6.369750159663176e-7 1.7633537417701452e-10 1.3705257816430015e-10 7.550033842562698e-6 2.566248269442184e-9 1.6809678492907265e-9 2.6143977697975624e-13 9507.35078012803 7.387780849071645e8
300 7644.949502664172 25.527104758752042 6.31010979150701e-7 1.9909965460318293e-10 1.4494066921960444e-10 7.670524382774602e-6 2.89608614867376e-9 1.956735329322612e-9 -7.951685427650776e-14 9507.35078012811 7.38778084907168e8
350 8922.297488085984 25.56771042849989 6.310591459519366e-7 2.2027176747311122e-10 1.521124407380323e-10 7.04048966326809e-6 3.132459847066116e-9 2.1676404560189155e-9 -2.2828813120922186e-12 9507.350780128034 7.387780849071652e8
400 10201.935628517096 25.618475613031137 6.326625151970064e-7 2.398009028492214e-10 1.6002096373868922e-10 7.29439125279896e-6 3.3082320216593075e-9 2.3901195189690583e-9 -8.790886416506131e-14 9507.350780128003 7.387780849071702e8
450 11483.466241924067 25.614460370598017 6.309711517233247e-7 2.5754522354946733e-10 1.6669079481156238e-10 7.74126988289936e-6 3.400866699365679e-9 2.6350259196838977e-9 8.255021119858342e-13 9507.350780127996 7.387780849071672e8
500 12762.871334912175 25.564422747958627 6.290278164477613e-7 2.73528088665554e-10 1.736772977716568e-10 7.722137752352864e-6 3.4362103162877133e-9 2.6540354358672857e-9 4.076121823660551e-13 9507.350780128023 7.387780849071645e8
550 14040.033211853588 25.52455952652946 6.265032422065434e-7 2.8824261412715767e-10 1.7920748909235119e-10 7.774163577778381e-6 3.4065882337230846e-9 2.755633943252178e-9 -9.572357039628777e-13 9507.350780128005 7.38778084907169e8
600 15315.464801532022 25.49502486764299 6.261564975863605e-7 3.0160564278401425e-10 1.836567221362487e-10 7.740203727735206e-6 3.355086486411807e-9 2.659199693777481e-9 -8.808815279881586e-13 9507.350780128018 7.387780849071668e8
650 16589.685078687213 25.475908447543063 6.270061633383387e-7 3.1412210006252787e-10 1.8686984987018168e-10 7.427783884850214e-6 3.2461648369341845e-9 2.8547828545555376e-9 -1.4355247484392728e-12 9507.350780128043 7.387780849071662e8
700 17863.215943235726 25.46723941554853 6.277150160528273e-7 3.260677971064871e-10 1.8920582624138466e-10 6.888485813760781e-6 3.0714716325874747e-9 2.9960944281093305e-9 -5.297294710078175e-13 9507.350780128023 7.387780849071635e8
750 19136.57928150353 25.46898972297746 6.278223780311764e-7 3.374201253158046e-10 1.9053449245565257e-10 6.94213917995512e-6 3.616113880555716e-9 3.047511187848073e-9 -5.035502673529696e-13 9507.35078012809 7.387780849071655e8
800 20410.294177120784 25.481076789138154 6.279173186722772e-7 3.484804072501879e-10 1.9232058196399663e-10 6.78644141771656e-6 3.975551582380277e-9 3.048612973177711e-9 -8.354419580771699e-13 9507.35078012804 7.387780849071708e8
850 21684.860363709402 25.498478379219844 6.273249273918718e-7 3.588726491003806e-10 1.927107398688522e-10 6.8423755692492705e-6 4.209153414702627e-9 2.9716089033904325e-9 6.528829579733347e-13 9507.350780128038 7.387780849071656e8
900 22959.2214632798 25.478065173160545 6.278078867914395e-7 3.6894490296716006e-10 1.9436495543980517e-10 6.96588517712371e-6 4.352724181089229e-9 2.8798145257358243e-9 -1.4413734059525685e-13 9507.350780128034 7.387780849071668e8
950 24232.822161064658 25.467882877488318 6.290441313628878e-7 3.7870350545919933e-10 1.9515723466907367e-10 7.08929792381241e-6 4.095388417280077e-9 2.786121083842019e-9 2.16765031512814e-13 9507.350780128067 7.38778084907164e8
1000 25506.17741367417 25.46805676289279 6.279702355869663e-7 3.886181847616254e-10 1.9567980535017156e-10 7.1044535161490785e-6 3.54844725825032e-9 2.7184805240221266e-9 1.2278830483109466e-14 9507.350780128047 7.387780849071647e8
1050 26779.807100500577 25.478659231707773 6.281197751732097e-7 3.9850265012993786e-10 1.9564973641343988e-10 7.018050382612273e-6 3.6129226277381576e-9 2.649515551400583e-9 -4.878311627122849e-13 9507.350780128041 7.387780849071677e8
