#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5942.575079315504 1.7407953881592667e8
50 1028.702770437303 20.574055408746034 7.174284449354383e-15 1.2843171971075978e-15 1.071613616851569e-15 4.547473508864641e-12 1.4985015534069624e-14 1.263555102743299e-14 -4.947579826167818e-27 5942.575079315504 1.7407953881592667e8
100 2057.405540874606 20.57405540874602 7.493481662613736e-14 2.5489824477277392e-15 2.1394282769793795e-15 4.547473508864641e-12 2.4556337340840605e-14 2.4230175375719992e-14 -1.3981723035061614e-26 5942.575079315504 1.7407953881592667e8
150 3086.108311311909 20.574055408746 1.9535144417872618e-13 3.640942290233624e-15 3.1773415291389676e-15 6.366462912410498e-12 3.2025225452899004e-14 3.4856842368624367e-14 -2.2734664715915255e-26 5942.575079315504 1.7407953881592667e8
200 4114.811081749212 20.574055408745984 3.0534655839137925e-13 4.5381134036873765e-15 4.136717169610284e-15 6.366462912410498e-12 4.0720459223716694e-14 4.644951693787075e-14 -2.782328060258619e-26 5942.575079315506 1.7407953881592667e8
250 5143.513852186515 20.57405540874597 3.9732852877208076e-13 5.3077130903626195e-15 4.97179739711514e-15 6.366462912410498e-12 4.181354308417305e-14 7.058501739829037e-14 -3.0088563500296665e-26 5942.575079315506 1.7407953881592667e8
300 6172.216622623818 20.57405540874595 4.721884912272223e-13 6.027676519858183e-15 5.7152754062180084e-15 7.275957614183426e-12 5.095522923425956e-14 8.507553188937031e-14 -2.2073612594367296e-26 5942.575079315506 1.7407953881592667e8
350 7200.919393061121 20.574055408745934 5.355392934711765e-13 6.718736476770328e-15 6.394246606284446e-15 7.275957614183426e-12 6.73338394050691e-14 9.378135838615848e-14 -1.6169087862308955e-26 5942.575079315506 1.7407953881592667e8
400 8229.622163498423 20.57405540874592 5.88926937842579e-13 7.378504039611453e-15 7.054206246176829e-15 1.000444171950221e-11 6.81106041738889e-14 9.468505146964155e-14 -4.7725906399880305e-27 5942.575079315506 1.7407953881592667e8
450 9258.324933935726 20.57405540874592 6.380570850937784e-13 8.011683708890188e-15 7.701190164218596e-15 1.000444171950221e-11 8.143843042127682e-14 9.038942473843381e-14 -1.3437602431268744e-27 5942.575079315504 1.7407953881592667e8
500 10287.02770437303 20.57405540874591 6.940500112837877e-13 8.632087988927796e-15 8.334546308837813e-15 1.0913936421275139e-11 9.802566939686419e-14 1.0459801651878008e-13 2.0537288069558124e-26 5942.575079315504 1.7407953881592667e8
550 11315.730474810332 20.57405540874591 7.494747338545159e-13 9.246923235490529e-15 8.972385132426003e-15 1.1823431123048067e-11 1.0467606552702531e-13 1.1539866014040566e-13 2.2493510464314254e-26 5942.575079315504 1.7407953881592667e8
600 12344.433245247636 20.57405540874591 8.005693151495429e-13 9.846780174156533e-15 9.596114917665064e-15 1.1823431123048067e-11 1.1129374529814543e-13 1.1591171545962915e-13 3.3785971827189983e-26 5942.575079315504 1.7407953881592667e8
650 13373.136015684939 20.574055408745906 8.667956165542169e-13 1.0420307698791212e-14 1.020041576012544e-14 1.4551915228366852e-11 1.0623782119907276e-13 1.2584162445252122e-13 5.301737044764522e-26 5942.575079315504 1.7407953881592667e8
700 14401.838786122242 20.574055408745906 9.31073095459337e-13 1.0979081385638062e-14 1.0791154490983445e-14 1.546140993013978e-11 1.11840371623407e-13 1.2593549132695059e-13 5.274052188443541e-26 5942.575079315506 1.7407953881592667e8
750 15430.541556559545 20.574055408745906 9.994465770393643e-13 1.1532686199302914e-14 1.137434971583929e-14 1.546140993013978e-11 1.2274648644100245e-13 1.4525111435942785e-13 6.301874244184123e-26 5942.575079315506 1.7407953881592667e8
800 16459.244326996846 20.574055408745895 1.0801954699477517e-12 1.2070944596936006e-14 1.1963119499574421e-14 1.546140993013978e-11 1.2335739906376188e-13 1.2323268779410411e-13 7.628832043065873e-26 5942.575079315506 1.7407953881592667e8
850 17487.94709743415 20.574055408745895 1.1671197355719343e-12 1.2572695911971388e-14 1.2569642147959936e-14 1.9099388737231493e-11 1.384909813168519e-13 1.303847631182859e-13 8.455547123644609e-26 5942.575079315506 1.7407953881592667e8
900 18516.649867871452 20.574055408745817 1.247236733717601e-12 1.3060622177615363e-14 1.3114085233889936e-14 2.7284841053187847e-11 1.3929306390230528e-13 1.352461606462624e-13 7.140081151914964e-26 5942.575079315506 1.7407953881592667e8
