#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 4.788261313377265e-30 5942.575079315504 1.7407953881592667e8
50 1028.702770437303 20.574055408746034 0.0 7.975439851031729e-16 6.303117595386042e-16 0.0 1.1349851173031168e-14 9.569690734669652e-15 1.9993167465765256e-27 5942.575079315504 1.7407953881592667e8
100 2057.405540874606 20.574055408746023 7.365753470085855e-15 1.5754922846315651e-15 1.246289279161048e-15 1.8189894035458565e-12 2.1637134302248845e-14 1.512633210048943e-14 7.03874413066458e-27 5942.575079315504 1.7407953881592667e8
150 3086.108311311909 20.57405540874602 2.0640148915937568e-14 2.3429067661022535e-15 1.8643258793564047e-15 2.7284841053187847e-12 2.629429685880737e-14 2.1259136307354755e-14 1.1834840780736462e-26 5942.575079315504 1.7407953881592667e8
200 4114.811081749212 20.57405540874602 5.33243150155181e-14 3.0669796502423543e-15 2.475371271555474e-15 2.7284841053187847e-12 2.991068868283912e-14 2.3804216659217505e-14 1.9820790058483672e-26 5942.575079315504 1.7407953881592667e8
250 5143.513852186515 20.57405540874602 8.517262420836466e-14 3.690973568766676e-15 3.069084457256034e-15 2.7284841053187847e-12 3.184009314763707e-14 2.464854122103251e-14 1.6235688224213205e-26 5942.575079315504 1.7407953881592667e8
300 6172.216622623818 20.57405540874602 1.1908501725387877e-13 4.231685358743621e-15 3.625537247000891e-15 3.637978807091713e-12 3.601807502122853e-14 2.525844694445613e-14 2.333972682733293e-26 5942.575079315504 1.7407953881592667e8
350 7200.919393061121 20.574055408746013 1.474541813267252e-13 4.6943575472486635e-15 4.132688334925816e-15 3.637978807091713e-12 3.35097421322518e-14 2.899720319911727e-14 3.0947403461323334e-26 5942.575079315504 1.7407953881592667e8
400 8229.622163498423 20.57405540874602 1.749832518154385e-13 5.089969245997902e-15 4.588152715719586e-15 4.547473508864641e-12 3.527455349749517e-14 3.11736850629085e-14 2.844183690497792e-26 5942.575079315506 1.7407953881592667e8
450 9258.324933935726 20.57405540874602 2.0075225770799968e-13 5.4461161426408745e-15 4.991278665683306e-15 4.547473508864641e-12 3.67780115079275e-14 3.3184875555562364e-14 3.08810207476606e-26 5942.575079315506 1.7407953881592667e8
500 10287.02770437303 20.574055408746013 2.240626439088711e-13 5.771762914487379e-15 5.3531178113540735e-15 4.547473508864641e-12 3.8009758841181764e-14 3.5017728214623447e-14 1.9521523726397594e-26 5942.575079315506 1.7407953881592667e8
550 11315.730474810332 20.57405540874601 2.4375620545334817e-13 6.075156263689126e-15 5.683177143249629e-15 4.547473508864641e-12 3.8939688060390384e-14 3.666060993781472e-14 2.402270700921374e-26 5942.575079315506 1.7407953881592667e8
600 12344.433245247636 20.574055408746005 2.6055269794565543e-13 6.3708513015431306e-15 5.994335466249341e-15 4.547473508864641e-12 3.946277421366279e-14 3.751555840688472e-14 3.4038008490866843e-26 5942.575079315506 1.7407953881592667e8
650 13373.136015684939 20.574055408746 2.751863050593054e-13 6.663247137051519e-15 6.293787783726889e-15 4.547473508864641e-12 3.903358503051157e-14 3.759923455817029e-14 2.829775376909357e-26 5942.575079315506 1.7407953881592667e8
