#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 -5.985592447076475e-13 11087.12539536317 6.050055088741257e8
50 214.32630765465282 4.28649001820694 0.09828031233139942 0.0018558462010293906 0.0019550768952726087 2.7717064733478765 0.047671027187057 0.05011075798458954 -7.715097412353207e-7 11087.12539536347 6.050055088740602e8
100 428.65335697400945 4.2866275836215655 0.35638046765639625 0.003583452115745216 0.0037715498954459283 9.715230550136766 0.09016102808099175 0.09450895634541094 -8.508957327796403e-7 11087.125395363439 6.050055088738475e8
150 642.9926028125169 4.286962035038606 0.749546472338142 0.005082146700255594 0.005341999467186483 20.042547920236757 0.12404575046472674 0.12938185954580983 -6.937785923149387e-7 11087.125395364237 6.050055088737152e8
200 857.3518735088617 4.2874120554828234 1.232212130452005 0.006297249252139586 0.00660994295813648 32.36995294828557 0.14649075442649626 0.15290297830781363 -8.194636245071611e-7 11087.12539536376 6.050055088735349e8
250 1071.7349268216096 4.287901789481545 1.7554331326616028 0.007223636340647334 0.0075734157923474646 45.1793867118904 0.15935493887129695 0.16465349432952636 -7.452057936288939e-7 11087.125395363759 6.050055088733782e8
300 1286.1422917452396 4.288377610519993 2.275732437885214 0.007895597048214163 0.008272505906162636 57.23933897493225 0.16506951059295538 0.16943162565362105 -7.738866074854799e-7 11087.125395363886 6.050055088732073e8
350 1500.5723692512977 4.28880797677504 2.7605994769327578 0.008368239160419132 0.008768179420647802 67.65479118508847 0.16572182727453197 0.16958991151157107 -7.764934422495533e-7 11087.125395363593 6.050055088730482e8
400 1715.0225827492816 4.289184206077126 3.1901333495858695 0.008698670076872646 0.009121698419379277 76.0205824796285 0.1705746434251072 0.1686215547519918 -7.741937972548405e-7 11087.125395363248 6.050055088728913e8
450 1929.4903324902564 4.289512131635354 3.5556439214837092 0.008933471063377626 0.009381609922748401 82.29678583645727 0.17742550777595945 0.1753115483174632 -7.879002018793538e-7 11087.125395363373 6.050055088727366e8
500 2143.973520922422 4.289804980132604 3.8566974105899408 0.009104589580433765 0.009580115419769237 86.74218636336809 0.18127627527261225 0.17870156864943176 -7.920572660250018e-7 11087.12539536349 6.050055088725369e8
550 2358.470774892808 4.290077432666407 4.0979749438239566 0.009231458021001015 0.009735927612730459 89.7140004647863 0.18247357311151546 0.17964945492902729 -8.011898021508343e-7 11087.125395364003 6.050055088723851e8
600 2572.981395730398 4.290341572197408 4.286747602827269 0.00932546080977931 0.009859263274030264 91.59994870409719 0.18195692563333843 0.1793133053932685 -8.081907791326426e-7 11087.1253953636 6.050055088721776e8
650 2787.5052039524926 4.290606020546672 4.431182598853987 0.00939382633487133 0.009956023575000337 92.74044963457345 0.1806640433335307 0.1777664188696768 -8.143032172865544e-7 11087.125395363735 6.050055088720093e8
700 3002.042349589236 4.290875470126795 4.539341765662057 0.009441906985399859 0.010030252730391778 93.3940853221975 0.17849327359367884 0.175468210313662 -8.190289589385954e-7 11087.125395363253 6.050055088718572e8
750 3216.5931390792384 4.291151762620046 4.618636792648593 0.009474126783415825 0.010085237548087078 93.74031928001568 0.17599395159470532 0.17299639189258187 -8.233075560538452e-7 11087.125395363779 6.050055088716774e8
800 3431.157916107806 4.2914346425850765 4.675553568006763 0.009494221811932716 0.010123879795310174 93.89242854701479 0.1735943860746758 0.17052717987047572 -8.269356471658662e-7 11087.125395364039 6.050055088714933e8
850 3645.736969979316 4.291722385672076 4.715537092659415 0.009505244404658874 0.010148793101416077 93.91720715701922 0.17098731919091392 0.1679166396459415 -8.313891910758222e-7 11087.125395363704 6.050055088713356e8
900 3860.3304856691852 4.292012629151638 4.742982928037586 0.009509570271454541 0.010162337604546778 93.85250547598298 0.16847926835936633 0.16549759538333042 -8.361838625826498e-7 11087.125395363732 6.05005508871137e8
950 4074.938517164875 4.292302520393558 4.7613047318831025 0.009508966957091454 0.010166646265383793 93.71944597944821 0.16636147038901328 0.16338889129372802 -8.418268568634743e-7 11087.125395364084 6.050055088709618e8
1000 4289.560969899899 4.29258905829365 4.77305335034783 0.00950470757780486 0.010163651031632977 93.5303926590459 0.16427670750424284 0.16134460547300478 -8.479599770332121e-7 11087.125395364134 6.05005508870769e8
1050 4504.195056032971 4.292703718351542 4.780063803050693 0.009497702186609206 0.010155099281795067 93.29341116273827 0.16251453264195703 0.159608221422042 -8.538007079171295e-7 11087.125395364119 6.050055088705964e8
