#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.8147352837571075e-13 11086.79206186889 6.049694847401692e8
50 428.13140500644346 8.562541610235582 0.06558068997263347 0.00010086809424021578 0.00013191997857262092 0.9029569068534329 0.0018629625326047616 0.0019592920946212844 -9.754119731693566e-14 11086.792061868766 6.0496948474017e8
100 856.2560605459051 8.562484338160372 0.07518561368447005 0.0001908043415121958 0.0002304564325538972 0.7626181130617624 0.0035355218518242637 0.0028619818659447044 -9.565445224586478e-14 11086.792061868895 6.049694847401721e8
150 1284.3810043914661 8.562510663012795 0.07414653507153067 0.00023384533314324 0.00023958669031277907 0.6688561140690581 0.005132704577061276 0.002844513917684033 -2.4025741838743312e-14 11086.792061868235 6.049694847401693e8
200 1712.5080067904703 8.5626139957607 0.06942507714833364 0.0002621982115607653 0.00022488347217133095 0.7525752476267371 0.006336706941243442 0.0034188153923304654 -1.1867462328850945e-13 11086.792061868442 6.049694847401714e8
250 2140.6359781658994 8.562537367920092 0.06513476428467374 0.0003046599871560454 0.00023987757895137547 0.7133433802137006 0.0073920205430226815 0.004468757290894132 2.1917466282050382e-13 11086.792061868498 6.049694847401869e8
300 2568.7591249732973 8.562361214032986 0.06942587149309595 0.0003508471733937418 0.00026233470830708125 0.5502685816518351 0.008377696166281368 0.005332753717691041 2.0125750023713117e-13 11086.792061868584 6.049694847401892e8
350 2996.8758709205417 8.56231344974408 0.07106165793724256 0.0003982685950473584 0.0002899107887319886 0.6167282184942451 0.008748476703352104 0.006327234660167491 1.4679177431630836e-14 11086.792061868358 6.049694847401853e8
400 3424.988599907773 8.562214337583734 0.06952028635900775 0.00044386016150329145 0.0003139737601804664 0.6114469261592603 0.009630681630548033 0.007055025509709267 -1.8895059607804935e-13 11086.792061868224 6.049694847401828e8
450 3853.096019539092 8.562065951265085 0.06874021554381762 0.0004907345144378985 0.0003347567369530913 0.7141817665306007 0.010390883287914932 0.007796115807326309 -2.0831771185084768e-13 11086.792061868497 6.049694847401848e8
500 4281.196140840528 8.561932456884447 0.06891144969010382 0.0005349756391890019 0.0003545551195939472 0.7218104554085585 0.011291469146773592 0.008406322338211147 1.3983154993295031e-13 11086.792061868635 6.049694847401692e8
550 4709.289268900503 8.56181522915478 0.06894257314400912 0.0005763648003759815 0.0003759765769226041 0.8113237020679662 0.01265482932482076 0.008998984341453742 -1.1989382959676817e-13 11086.792061868533 6.049694847401693e8
600 5137.377359299469 8.561707662202279 0.06869669407401618 0.0006156051469044633 0.00039391594468104715 0.6848098808313807 0.014170999554106833 0.009812522445030503 -8.370957623273847e-14 11086.792061868344 6.049694847401694e8
650 5565.4599135319995 8.561594568395462 0.07042699729850169 0.0006566394607580607 0.0004112410274122184 0.7602730581638752 0.015362316965459977 0.010805965855093191 -7.140270946533982e-15 11086.792061868362 6.04969484740193e8
700 5993.535948705274 8.561467619562848 0.0704919673839379 0.0006940806992536868 0.00042734259855654573 0.6064130483937333 0.016665679143506695 0.01133931446503933 1.9324807083300896e-14 11086.792061868353 6.049694847401805e8
750 6421.607566000633 8.561369268604015 0.06848611362519322 0.0007294494600923986 0.00044345407912968975 0.6784937638167321 0.017836368128456348 0.012145922904723605 -1.2333183034007844e-13 11086.792061868371 6.049694847401702e8
800 6849.674942154356 8.561297945192711 0.0689702760205692 0.0007639900293267717 0.00045725055125380365 0.55228928723227 0.019048995813606195 0.012289190833975283 -1.5968324322368242e-13 11086.792061868604 6.049694847401779e8
850 7277.73603348824 8.561188060667302 0.06943855816001361 0.0007984792777812435 0.0004707987856968293 0.592197724728976 0.02014755888364861 0.012581683027712565 -3.814745134007711e-14 11086.792061868371 6.04969484740179e8
900 7705.792546577965 8.561090567085964 0.06847799106284579 0.0008297607822106837 0.0004830853625327674 0.533959369868171 0.020908641961701058 0.012630178654017499 -1.36584546842022e-13 11086.792061868444 6.049694847401842e8
950 8133.845471555913 8.561033864136009 0.0694120206131654 0.0008595469329801191 0.000495701849236621 0.7022169342999405 0.021363314807851586 0.012631028071158568 -1.2467659418122577e-14 11086.792061868402 6.049694847401869e8
1000 8561.895319391331 8.560952780409528 0.06915081131640317 0.0008888729933992935 0.0005064884693782866 0.6523080368042429 0.022246829129681567 0.012421799075841733 -2.9111841591931193e-13 11086.792061868497 6.049694847401872e8
1050 8982.438156254408 8.560953852125817 0.06996211775488308 0.0009156887264888541 0.000515915024342823 0.6031722302413982 0.022554208913166507 0.012742703234945196 3.0363694298320765e-14 11086.792061868546 6.049694847401766e8
1100 9410.48608883938 8.560956746900105 0.06978391540068835 0.0009407644249363001 0.000524729844990668 0.6031519980424491 0.02298439161011734 0.013169228673092448 -1.633132614775328e-14 11086.792061867936 6.049694847401845e8
1150 9838.532579480066 8.560889544815733 0.0704841124654828 0.0009655304258596171 0.0005346472293373818 0.6183425017588888 0.023395495200647654 0.013669444985958457 -3.3789698948359883e-13 11086.7920618685 6.04969484740188e8
1200 10266.573567050018 8.560753273803966 0.07146338582198926 0.000990602427954469 0.00054493956674062 0.6248365422288771 0.023614766427592748 0.01413891439095405 -2.594126149263285e-13 11086.792061868551 6.049694847401887e8
1250 10694.608317670083 8.560667338091564 0.07155805182376644 0.0010153411961954068 0.0005553443049435883 0.6147270341971307 0.025023714335793645 0.014736745234897874 -1.0305150870692742e-13 11086.792061868542 6.049694847401874e8
1300 11122.642943597053 8.560713390858337 0.07048954119653514 0.001038553372383483 0.0005643562536128379 0.6372392629564274 0.0264785910378742 0.01539981209096375 -1.6699975986879896e-13 11086.79206186829 6.049694847401954e8
1350 11550.681354862723 8.56083962812416 0.06873085425240319 0.001059427401557811 0.0005703094386352085 0.6462156428005983 0.027839792249187312 0.015674645217516492 -1.6447879015502881e-13 11086.792061868584 6.049694847401834e8
1400 11978.724492555517 8.560859935384032 0.067613308774544 0.0010781372374266199 0.0005735900242484972 0.6418136296069861 0.029265143423114814 0.015768846508808387 -5.356360856411172e-13 11086.792061868444 6.049694847401799e8
1450 12406.765820849549 8.560781848691354 0.06801418724774166 0.0010960514249862621 0.0005783350826725858 0.7100285247997817 0.030654683388893433 0.015950002650904516 -2.578484703409033e-13 11086.792061868426 6.049694847401888e8
1500 12834.801462101621 8.560658628947884 0.07009488988945241 0.0011149514669031029 0.0005866142141912974 0.7413371693073714 0.03207928961244244 0.01610489183252639 -1.2908865387965018e-13 11086.792061868608 6.049694847401755e8
1550 13262.835241548097 8.560701389200423 0.07109331668341613 0.001134483928823148 0.0005958991933655838 0.6414522167870018 0.032857626990401734 0.016343967415425986 -1.6958385422208264e-13 11086.792061868637 6.049694847401925e8
1600 13690.872793664324 8.560794508736398 0.06904481552096103 0.0011529327832222609 0.0006022457417314326 0.6059585214898107 0.033689215087773894 0.01666003494452717 -4.1476567502020563e-13 11086.792061868424 6.049694847401935e8
1650 14118.911979329743 8.56075417414753 0.06595303247507114 0.0011697872735366476 0.0006061539159096306 0.5170133997726225 0.03485529031699208 0.016640929002752713 -1.7197760995140011e-13 11086.792061868658 6.049694847401794e8
1700 14546.948186156278 8.560693141085519 0.06494921648364446 0.0011857572256983666 0.0006113326417873083 0.49767391164823493 0.03589597191566174 0.01668121014043944 -3.902783197657423e-13 11086.792061868242 6.049694847401787e8
1750 14974.983258538865 8.560742143667424 0.06690221560070077 0.001202628361434968 0.0006188209753001553 0.6105084691771481 0.03675945572179273 0.01667163552460016 -1.126604496199933e-13 11086.792061868668 6.049694847401791e8
1800 15403.020920823106 8.560759415469807 0.06857865443729337 0.0012196048777134865 0.0006270751405788543 0.5862499484228465 0.037362755201372 0.01729658817550117 -1.2331398702887367e-13 11086.792061868546 6.049694847401795e8
1850 15831.058420923693 8.560725678337347 0.0692297871653621 0.0012353604906832334 0.0006332547194624404 0.5554091982194223 0.037873035753856144 0.017718968747607144 8.524590327547554e-14 11086.792061868284 6.049694847401868e8
