#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 8.742716129690723e-12 9522.996513302545 4.625523826031436e8
50 884.5785357813467 17.687362783655463 0.0002766917673522306 0.003906125046168187 0.009338730878549088 0.0011014164161242072 0.005385261415141309 0.007589600135882244 8.349293788625183e-12 9522.996513302447 4.625523826031452e8
100 1768.687893305262 17.67694415596568 0.0005206690181437891 0.00785610030585473 0.0186784768370828 0.002031876226660869 0.010995939819071368 0.01537415048112653 1.0323816540710393e-11 9522.996513302616 4.625523826031473e8
150 2652.2484567176957 17.665710749212362 0.0007122622452730571 0.011870844672328955 0.028003400409584284 0.002654366436724625 0.016743711739350752 0.023227378485135515 1.0032625940152774e-11 9522.996513302593 4.6255238260313565e8
200 3535.2625526779348 17.65532589433043 0.0008560009819471346 0.015938529648777674 0.03726960166556854 0.0029212304803037845 0.02252376298816487 0.031015487276854655 8.345257481690102e-12 9522.996513302656 4.6255238260313284e8
250 4417.8070388316155 17.647033467557378 0.0009858086844811184 0.020025563631010695 0.046414889210523655 0.0028439327648569278 0.02822612085074887 0.03861065275310937 8.650545253456686e-12 9522.99651330251 4.625523826031418e8
300 5300.002138747439 17.64130773118399 0.0011536538991195517 0.024096809507207627 0.05538069286473601 0.002500977350501273 0.033747938230527116 0.045904320564241506 9.389758968955197e-12 9522.99651330252 4.6255238260313916e8
350 6181.970921762003 17.637825300664755 0.0013985489613312103 0.028130681813523437 0.06413474093925885 0.0024732596853627034 0.03900504053989789 0.05282088458257839 9.122076568210026e-12 9522.99651330263 4.6255238260314274e8
400 7063.804682579265 17.63570528903696 0.0017250382889044107 0.03212074490025247 0.0726836972008457 0.0034155016514715556 0.04394128958819362 0.059331300098023336 9.349793388153063e-12 9522.996513302503 4.625523826031464e8
450 7945.544253758446 17.633877704160287 0.0021135706252522683 0.0360659449445233 0.0810708235555027 0.004405321036154754 0.04853428107972582 0.06546310983946074 9.786338073371835e-12 9522.996513302609 4.6255238260313725e8
500 8816.317303339878 17.631471886388976 0.0025349423445972415 0.03991133949384994 0.08925952942867507 0.005367779163713606 0.05274545304432044 0.07123186402909751 8.031932496629387e-12 9522.996513302567 4.6255238260313416e8
