#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 8.29739901159892e-12 9522.996513302547 4.625523826031435e8
50 884.5785357813468 17.687362783655463 0.00027669176735222817 0.0039061250461681655 0.009338730878549079 0.0011014164161243793 0.005385261415142595 0.007589600135879901 8.948625546465572e-12 9522.996513302449 4.625523826031453e8
100 1768.6878933052628 17.67694415596567 0.0005206690181437917 0.007856100305854713 0.01867847683708277 0.0020318762266606965 0.010995939819075293 0.015374150481123982 9.870600609030927e-12 9522.996513302618 4.625523826031473e8
150 2652.2484567176966 17.665710749212376 0.0007122622452730591 0.011870844672328934 0.028003400409584316 0.0026543664367242805 0.01674371173935439 0.023227378485123434 1.0105066395956072e-11 9522.996513302596 4.6255238260313547e8
200 3535.262552677935 17.655325894330414 0.0008560009819471472 0.015938529648777733 0.03726960166556843 0.0029212304803036123 0.02252376298815974 0.03101548727684393 8.71993507700637e-12 9522.996513302656 4.625523826031327e8
250 4417.807038831618 17.647033467557414 0.000985808684481131 0.020025563631010705 0.04641488921052368 0.002843932764854343 0.02822612085075977 0.03861065275309782 8.84438036249381e-12 9522.99651330251 4.6255238260314155e8
300 5300.002138747443 17.64130773118399 0.0011536538991195533 0.024096809507207658 0.055380692864736 0.002500977350502135 0.03374793823054414 0.045904320564257944 1.0523747128826565e-11 9522.996513302516 4.62552382603139e8
350 6181.9709217620075 17.637825300664737 0.001398548961331216 0.02813068181352352 0.06413474093925885 0.0024732596853625313 0.03900504053988862 0.05282088458257346 9.256617819413917e-12 9522.99651330263 4.625523826031427e8
400 7063.804682579271 17.635705289037013 0.0017250382889044038 0.0321207449002524 0.07268369720084596 0.0034155016514710386 0.0439412895881945 0.05933130009801183 9.40644596105367e-12 9522.996513302505 4.6255238260314614e8
450 7945.544253758452 17.633877704160263 0.0021135706252522588 0.03606594494452333 0.08107082355550278 0.0044053210361554435 0.04853428107970652 0.06546310983947504 9.126434026703022e-12 9522.996513302609 4.6255238260313684e8
500 8816.317303339876 17.631471886388987 0.002534942344597241 0.039911339493849896 0.08925952942867518 0.005367779163712399 0.05274545304430092 0.07123186402909094 8.538734613970147e-12 9522.996513302569 4.6255238260313404e8
550 9697.805476679509 17.62792212967439 0.002981309727809202 0.04373474134184574 0.0975219408907899 0.006274406521763238 0.05672164063573942 0.07691533193086365 9.584957962070623e-12 9522.996513302629 4.625523826031375e8
600 10579.085853284954 17.623214256457693 0.003434822417274868 0.04746305855339353 0.1058127504214544 0.007090923035461428 0.06047263756109855 0.08260251202669953 8.937251822804223e-12 9522.996513302605 4.625523826031302e8
