#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 8.753082712105302e-12 9522.996513302545 4.625523826031436e8
50 884.5785345353062 17.687362720665046 0.00027669176697542016 0.0039061250219173246 0.009338730895977383 0.001101415316520014 0.005385254949791737 0.00758957543372927 5.471727708466625e-12 9522.996513302664 4.625523826031331e8
100 1768.6878890212226 17.676944172983777 0.0005206690170754397 0.007856100287439924 0.018678476778137405 0.0020318748559954233 0.010995928378672337 0.015374114739793849 5.208141039388998e-12 9522.996513302516 4.6255238260312647e8
150 2652.248456849115 17.665710857920033 0.0007122622452932162 0.011870844660227583 0.028003400433986327 0.002654367811459213 0.016743705320535204 0.023227340160580874 4.9473161910738324e-12 9522.996513302669 4.625523826031398e8
200 3535.2625601078776 17.655326053245485 0.0008560009830286121 0.015938529695868033 0.037269601741782225 0.0029212357888789725 0.022523769529959794 0.031015433184614766 5.4052085771736785e-12 9522.996513302567 4.6255238260313666e8
250 4417.807054362372 17.647033655476058 0.0009858086869442802 0.02002556370546036 0.04641488935071334 0.002843930122791753 0.028226169107450766 0.038610590077287836 3.701209591793274e-12 9522.996513302664 4.6255238260313356e8
300 5300.002165152828 17.641307971700417 0.001153653905181462 0.024096809658088674 0.055380693154698825 0.0025009764700180477 0.033748026353605146 0.045904238634481516 2.7015054311500273e-12 9522.996513302603 4.6255238260313827e8
350 6181.970961951847 17.637825616986028 0.001398548974437516 0.028130681994297156 0.06413474131355078 0.0024732596234407415 0.03900515198403424 0.05282081159013981 1.5683366978628334e-12 9522.996513302603 4.6255238260313016e8
400 7063.8047397700675 17.635705632300507 0.001725038312356061 0.03212074517044582 0.0726836976988089 0.003415501437324368 0.043941432968143415 0.059331241488029145 -1.3680537744597805e-13 9522.996513302545 4.6255238260313225e8
450 7945.5443257474635 17.633877986527484 0.002113570658831231 0.03606594525809063 0.08107082422821713 0.004405321125192732 0.04853447412725968 0.06546303620607143 -4.700318390839727e-13 9522.996513302676 4.625523826031284e8
500 8816.317306079445 17.631472159230423 0.002534942345957004 0.03991133948613874 0.08925952942190783 0.005367778773071939 0.052745720573264855 0.07123176979014645 6.434173580778647e-13 9522.996513302573 4.625523826031335e8
550 9697.805493618172 17.62792242841641 0.002981309736483953 0.043734741378940116 0.09752194107361371 0.006274403267537367 0.056721995805826854 0.07691525005913113 -8.17636786389611e-13 9522.996513302522 4.62552382603133e8
600 10579.085885567303 17.623214561680967 0.0034348224338963482 0.047463058656687054 0.10581275073356759 0.007090923092127364 0.06047311271710758 0.08260241984454617 -4.311299387448837e-12 9522.996513302502 4.6255238260313493e8
650 11460.108396155085 17.617707236511823 0.0038857134955357776 0.05107499560936713 0.11417192075828218 0.007959099477167643 0.06407626976267139 0.08845229685799691 -1.0400779621549545e-11 9522.996513302603 4.625523826031319e8
700 12340.847139217854 17.611968256797297 0.004324703787365784 0.054562303834597904 0.12262342809392719 0.009084067595780886 0.0676132557541512 0.09458780528998442 -7.064841930392664e-12 9522.996513302696 4.6255238260313445e8
750 13221.304995982195 17.60654279939078 0.004742266228399001 0.05793467161040377 0.13117986059432557 0.010191828361716046 0.07116507201708894 0.1010704755964295 -5.035198454795493e-12 9522.996513302554 4.625523826031307e8
800 14101.507111809786 17.601753745002732 0.005129714375522263 0.061218741680097374 0.13984623856016906 0.011139610327120074 0.0748093054845516 0.10788970081026655 -9.130252480344087e-12 9522.996513302458 4.6255238260313624e8
850 14981.486587030187 17.597595061384766 0.005481133958972107 0.06445296650051424 0.1486213887128704 0.011870114558281599 0.07861841952987307 0.11496936756012774 -1.253353601795193e-11 9522.99651330256 4.6255238260313356e8
900 15861.267894427412 17.593746563968754 0.005794839528852519 0.0676816172464677 0.15749748772868105 0.01235333605938794 0.08265656492276391 0.12218956861857996 -1.685501234467669e-11 9522.996513302587 4.625523826031457e8
950 16740.853986564205 17.589699707996342 0.0060734346289798855 0.0709506417655552 0.16645928111866468 0.012583267027328792 0.0869734354856744 0.12941715350569097 -1.0342172944330277e-11 9522.996513302656 4.6255238260313195e8
1000 17614.132178844047 17.584987607319064 0.006320813300821514 0.07428187558795364 0.17542135332658895 0.012649728156046728 0.09156242544683756 0.13648821052847465 -7.037211151684163e-12 9522.996513302582 4.6255238260313076e8
