#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 1.2535227806354149e-11 9522.996513302545 4.625523826031436e8
50 884.5785347598826 17.68736272324356 0.000276691767042825 0.0039061250198076936 0.009338730873899226 0.0011014160731176162 0.005385256804638534 0.007589563460956794 1.8105676956482046e-11 9522.996513302607 4.625523826031399e8
100 1768.6878894863776 17.676944177835004 0.0005206690171907131 0.00785610025124759 0.01867847681453862 0.002031875511356924 0.0109959276757936 0.015374104720525075 2.0972182788024618e-11 9522.99651330253 4.6255238260314476e8
150 2652.248457611084 17.665710866194722 0.0007122622454340837 0.011870844644494054 0.028003400435242905 0.0026543670101937446 0.016743706164227653 0.023227331988200903 2.2820376566321457e-11 9522.996513302625 4.625523826031324e8
200 3535.262561352228 17.655326067783673 0.0008560009832083269 0.01593852967238111 0.03726960175728089 0.0029212422412139365 0.02252377180481966 0.031015427793388204 2.477989104648913e-11 9522.996513302493 4.625523826031379e8
250 4417.80705678242 17.647033686102255 0.00098580868732577 0.02002556370845728 0.046414889354082604 0.002843927896593139 0.028226174532189934 0.03861059116896057 2.5634490940045588e-11 9522.996513302744 4.625523826031344e8
300 5300.002169542506 17.64130802135627 0.0011536539061870225 0.02409680968023632 0.05538069316886343 0.0025009745170669778 0.03374803664033101 0.04590424653326255 2.762352174185018e-11 9522.996513302545 4.625523826031308e8
350 6181.970969262762 17.63782568231225 0.001398548976820945 0.02813068204292136 0.06413474132874059 0.0024732586998799148 0.03900516650304471 0.0528208303996328 2.959622259352129e-11 9522.996513302494 4.6255238260313964e8
400 7063.804750683174 17.635705709811454 0.0017250383168313837 0.03212074523926516 0.07268369774170894 0.0034155020318434397 0.04394145173713257 0.05933127063593438 2.982412306271618e-11 9522.996513302567 4.6255238260313797e8
450 7945.5443406266795 17.633878066126567 0.0021135706657713213 0.03606594534242853 0.08107082430651788 0.004405321154491939 0.04853449570081828 0.06546307482756804 2.7022451216524866e-11 9522.996513302573 4.6255238260313445e8
500 8816.317306798132 17.631472229667352 0.0025349423463152604 0.03991133950186725 0.08925952937610221 0.005367777765346284 0.05274574300043045 0.07123181668932482 1.975184055037008e-11 9522.996513302496 4.62552382603132e8
550 9697.80549733218 17.62792247626799 0.0029813097383909397 0.04373474139940225 0.09752194107067992 0.006274404022284513 0.05672201755386423 0.0769153030960729 1.2840821991918713e-11 9522.996513302664 4.625523826031405e8
600 10579.085890836415 17.623214575991295 0.0034348224366104823 0.04746305867264093 0.10581275076938922 0.007090922852113938 0.06047313069961162 0.082602477264381 1.067976611890285e-11 9522.99651330254 4.625523826031326e8
650 11460.108401539315 17.617707232063704 0.003885713498260054 0.05107499561655078 0.1141719208210538 0.007959099817011452 0.06407628176961186 0.08845235641082899 1.1216284244425282e-11 9522.996513302644 4.625523826031359e8
700 12340.847144444082 17.611968258192885 0.004324703789912909 0.054562303829664566 0.12262342817712224 0.009084067085321532 0.06761325874976055 0.09458786393117162 7.185611009549703e-12 9522.996513302716 4.625523826031311e8
750 13221.30500201421 17.60654283543632 0.004742266231167871 0.05793467159998324 0.1311798607079081 0.01019182547641642 0.07116506347070652 0.10107053055861787 -3.7289213347133224e-12 9522.996513302678 4.6255238260313976e8
800 14101.507121003544 17.60175383360901 0.005129714379390529 0.061218741672857985 0.13984623871939317 0.01113961038778933 0.07480928431601029 0.107889749590745 -9.68010276006427e-12 9522.996513302562 4.625523826031339e8
850 14981.48660170425 17.597595188427523 0.005481133964510767 0.06445296650860634 0.14862138893390128 0.011870113479842808 0.07861838632377145 0.11496940949448962 2.6369202762326972e-12 9522.996513302742 4.6255238260313404e8
900 15861.26791603834 17.593746709487586 0.005794839536098134 0.06768161728023799 0.15749748801543167 0.012353335242573402 0.08265652318920653 0.12218960534317574 2.59075226847238e-11 9522.996513302542 4.625523826031354e8
950 16740.85401524412 17.589699840811875 0.006073434637540576 0.07095064183084004 0.1664592814619658 0.012583266364807737 0.08697339113740964 0.12941718893246332 3.959956139314158e-11 9522.996513302507 4.6255238260314333e8
1000 17614.132180975856 17.58498771509166 0.006320813301393814 0.07428187556255562 0.17542135337186046 0.012649727539674043 0.09156238597522864 0.13648824826811506 3.226648774078643e-11 9522.996513302598 4.6255238260313547e8
1050 18493.239566388536 17.579248551500623 0.006546927615231284 0.07776406681670174 0.18447939687737464 0.012555164539482855 0.09648177074058376 0.1434283292292604 2.288945807861722e-11 9522.996513302533 4.625523826031324e8
1100 19372.034811163332 17.572562064442817 0.006756169985707796 0.08140886852403455 0.19353619424801458 0.013037465451417131 0.10165678259360711 0.15016607332006732 2.3791222405472208e-11 9522.99651330252 4.625523826031353e8
