#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.1164910647226755e-12 11086.792062029675 6.049694847630886e8
50 214.6338868655917 4.292674304128137 4.869194483024741e-7 5.224792479497846e-6 9.428259450886853e-6 6.559142037687513e-6 1.5429841622200172e-5 1.7381429416684423e-5 -9.62443150606831e-13 11086.792062030947 6.049694847631018e8
100 429.267352527732 4.292665211735264 7.364653957991809e-7 1.133389531595441e-5 2.1316918741428347e-5 8.160371407671397e-6 3.335152907188776e-5 3.376559611097385e-5 -9.304799280908085e-13 11086.792062030174 6.049694847630932e8
150 643.9004899939222 4.292660445643668 8.375268018044736e-7 1.6600359891178718e-5 2.9414051065624802e-5 1.0016590578901636e-5 5.150117113633198e-5 3.827577348681409e-5 -9.116122832358537e-13 11086.79206203087 6.049694847631125e8
200 858.5334795460246 4.292659576787997 8.475265151184483e-7 2.0524742495970776e-5 3.3634949497849333e-5 9.588083655665777e-6 6.352229297590767e-5 4.4175794027150484e-5 -5.580716957801322e-13 11086.792062030565 6.049694847630817e8
250 1073.166495114297 4.292662550544735 8.27520367727908e-7 2.3022569631113682e-5 3.5159208243320306e-5 9.338607632677069e-6 7.410811783513784e-5 5.6162085858073217e-5 -4.969333184272717e-13 11086.792062030683 6.049694847630913e8
300 1287.7997118889928 4.292664877554218 8.143108470531128e-7 2.4685584036692494e-5 3.4996119678195897e-5 9.258296180708433e-6 8.649417724834548e-5 6.562192507574059e-5 -5.133076911072621e-13 11086.792062031207 6.049694847630805e8
350 1502.4330663344178 4.292669063184252 7.872625317883214e-7 2.6397736705041973e-5 3.434341742105401e-5 9.304012279719885e-6 9.908066319375723e-5 7.674369191332285e-5 -7.178287937678059e-13 11086.792062030987 6.04969484763101e8
400 1717.0664364948389 4.2926656568048145 7.560077083567283e-7 2.8424416562603077e-5 3.405282261128372e-5 9.163287628590872e-6 0.00010878127405992841 8.607475287047755e-5 -7.079790112709609e-13 11086.792062030903 6.049694847630854e8
450 1931.6996471167313 4.292661509009314 7.480758822087601e-7 3.061083705995044e-5 3.440160012772229e-5 8.663449034256252e-6 0.0001147829896890334 9.51572701523909e-5 -8.389965867522835e-13 11086.79206203067 6.04969484763098e8
