#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.2219809678099357e-13 11086.79206186889 6.049694847401692e8
50 428.13731711446076 8.562801963273804 3.901537422423661e-6 5.859903726659401e-5 9.584816616805354e-5 4.4243910470565175e-5 0.00012825169242042356 0.000192440778933057 -8.89316717447305e-5 11086.792061868964 6.0496948472342e8
100 856.2785580988541 8.562827961046244 3.1558666712046987e-6 9.510758599615299e-5 0.0001061347132645395 5.250635462459606e-5 0.00020901827566005687 0.00016827867244694598 -9.793199752193427e-5 11086.792061868866 6.049694846786149e8
150 1284.4190611133627 8.562795680320306 3.0791288357622716e-6 0.00013412936342672402 0.00012222409650032722 4.70235216720456e-5 0.0003044192927109052 0.00023689859414778935 -7.917532282248561e-5 11086.79206186838 6.04969484642068e8
200 1712.5587849727256 8.562779011970113 3.289684575162144e-6 0.00017632369106508397 0.0001569195715775346 5.221155670410833e-5 0.0004191990519525032 0.00032781866290604414 -8.96798010653659e-5 11086.792061868571 6.049694846062092e8
250 2140.695733291362 8.562703686375675 3.12031798660852e-6 0.00021531732462707224 0.00018054505060121538 5.527248446541435e-5 0.0005243462004085015 0.00043613522643626073 -8.869174107353199e-5 11086.792061869017 6.049694845673754e8
300 2568.830137722008 8.562678284993865 3.157913890638308e-6 0.0002542353694777791 0.00020830866919441064 5.366852827737848e-5 0.0006397167135350937 0.0005270029355751575 -8.590043923618809e-5 11086.792061868591 6.049694845304382e8
350 2996.963047547657 8.56263107936194 3.2129420145855695e-6 0.0002919141434357419 0.00023701366554771544 5.7262361464888974e-5 0.0007513987199804395 0.0006326325184744177 -9.084077176075848e-5 11086.79206186854 6.049694844925822e8
400 3425.0931474101358 8.562580632115312 3.182441028365242e-6 0.000328230180875392 0.00026260491469624463 5.831552652256037e-5 0.0008603833012174564 0.0007358292816453313 -9.109822649239725e-5 11086.792061868657 6.049694844534947e8
450 3853.2215185988207 8.562552535867587 3.228860327526397e-6 0.0003637586755692244 0.00028917002580722387 5.8699861076731776e-5 0.0009714844355774766 0.0008282297965568751 -9.247329627944193e-5 11086.792061868884 6.049694844143409e8
500 4281.347859106207 8.562500044243214 3.2602303635356885e-6 0.0003979570885348065 0.0003147690134032319 6.07994393889536e-5 0.0010754242632379375 0.0009252037859509429 -9.589966418974682e-5 11086.792061868497 6.049694843739783e8
550 4709.471765947249 8.562461287211976 3.2756181355032107e-6 0.00043101246447784284 0.00033890204581836297 6.1978879568146e-5 0.0011768809701331617 0.0010176720811167516 -9.741101018314734e-5 11086.792061868446 6.04969484332563e8
600 5137.594001498492 8.562425553155274 3.322948931984064e-6 0.0004631265675807277 0.0003628789669909937 6.308031083903623e-5 0.001273868179371396 0.0011027120606119996 -9.9885561134842e-5 11086.792061868537 6.049694842904001e8
650 5565.713972472131 8.562374032894212 3.3554137632850572e-6 0.0004941470341279035 0.0003858847015994604 6.410244635512137e-5 0.001363829361739929 0.0011818287541265355 -0.00010297395809477641 11086.792061868553 6.049694842469484e8
700 5993.8315780586945 8.562333380003151 3.3850214012327755e-6 0.0005241163330285632 0.00040785479663685704 6.474260370258345e-5 0.0014463735049221862 0.0012544571912862274 -0.00010515436818244219 11086.792061868766 6.049694842023851e8
750 6421.947290888168 8.562294431666725 3.4306045798097347e-6 0.0005531472753905509 0.0004292990712055385 6.547377579689316e-5 0.0015236117952483676 0.0013245922798460728 -0.00010782144564028242 11086.79206186843 6.049694841568143e8
800 6850.0608821099495 8.562250335522762 3.466313671825826e-6 0.0005812543085382304 0.00044995324976364055 6.617094227386206e-5 0.0015915532412814771 0.0013928816477039119 -0.00011073104410499241 11086.792061868537 6.04969484110035e8
850 7278.172348601899 8.562209536176338 3.4988489258934205e-6 0.0006084537433291952 0.00046977290703770273 6.664536098295449e-5 0.0016511099535471605 0.0014519487761100848 -0.00011317496166385828 11086.79206186854 6.049694840620908e8
900 7706.281816264523 8.562170359681236 3.538893680677889e-6 0.0006347923037302325 0.0004889583204220407 6.698530167158356e-5 0.0017068292929325127 0.0015031619986817515 -0.00011573342321543901 11086.792061868595 6.049694840131067e8
950 8134.3893994569235 8.562133955651504 3.575558615377829e-6 0.0006603091975572647 0.0005074611285106907 6.7217065675732e-5 0.0017586392817021063 0.001547638720627559 -0.00011839152278043182 11086.79206186869 6.049694839629911e8
1000 8562.49516668539 8.562097446123472 3.6090023894117e-6 0.0006850396756808199 0.0005252587439546206 6.736704086093255e-5 0.0018030090799053722 0.001583573665773419 -0.00012083236497220176 11086.792061868398 6.049694839117676e8
1050 8982.483091296821 8.562064957583694 3.643767697808267e-6 0.0007085710888867248 0.0005421092955784288 6.744154074602381e-5 0.001845220794418672 0.0016113544222100258 -0.00012318185313487713 11086.792061868886 6.049694838605261e8
1100 9410.585620194672 8.562037252923782 3.678260865896047e-6 0.0007318424705182405 0.0005586766041415431 6.743085279686017e-5 0.001961248192695262 0.0016528854010075642 -0.0001255805003046453 11086.792061868377 6.049694838072859e8
1150 9838.686811707918 8.562011288730345 3.710542133209176e-6 0.0007544226838892034 0.0005746211275732792 6.736224669649424e-5 0.0020779078560368273 0.0017189723834090446 -0.00012786760203198016 11086.792061868577 6.049694837530353e8
1200 10266.786811987335 8.561990381733642 3.7424170052716004e-6 0.0007763430098513501 0.0005899694975791567 6.724807154485217e-5 0.0021949551250262486 0.001776383347049867 -0.00013006934957018396 11086.792061868195 6.049694836978195e8
1250 10694.885952692863 8.561976519719723 3.773731727554829e-6 0.0007976306609615254 0.0006047437832532563 6.709546239400384e-5 0.002312000778027075 0.0018255052488887111 -0.00013222096131140912 11086.792061868691 6.04969483641662e8
1300 11122.984538858373 8.561967950066636 3.803860904853565e-6 0.0008183109981128339 0.0006189530314072743 6.691732134425264e-5 0.002428591582986966 0.0018809408582913698 -0.00013429487962923257 11086.792061868498 6.049694835846131e8
1350 11551.082833419256 8.561964849512787 3.832950473193118e-6 0.0008384095141856623 0.0006326120501358589 6.67183846859745e-5 0.002544411199250766 0.0019352745077525896 -0.0001362888238802798 11086.792061868637 6.04969483526699e8
1400 11979.181120440078 8.56196755568269 3.8614817713650715e-6 0.0008579493674691299 0.0006457371872883832 6.651510692546276e-5 0.002659078321569811 0.0019817491270244115 -0.00013821536034000612 11086.792061868478 6.04969483467933e8
1450 12407.27969085599 8.561975999975571 3.888757203610698e-6 0.0008769527451692546 0.0006583445016395464 6.631776333326035e-5 0.0027722325552908852 0.002019739638716291 -0.0001400710029957556 11086.792061868473 6.04969483408372e8
1500 12835.37881324741 8.561989369369314 3.915480857109568e-6 0.0008954395208730805 0.0006704472431405541 6.663812227012559e-5 0.0028836073234345403 0.002055390224444393 -0.00014185332658154932 11086.792061868495 6.04969483348029e8
1550 13263.478713855866 8.562006983420464 3.941056298191131e-6 0.0009134295361944013 0.0006820633465705428 6.745100846523611e-5 0.0029928288185789294 0.0020861529720555484 -0.00014356600459792951 11086.792061868824 6.04969483286932e8
1600 13691.579593936802 8.562028343207762 3.965859499281461e-6 0.000930940358974128 0.0006932085803115278 6.820859582951314e-5 0.00309946152372904 0.002108993434770373 -0.00014521038741830883 11086.792061868491 6.049694832251017e8
1650 14119.681618890494 8.562052608407518 3.989905270119451e-6 0.0009479888957095856 0.0007038998094287934 6.888532876780897e-5 0.003203133722536255 0.0021382618206407544 -0.0001467864621931036 11086.79206186869 6.049694831626016e8
1700 14547.78492386683 8.562079477974258 4.012901832370471e-6 0.0009645912584731832 0.0007141549835508184 6.955264560035164e-5 0.003303680255030752 0.002168991470464568 -0.00014829530553374875 11086.792061868488 6.049694830994384e8
1750 14975.88963192911 8.562108559237965 4.035032295373753e-6 0.0009807619697443967 0.0007239915902220508 7.024931435524043e-5 0.0034009152153872068 0.002193436156016157 -0.00014973843617337217 11086.792061868176 6.049694830356454e8
1800 15403.995831686505 8.562138987365918 4.056610953213789e-6 0.0009965144600025545 0.0007334280408729466 7.090004192460601e-5 0.003494355561439642 0.0022099736442579496 -0.00015111666287965492 11086.792061868211 6.049694829712362e8
1850 15832.103574559982 8.562170200075979 4.077100454896201e-6 0.0010118620668300498 0.0007424847168439271 7.14270577723344e-5 0.0035835956721422804 0.0022280502551004946 -0.00015243092954438504 11086.792061868504 6.049694829062611e8
1900 16260.212887540692 8.562201667526685 4.096557010818178e-6 0.0010268169199950247 0.0007511806598239304 7.19631111384711e-5 0.0036685795026596014 0.0022396031355344658 -0.00015368229269050485 11086.792061868546 6.049694828407359e8
1950 16688.3237619152 8.562232499239254 4.115509958644706e-6 0.001041389981221442 0.0007595344191600767 7.258253279692575e-5 0.0037493306431762518 0.002247959723904761 -0.00015487214843712456 11086.792061868342 6.04969482774676e8
2000 17116.436140384085 8.562261716561252 4.133592813676879e-6 0.0010555920954066025 0.0007675666944248309 7.305768933338475e-5 0.003825241350127801 0.0022620109761548753 -0.00015600124845819747 11086.792061868591 6.049694827081374e8
2050 17536.86841768229 8.562288202944636 4.150291303381468e-6 0.001069188439057085 0.0007751621118508713 7.346921543511672e-5 0.0038945806822966163 0.0022748870627171806 -0.00015705206552391255 11086.792061868397 6.04969482642323e8
2100 17964.9834641268 8.562312761597498 4.166600755398575e-6 0.001082685283064885 0.0007826177467307107 7.397711986765272e-5 0.0039603968728153735 0.0022860187068538037 -0.00015806462081699576 11086.792061868427 6.049694825748732e8
2150 18393.099676949427 8.562334899453175 4.182377043250436e-6 0.001095839624109871 0.0007898118154007745 7.439479806517824e-5 0.004021002805459685 0.002289767448553362 -0.0001590199766457502 11086.792061868693 6.049694825069885e8
2200 18821.216933545504 8.562354567741904 4.196892720902769e-6 0.0011086606506743304 0.0007967667062047901 7.473320222986082e-5 0.004075690317958934 0.0023167604004523073 -0.00015991954950033034 11086.792061868444 6.049694824387283e8
2250 19249.335116927385 8.562372135195018 4.210509521164982e-6 0.0011211563537993237 0.000803501738829866 7.509040645330758e-5 0.004124891672486307 0.002357564252089323 -0.00016076510991600137 11086.792061868458 6.049694823700777e8
2300 19677.454144116495 8.562388494074037 4.224055214005409e-6 0.0011333337502870333 0.000810035111077841 7.542854839847313e-5 0.004168524492598064 0.0023934989323609857 -0.00016155645408587216 11086.792061868302 6.049694823010732e8
2350 20105.573972524275 8.562404240414988 4.23627388801194e-6 0.0011452019809275542 0.0008163914690043212 7.571945570532787e-5 0.004206097046964847 0.0024241275306663953 -0.00016229626673926398 11086.792061868628 6.049694822317466e8
2400 20533.694574707737 8.562419451776258 4.247641835658143e-6 0.0011567677752536817 0.0008225877971282841 7.621656579694456e-5 0.004237639098159341 0.0024489401344235605 -0.0001629873718346557 11086.792061868675 6.049694821621143e8
2450 20961.815923756498 8.56243412818071 4.258490055299142e-6 0.0011680375491994021 0.0008286404566127702 7.683140976163315e-5 0.004271586463583263 0.002467742015669464 -0.000163627070681424 11086.792061868564 6.04969482092191e8
2500 21389.9379916817 8.562448177151795 4.268552229740766e-6 0.0011790199614467097 0.0008345729212521363 7.741783659794571e-5 0.004300916577712464 0.0024870499423900504 -0.00016421701680953163 11086.792061868477 6.049694820220213e8
2550 21818.060736878575 8.562461133605042 4.278000630354859e-6 0.001189721620785786 0.0008403998994313442 7.79766498607666e-5 0.004324260301490736 0.0025147151853841237 -0.00016476490992706563 11086.792061868895 6.049694819515821e8
2600 22246.184088449874 8.562472384765604 4.286504190203549e-6 0.001200148138775927 0.0008461327849354935 7.850926666318248e-5 0.004341510169496003 0.002536966040055602 -0.0001652653005920195 11086.79206186834 6.049694818809456e8
2650 22674.307952732608 8.562481667984171 4.294355428648629e-6 0.0012103075063424017 0.000851793255886214 7.901556777404904e-5 0.004352670659272527 0.002553545928745184 -0.0001657141280517388 11086.7920618684 6.049694818100901e8
2700 23102.432228453705 8.5624888380694 4.301872534644522e-6 0.0012202084669309977 0.0008573967500401798 7.949965276261834e-5 0.004357707269371822 0.002564077412302517 -0.0001661226134240182 11086.792061868495 6.049694817390697e8
2750 23530.556802483126 8.562493639301413 4.308671168472768e-6 0.001229857614652033 0.0008629489299768932 7.996538190343605e-5 0.004356615348661944 0.0025682211394778263 -0.00016649265333347021 11086.792061868227 6.049694816678594e8
2800 23958.681565774652 8.562496644004955 4.314482954894722e-6 0.001239260692935002 0.0008684669043543904 8.039917740673047e-5 0.0043493927302875315 0.0025825304633878042 -0.0001668139346150154 11086.792061868628 6.049694815965141e8
2850 24386.80646133443 8.56249910657393 4.319897183024788e-6 0.0012484273471565948 0.0008739653095347345 8.079886885386634e-5 0.00433605908698076 0.0026112798616431303 -0.0001670900624839987 11086.792061868386 6.049694815250263e8
2900 24814.931475651472 8.562501364044243 4.325239501003927e-6 0.0012573684342859614 0.0008794414856844355 8.118387498346014e-5 0.004316757735526434 0.0026355193961216388 -0.00016733301891949288 11086.792061868453 6.04969481453436e8
2950 25243.056594523103 8.562503337383026 4.329794247062422e-6 0.0012660872790812537 0.0008849039588622134 8.155264422495942e-5 0.004291505041748279 0.00265483380351206 -0.00016754448441220284 11086.792061868438 6.049694813817452e8
3000 25671.18181776174 8.562505690302984 4.333147121479632e-6 0.0012745888249112542 0.0008903725069270677 8.187213132846491e-5 0.0042602519425609265 0.0026687232056151794 -0.00016771554562489778 11086.792061868617 6.049694813099952e8
3050 26091.250168521372 8.562509208626224 4.336272074566864e-6 0.0012827364957166763 0.000895741259423779 8.214181441123825e-5 0.004223996751120529 0.0027057293532540758 -0.0001678433333578134 11086.792061868262 6.049694812395029e8
3100 26519.375744643763 8.562513764527955 4.340016727530933e-6 0.0012908541527295089 0.0009012036606792138 8.243539620724731e-5 0.004181628637302532 0.0027480489600252406 -0.00016795048320834683 11086.792061868517 6.049694811676223e8
3150 26947.5015268764 8.562517035963948 4.343269667122021e-6 0.0012987775037552564 0.0009066640092967418 8.273793007898119e-5 0.004133739561052826 0.002782730966726613 -0.00016803754692182522 11086.792061868477 6.049694810957001e8
3200 27375.627406307085 8.562517819324766 4.345059433370926e-6 0.0013065128862421139 0.0009121323934588032 8.293529799699895e-5 0.004085482133853763 0.002810421604051072 -0.0001680802877026119 11086.792061868746 6.049694810237532e8
3250 27803.753301301942 8.562518055490406 4.345933484888137e-6 0.001314089202292392 0.0009176055049740055 8.304366268964406e-5 0.004032568898233167 0.0028539737508609855 -0.00016808121752357464 11086.792061868442 6.049694809517792e8
