#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 -4.607653085043912e-13 11086.792070988973 6.049694682761191e8
50 851.6116189406973 17.03168772462557 5.9070580897911474e-5 0.0012040266298863846 0.001987049620299562 0.000763198159321773 0.0028462690141306916 0.003147666244061861 -1.7272397060808516e-13 11086.792070988882 6.049694682761078e8
100 1703.1378454749338 17.029962631263796 5.354675405576152e-5 0.001921970773150456 0.0026688811750120267 0.0005230382975602533 0.005682422688666013 0.0037207679083257586 -4.866584405211753e-14 11086.79207098896 6.049694682761102e8
150 2554.36936012911 17.020418040460267 5.4192507720774574e-5 0.002357053252991025 0.002453534659640413 0.0007546663219862023 0.006991660269077739 0.006264286865885543 -2.8313363922198315e-13 11086.792070988995 6.049694682761071e8
200 3405.4407383327957 17.020926355035996 5.040383004656057e-5 0.00296919775353702 0.0029334770381135794 0.0006123284017138342 0.008947901543005846 0.008946904850741134 -1.9310931802754645e-13 11086.792070988839 6.049694682761109e8
250 4256.3326902409435 17.01565601664033 5.421223049051481e-5 0.003616074020355894 0.003688055260728629 0.0006326014471800131 0.011273907594351889 0.011311205259785554 -1.2425562942668577e-14 11086.792070989071 6.049694682761081e8
300 5106.946025181222 17.008586731327053 5.705501073302942e-5 0.004200912726832104 0.00394188223292728 0.0004970706617157426 0.013250880506228895 0.0132947186256752 -1.765890142915003e-13 11086.792070989088 6.049694682761106e8
350 5957.269240904657 17.00531824857266 5.187984776730626e-5 0.004762089043520607 0.004265197459089009 0.0004165296588120393 0.015413289825482405 0.015464281881457495 -2.0719431639276267e-13 11086.792070988811 6.04969468276108e8
400 6807.506464347433 17.00349833086918 5.0868085016827584e-5 0.005267219165628178 0.004773474218689939 0.00043833037284990797 0.016689586645670718 0.0167448010967143 -2.6843782527651266e-13 11086.792070988822 6.049694682761012e8
450 7657.633529149773 17.00115274677679 5.5675253995375464e-5 0.005794252147886552 0.005076978126455887 0.0004629145343156136 0.017655554814064257 0.017713964994472 -1.9075274458488465e-13 11086.792070989008 6.049694682761182e8
500 8507.593417371714 17.00070540415612 5.406044796492275e-5 0.006281536651426164 0.005286837633520009 0.0004327364907890308 0.0177870272992451 0.017845872432369694 -3.1271651809420944e-14 11086.792070988922 6.049694682761092e8
550 9353.972486100358 16.998731340105692 5.2186488896801174e-5 0.006746846984509929 0.005581720148466979 0.00043562822029061076 0.01819537675206549 0.01741039595637277 -3.9573407159851407e-13 11086.79207098884 6.049694682761037e8
600 10203.984032159835 16.99769751915758 5.4800652274220636e-5 0.007177452801588043 0.005812347138354488 0.0005287397300469059 0.02012705454799146 0.017159080181180716 -5.501883760498841e-13 11086.792070988855 6.049694682761105e8
650 11053.967320661342 17.000506843774563 5.6594644974511754e-5 0.007603079995569641 0.005959624122176264 0.00041632097883275256 0.022840241273831833 0.018469230990776162 -6.366900267690547e-14 11086.792070988939 6.049694682761056e8
