#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.5390306949289094e-14 11086.792061868888 6.04969484740169e8
50 428.13731711446076 8.562801963273804 3.901537422423277e-6 5.8599037266599914e-5 9.584816616805846e-5 4.4243910470565175e-5 0.00012825169242053786 0.00019244077893279963 -8.893167177858692e-5 11086.792061868959 6.0496948472342e8
100 856.2785580988541 8.562827961046244 3.1558666712052243e-6 9.510758599614973e-5 0.00010613471326458186 5.250635462459606e-5 0.00020901827565971402 0.00016827867244651698 -9.79319975299387e-5 11086.792061868862 6.049694846786147e8
150 1284.4190611133627 8.562795680320306 3.0791288357617956e-6 0.00013412936342672616 0.00012222409650032676 4.702352167188384e-5 0.0003044192927128481 0.00023689859414813253 -7.917532290067431e-5 11086.792061868375 6.049694846420678e8
200 1712.5587849727256 8.562779011970111 3.28968457516133e-6 0.00017632369106507817 0.00015691957157753955 5.2211556703946565e-5 0.0004191990519515889 0.0003278186629058154 -8.96798011603558e-5 11086.792061868566 6.049694846062088e8
250 2140.695733291362 8.562703686375677 3.120317986608413e-6 0.00021531732462706476 0.00018054505060119774 5.527248446541435e-5 0.0005243462004095301 0.00043613522643694703 -8.869174102042615e-5 11086.792061869013 6.049694845673754e8
300 2568.830137722008 8.562678284993865 3.1579138906387e-6 0.0002542353694777721 0.0002083086691944962 5.3668528277540245e-5 0.0006397167135361222 0.0005270029355765302 -8.590043922567364e-5 11086.792061868588 6.049694845304382e8
350 2996.963047547657 8.56263107936194 3.2129420145850477e-6 0.0002919141434357033 0.00023701366554774347 5.726236146521249e-5 0.0007513987199806681 0.0006326325184741889 -9.084077200963584e-5 11086.792061868538 6.049694844925821e8
400 3425.0931474101358 8.562580632115314 3.1824410283653943e-6 0.0003282301808753442 0.0002626049146962614 5.8315526522075085e-5 0.0008603833012187136 0.0007358292816463609 -9.109822608426467e-5 11086.792061868655 6.049694844534945e8
450 3853.2215185988207 8.562552535867587 3.22886032752525e-6 0.0003637586755691911 0.00028917002580721227 5.869986107640826e-5 0.0009714844355770195 0.0008282297965569895 -9.247329664327741e-5 11086.792061868882 6.049694844143406e8
500 4281.347859106207 8.562500044243206 3.2602303635364826e-6 0.00039795708853476177 0.0003147690134032202 6.0799439389277124e-5 0.0010754242632367945 0.0009252037859488839 -9.589966455321341e-5 11086.792061868493 6.04969484373978e8
550 4709.471765947249 8.562461287211976 3.2756181355031976e-6 0.00043101246447781286 0.0003389020458183619 6.1978879568146e-5 0.0011768809701306472 0.0010176720811137774 -9.741101025196812e-5 11086.792061868446 6.04969484332563e8
600 5137.594001498492 8.562425553155274 3.322948931985515e-6 0.000463126567580698 0.00036287896699102297 6.308031083855096e-5 0.001273868179369796 0.0011027120606101695 -9.988556120826164e-5 11086.792061868537 6.049694842903999e8
650 5565.713972472131 8.562374032894217 3.3554137632847803e-6 0.00049414703412786 0.0003858847015995038 6.410244635512137e-5 0.0013638293617377576 0.0011818287541247052 -0.00010297395834014156 11086.792061868551 6.049694842469485e8
700 5993.831578058694 8.56233338000315 3.385021401231728e-6 0.0005241163330285514 0.0004078547966369175 6.474260370274521e-5 0.0014463735049199005 0.0012544571912839395 -0.00010515436841629509 11086.79206186876 6.04969484202385e8
750 6421.947290888167 8.562294431666727 3.430604579811483e-6 0.0005531472753905386 0.0004292990712056359 6.547377579689316e-5 0.001523611795245739 0.0013245922798464159 -0.00010782144552053108 11086.792061868427 6.049694841568141e8
800 6850.060882109949 8.562250335522766 3.4663136718259934e-6 0.0005812543085382326 0.00044995324976374545 6.617094227386206e-5 0.0015915532412788484 0.0013928816477013952 -0.00011073104368006137 11086.792061868531 6.049694841100347e8
850 7278.172348601898 8.562209536176342 3.4988489258934925e-6 0.0006084537433292018 0.00046977290703776643 6.664536098295449e-5 0.0016511099535461318 0.0014519487761080257 -0.00011317496123079766 11086.792061868538 6.049694840620908e8
900 7706.281816264522 8.56217035968124 3.5388936806780076e-6 0.0006347923037302173 0.0004889583204221287 6.698530167206883e-5 0.00170682929293297 0.0015031619986832386 -0.00011573342327596061 11086.792061868591 6.049694840131065e8
950 8134.389399456923 8.562133955651504 3.5755586153767895e-6 0.0006603091975572705 0.0005074611285107875 6.721706567557025e-5 0.001758639281700849 0.0015476387206241273 -0.00011839152279933896 11086.792061868688 6.04969483962991e8
1000 8562.49516668539 8.562097446123474 3.6090023894128063e-6 0.0006850396756808515 0.0005252587439547334 6.736704086060904e-5 0.0018030090799066294 0.0015835736657749061 -0.00012083236508082463 11086.792061868393 6.049694839117675e8
1050 8982.483091296821 8.562064957583694 3.6437676978081217e-6 0.0007085710888867616 0.0005421092955785335 6.74415407457003e-5 0.0018452207944185004 0.0016113544222108266 -0.0001231818529718102 11086.79206186888 6.049694838605257e8
1100 9410.585620194672 8.56203725292378 3.6782608658960874e-6 0.000731842470518233 0.0005586766041416943 6.743085279653664e-5 0.001961248192696576 0.0016528854010116824 -0.00012558050026695641 11086.79206186837 6.049694838072857e8
1150 9838.686811707918 8.562011288730345 3.710542133209752e-6 0.0007544226838892232 0.0005746211275734133 6.736224669649424e-5 0.002077907856036713 0.0017189723834113324 -0.0001278676019034839 11086.792061868575 6.049694837530351e8
1200 10266.786811987335 8.56199038173364 3.7424170052723792e-6 0.0007763430098513657 0.0005899694975793012 6.724807154469041e-5 0.002194955125025277 0.0017763833470506678 -0.00013006934993244152 11086.792061868195 6.049694836978192e8
1250 10694.885952692863 8.561976519719721 3.7737317275563354e-6 0.0007976306609615262 0.0006047437832533883 6.70954623941656e-5 0.0023120007780258176 0.0018255052488906558 -0.0001322209612715871 11086.792061868688 6.04969483641662e8
1300 11122.984538858373 8.561967950066636 3.8038609048543337e-6 0.0008183109981128735 0.0006189530314073802 6.691732134457615e-5 0.0024285915829883944 0.0018809408582957168 -0.00013429487941461133 11086.792061868498 6.04969483584613e8
1350 11551.082833419256 8.561964849512785 3.832950473192211e-6 0.0008384095141857025 0.0006326120501359454 6.671838468516571e-5 0.0025444111992497373 0.0019352745077548775 -0.00013628882362190696 11086.792061868635 6.049694835266988e8
1400 11979.181120440078 8.561967555682688 3.861481771366681e-6 0.0008579493674691669 0.0006457371872884882 6.651510692481572e-5 0.0026590783215666115 0.00198174912702567 -0.00013821535995793758 11086.792061868475 6.049694834679328e8
1450 12407.27969085599 8.561975999975568 3.8887572036103506e-6 0.0008769527451692828 0.00065834450163961 6.631776333423092e-5 0.002772232555287457 0.002019739638717206 -0.00014007100330679494 11086.792061868475 6.04969483408372e8
1500 12835.37881324741 8.561989369369309 3.915480857110189e-6 0.0008954395208731015 0.0006704472431406112 6.663812227061087e-5 0.0028836073234346548 0.0020553902244440495 -0.00014185332661252722 11086.792061868491 6.049694833480289e8
1550 13263.478713855866 8.562006983420464 3.9410562981923145e-6 0.0009134295361944081 0.0006820633465706522 6.745100846491258e-5 0.002992828818574415 0.0020861529720581796 -0.0001435660043858588 11086.79206186883 6.049694832869318e8
1600 13691.579593936802 8.562028343207762 3.96585949928116e-6 0.0009309403589741545 0.0006932085803116615 6.82085958304837e-5 0.0030994615237287543 0.0021089934347699154 -0.00014521038737248722 11086.79206186849 6.049694832251018e8
1650 14119.681618890494 8.562052608407518 3.9899052701186595e-6 0.0009479888957096009 0.0007038998094288865 6.888532876748545e-5 0.0032031337225349983 0.00213826182064533 -0.0001467864623249298 11086.792061868688 6.049694831626016e8
1700 14547.78492386683 8.56207947797426 4.012901832371622e-6 0.0009645912584732365 0.0007141549835509202 6.95526455997046e-5 0.0033036802550303517 0.0021689914704682285 -0.00014829530567206915 11086.792061868486 6.049694830994384e8
1750 14975.88963192911 8.562108559237965 4.035032295374356e-6 0.0009807619697444442 0.0007239915902221339 7.024931435588747e-5 0.003400915215386464 0.00219343615601833 -0.00014973843649271362 11086.792061868173 6.049694830356454e8
1800 15403.995831686505 8.562138987365925 4.056610953215172e-6 0.0009965144600026258 0.0007334280408730401 7.090004192444425e-5 0.003494355561437985 0.0022099736442587506 -0.00015111666299904455 11086.79206186821 6.049694829712362e8
1850 15832.103574559982 8.56217020007598 4.077100454896027e-6 0.0010118620668301101 0.0007424847168440375 7.142705777217264e-5 0.0035835956721429665 0.0022280502551025537 -0.00015243092948203797 11086.792061868504 6.049694829062611e8
1900 16260.212887540692 8.562201667526685 4.0965570108164335e-6 0.0010268169199950724 0.000751180659824037 7.19631111392799e-5 0.0036685795026594873 0.0022396031355419012 -0.000153682292647656 11086.792061868542 6.049694828407358e8
1950 16688.3237619152 8.562232499239256 4.115509958647338e-6 0.0010413899812214953 0.0007595344191601727 7.258253279660222e-5 0.003749330643177909 0.0022479597239087644 -0.0001548721488824504 11086.792061868337 6.049694827746758e8
2000 17116.436140384085 8.562261716561252 4.133592813677133e-6 0.0010555920954066285 0.00076756669442495 7.305768933354652e-5 0.0038252413501300864 0.0022620109761531597 -0.00015600124865072364 11086.792061868584 6.049694827081374e8
2050 17536.86841768229 8.562288202944648 4.1502913033807026e-6 0.0010691884390570863 0.0007751621118509253 7.346921543495496e-5 0.0038945806822990162 0.0022748870627166086 -0.00015705206506240295 11086.792061868397 6.049694826423228e8
2100 17964.9834641268 8.562312761597509 4.166600755401998e-6 0.0010826852830648805 0.0007826177467307814 7.397711986749096e-5 0.003960396872812516 0.002286018706855291 -0.00015806462061739368 11086.792061868422 6.049694825748732e8
2150 18393.09967694943 8.562334899453182 4.1823770432508656e-6 0.0010958396241099015 0.000789811815400855 7.439479806566351e-5 0.004021002805461057 0.0022897674485522178 -0.00015901997639886014 11086.792061868693 6.049694825069886e8
2200 18821.216933545507 8.56235456774191 4.196892720902936e-6 0.0011086606506743514 0.0007967667062048487 7.473320222986082e-5 0.004075690317959906 0.002316760400457598 -0.00015991954966746512 11086.792061868444 6.049694824387282e8
2250 19249.33511692739 8.56237213519502 4.210509521167154e-6 0.0011211563537993385 0.0008035017388298817 7.509040645233701e-5 0.004124891672486708 0.0023575642520918963 -0.00016076510995553236 11086.792061868457 6.049694823700776e8
2300 19677.4541441165 8.562388494074042 4.2240552140051875e-6 0.0011333337502870452 0.0008100351110778595 7.542854839863489e-5 0.004168524492600635 0.002393498932364532 -0.0001615564541129996 11086.792061868297 6.049694823010731e8
2350 20105.57397252428 8.562404240414986 4.236273888011299e-6 0.0011452019809275711 0.000816391469004319 7.571945570581316e-5 0.004206097046964561 0.0024241275306672535 -0.00016229626678861177 11086.79206186862 6.049694822317466e8
2400 20533.69457470774 8.562419451776263 4.2476418356592974e-6 0.001156767775253731 0.000822587797128265 7.621656579791513e-5 0.004237639098161284 0.0024489401344286797 -0.00016298737171058193 11086.79206186867 6.049694821621138e8
2450 20961.8159237565 8.56243412818071 4.258490055299521e-6 0.0011680375491994418 0.0008286404566127644 7.683140976163315e-5 0.004271586463585319 0.0024677420156702934 -0.00016362707022259476 11086.792061868562 6.049694820921905e8
2500 21389.9379916817 8.56244817715179 4.2685522297390315e-6 0.0011790199614467314 0.0008345729212521359 7.741783659859275e-5 0.004300916577713264 0.0024870499423913085 -0.00016421701723729767 11086.792061868473 6.049694820220214e8
2550 21818.060736878575 8.562461133605046 4.278000630356758e-6 0.0011897216207858005 0.0008403998994313034 7.797664986011956e-5 0.004324260301490622 0.002514715185386297 -0.00016476490992250268 11086.792061868891 6.049694819515821e8
2600 22246.184088449874 8.562472384765611 4.286504190204166e-6 0.0012001481387759062 0.0008461327849355317 7.850926666334424e-5 0.00434151016949426 0.0025369660400557737 -0.00016526530038739735 11086.792061868338 6.049694818809454e8
2650 22674.307952732608 8.562481667984178 4.29435542865059e-6 0.0012103075063423958 0.0008517932558863031 7.901556777372552e-5 0.0043526706592719264 0.0025535459287482436 -0.00016571412810105276 11086.792061868395 6.049694818100897e8
2700 23102.432228453705 8.562488838069408 4.301872534643927e-6 0.0012202084669309865 0.0008573967500402111 7.949965276278009e-5 0.004357707269371565 0.0025640774123036033 -0.00016612261325126386 11086.792061868493 6.049694817390695e8
2750 23530.556802483126 8.562493639301408 4.308671168471435e-6 0.0012298576146520348 0.000862948929976864 7.996538190359781e-5 0.004356615348665002 0.0025682211394762247 -0.000166492652935343 11086.79206186822 6.049694816678597e8
