#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 8.740830205367139e-12 9522.996513302545 4.625523826031436e8
50 884.5785345353062 17.687362720665046 0.00027669176697542146 0.003906125021917324 0.009338730895977367 0.001101415316520014 0.005385254949791873 0.007589575433729352 5.2676069438347885e-12 9522.996513302664 4.625523826031331e8
100 1768.6878890212229 17.676944172983777 0.0005206690170754399 0.007856100287439908 0.0186784767781374 0.002031874855995596 0.010995928378672337 0.015374114739792123 6.051606482403823e-12 9522.99651330252 4.625523826031264e8
150 2652.2484568491154 17.665710857920033 0.0007122622452932131 0.011870844660227586 0.0280034004339863 0.0026543678114588683 0.016743705320534104 0.023227340160581245 6.0693894658665935e-12 9522.996513302669 4.6255238260313976e8
200 3535.2625601078785 17.655326053245492 0.0008560009830286063 0.015938529695868054 0.037269601741782225 0.0029212357888794894 0.022523769529959978 0.031015433184613368 4.93284612943496e-12 9522.996513302567 4.6255238260313684e8
250 4417.8070543623735 17.647033655476058 0.000985808686944279 0.020025563705460322 0.04641488935071336 0.002843930122791236 0.028226169107450173 0.038610590077290216 3.77843600916984e-12 9522.996513302664 4.625523826031337e8
300 5300.00216515283 17.64130797170041 0.0011536539051814545 0.02409680965808868 0.055380693154698804 0.0025009764700178756 0.03374802635360277 0.045904238634482133 3.038845445331761e-12 9522.996513302605 4.625523826031381e8
350 6181.970961951849 17.637825616986028 0.0013985489744375152 0.02813068199429713 0.06413474131355067 0.0024732596234409137 0.03900515198403359 0.05282081159014158 2.6304113376823047e-12 9522.996513302602 4.6255238260313004e8
400 7063.804739770069 17.635705632300517 0.0017250383123560626 0.032120745170445844 0.07268369769880899 0.0034155014373241956 0.04394143296813983 0.05933124148802947 -2.7067380270307323e-13 9522.996513302545 4.625523826031322e8
450 7945.544325747465 17.633877986527487 0.002113570658831229 0.03606594525809061 0.08107082422821708 0.004405321125193077 0.04853447412726002 0.0654630362060691 -3.103374419245142e-13 9522.996513302674 4.6255238260312825e8
500 8816.317306079445 17.63147215923043 0.002534942345956993 0.039911339486138654 0.08925952942190764 0.00536777877307125 0.052745720573262385 0.07123176979014562 -1.8630352290895382e-13 9522.996513302573 4.625523826031337e8
550 9697.805493618172 17.62792242841641 0.0029813097364839456 0.04373474137894017 0.09752194107361373 0.006274403267537367 0.05672199580582541 0.07691525005913133 -1.4699193984547867e-12 9522.996513302522 4.625523826031329e8
