#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 8.668208204300216e-13 9507.350780128203 7.3877808458716e8
50 825.9391478290346 16.50888315393906 4.48844111871285e-7 2.5159820334452633e-6 6.613128494137944e-6 1.3783318104982165e-6 1.4303023160704003e-5 1.2112834300616662e-5 -9.123905732856123e-13 9507.350780128158 7.387780845871726e8
100 1650.9079213080406 16.49062827901873 8.446070096451487e-7 5.153413499854297e-6 1.3087915799821159e-5 2.5728513995284985e-6 2.540989767003723e-5 2.498099669101585e-5 -1.060768430081802e-12 9507.350780128194 7.387780845871731e8
150 2475.024837921301 16.47476823696539 1.198247884997349e-6 7.835537754580452e-6 1.8981710550579553e-5 3.5373529627649106e-6 4.730011783924318e-5 3.8531653690317467e-5 1.1730626544861852e-13 9507.350780128118 7.387780845871743e8
200 3298.4108107260354 16.461349001109276 1.5269914207402746e-6 1.0457600055425351e-5 2.3717135353237207e-5 5.110783950960611e-6 7.633550027807093e-5 5.487281377300451e-5 2.7235790951761375e-13 9507.350780128127 7.387780845871779e8
250 4121.188896619439 16.4504093497361 1.834351988827613e-6 1.3005098838824366e-5 2.7068413407308727e-5 6.6519625022498685e-6 0.0001087658798529982 7.388299845979138e-5 -1.5913594061741842e-12 9507.350780128256 7.387780845871711e8
300 4943.483973127779 16.441984445287044 2.1119130111191444e-6 1.5435067609983022e-5 2.917510316161147e-5 7.662679558273078e-6 0.00014845266891640903 9.600443509800728e-5 -1.3062856919904849e-12 9507.350780128207 7.387780845871819e8
350 5765.422621973478 16.43610536958854 2.34960835811663e-6 1.7677023264891546e-5 3.0370008498162727e-5 8.063224206538893e-6 0.0001888563874176632 0.00011949637141210263 -1.1636894868190435e-12 9507.35078012814 7.387780845871818e8
400 6587.132817674844 16.4327984346794 2.544303068769733e-6 1.9666075444904756e-5 3.100087043650093e-5 8.338337323594044e-6 0.00022836729816858402 0.00014342204261406203 1.038901534433499e-12 9507.350780128167 7.387780845871714e8
450 7408.665505209996 16.427914484920205 2.6947453423757347e-6 2.1357342477418138e-5 3.139844205591389e-5 8.138773445834955e-6 0.00025939046119198225 0.00016824012152574672 2.0506216484139593e-12 9507.350780128087 7.387780845871705e8
500 8229.951849781382 16.424040327967667 2.797312969131948e-6 2.2783794657403372e-5 3.187331697779263e-5 8.052111773404595e-6 0.0002844077726308077 0.0001959322717945041 3.854179155941489e-13 9507.350780128223 7.387780845871718e8
550 9050.570670727908 16.422714359235087 2.8500865027620616e-6 2.4017648289861607e-5 3.258813452700018e-5 8.53925105052628e-6 0.0003039944975759206 0.00022985091321465958 4.608512392094909e-13 9507.350780128249 7.387780845871731e8
600 9871.72704561926 16.423942118771564 2.854500814267543e-6 2.5137811550159238e-5 3.3565847428306796e-5 8.53374533348388e-6 0.00032307599795917133 0.0002613485442333945 -3.5933539184064857e-13 9507.350780128063 7.387780845871727e8
650 10693.009933948375 16.427723647041226 2.8150806176002493e-6 2.6182351408340548e-5 3.4752723605671444e-5 8.591650737645098e-6 0.00034465816212163287 0.00029145883232620294 6.142181635997515e-13 9507.350780128194 7.38778084587173e8
700 11514.332559247709 16.424582265549564 2.739653010111217e-6 2.7161326382759672e-5 3.609454224951308e-5 8.747140725347809e-6 0.00037189031641948024 0.00031916020944892237 -1.3319700092744662e-12 9507.350780128167 7.387780845871775e8
750 12335.5047354615 16.422767034785583 2.6386416833068764e-6 2.804952544852239e-5 3.756268198944553e-5 8.58342335222579e-6 0.00039990925702832494 0.000344297288620741 -7.688486277490631e-13 9507.350780128192 7.387780845871764e8
800 13156.651331118013 16.423507875722596 2.5250591803884433e-6 2.882140489625683e-5 3.912938270324707e-5 8.165416196776672e-6 0.000422141853281943 0.00036389267623292447 -1.7538391324630547e-12 9507.350780128227 7.387780845871787e8
850 13977.90003285072 16.426798803651764 2.413881481000794e-6 2.9464526162840814e-5 4.076723606365961e-5 7.550814054786232e-6 0.00044288996442623616 0.0003822112412899558 -1.0222381252474694e-12 9507.350780128156 7.387780845871767e8
900 14799.377713464544 16.432387485274017 2.3210169944055517e-6 2.9980871846527282e-5 4.244433860710328e-5 7.790611842754668e-6 0.00046785511581714405 0.00041070695237736284 -1.2969125243233433e-12 9507.350780128258 7.387780845871794e8
950 15621.055553666445 16.43510167224045 2.2623076560483048e-6 3.038592736648684e-5 4.412620076571121e-5 8.026864041686468e-6 0.0004941717842277532 0.00044347316829810354 -2.2361590608513296e-13 9507.35078012818 7.38778084587168e8
1000 16442.93481954959 16.440390058388918 2.2507195101755935e-6 3.0696041108249975e-5 4.577351495457578e-5 8.450877519074786e-6 0.0005198180177755198 0.00047745700486329253 4.0958598516726896e-13 9507.350780128154 7.387780845871798e8
1050 17265.143711177905 16.448232488869525 2.2919027998212845e-6 3.09286575415624e-5 4.733961612572158e-5 9.094750645148295e-6 0.0005452822607663935 0.0005140593470170923 -1.4129897101881577e-12 9507.350780128148 7.387780845871811e8
1100 18086.216113814626 16.458576336897945 2.3794383934589867e-6 3.1106566281883686e-5 4.8787900004343654e-5 9.313258847732732e-6 0.0005674852450426353 0.0005517057400539447 3.893080864886815e-13 9507.350780128207 7.387780845871682e8
