#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 9.52527105177284e-13 9507.350780128203 7.3877808458716e8
50 825.9390678075722 16.50887937516329 2.59281388159408e-7 1.4938716707913485e-6 3.5229042358918363e-6 8.474532608610735e-7 5.781385146308793e-6 8.517870659689517e-6 -1.6780676507651244e-7 9507.350780128187 7.387780845871127e8
100 1650.907374847389 16.490613049637947 2.578648193891279e-7 1.426655620657504e-6 2.699721859055841e-6 1.1923074504641109e-6 6.402079308888968e-6 6.239918585405191e-6 -1.9837692861568915e-7 9507.350780128152 7.387780845869354e8
150 2475.0233241785286 16.474745516961644 2.5587836707112143e-7 1.5285051329096567e-6 3.088757947865336e-6 1.5377606522961233e-6 7.73090347197198e-6 7.09379064919542e-6 -1.9863166687296e-7 9507.350780128134 7.387780845867894e8
200 3298.4080193380537 16.461321681895203 2.356653914625932e-7 1.6810172160997134e-6 2.950671405376326e-6 1.5523267073392438e-6 8.93672876302754e-6 6.6863760171448305e-6 -1.9604213849509285e-7 9507.350780128185 7.387780845866294e8
250 4121.184748884276 16.45038346026821 2.3163147554809175e-7 1.8656428915346809e-6 3.0482321427370794e-6 1.3810368839498319e-6 1.0475255757075695e-5 7.1384766634899765e-6 -1.8757727950541396e-7 9507.350780128188 7.387780845864608e8
300 4943.478704867735 16.44196553416093 2.3148849181859379e-7 2.0506841906328e-6 3.1250646743253825e-6 1.3463940248280087e-6 1.1864478787275841e-5 7.973275018200038e-6 -1.8867524770999036e-7 9507.350780128178 7.387780845863056e8
350 5765.41664630555 16.436096165366475 2.3175815946532737e-7 2.229110647575166e-6 3.209133096796456e-6 1.2985063794757927e-6 1.3142120094313055e-5 8.872262116661645e-6 -1.8759825418117823e-7 9507.350780128194 7.38778084586155e8
400 6587.126590997206 16.432797281376168 2.3343880358425053e-7 2.4012172949762273e-6 3.291265759024167e-6 1.4692151395818333e-6 1.4211927158433395e-5 9.64289066899096e-6 -1.8758778180666997e-7 9507.350780128192 7.387780845859969e8
450 7408.659142811819 16.427913576073887 2.3525360490724623e-7 2.5691069452534515e-6 3.3847299333666056e-6 1.6113660375866672e-6 1.5108442340742628e-5 1.0348863270369085e-5 -1.8740750489314037e-7 9507.35078012813 7.38778084585855e8
500 8229.945635640592 16.424046866594605 2.3636009772380812e-7 2.7256262002257037e-6 3.4832113573362623e-6 1.6816811966186126e-6 1.5735735270052062e-5 1.0964790967202987e-5 -1.8768831725822413e-7 9507.350780128232 7.387780845856905e8
550 9050.5709561084 16.42272740061427 2.366485781865381e-7 2.874991235595368e-6 3.5772339833681806e-6 1.6463454562468323e-6 1.6178956539633468e-5 1.15095986068029e-5 -1.876794078287931e-7 9507.350780128236 7.387780845855331e8
600 9871.728121068205 16.423960237420285 2.3682487813555485e-7 3.016967059545285e-6 3.6679321840834877e-6 1.5664345113570495e-6 1.65522474891153e-5 1.1983478953680017e-5 -1.8785293422755525e-7 9507.350780128194 7.387780845853832e8
650 10693.012072218835 16.427747282764308 2.3706789342566235e-7 3.152867788257222e-6 3.753409720221558e-6 1.514326191854916e-6 1.681564488618491e-5 1.2388553536129345e-5 -1.882295904215162e-7 9507.350780128223 7.387780845852252e8
700 11514.335570059353 16.424597960938325 2.3713776049077813e-7 3.2826809208772595e-6 3.8326232306916474e-6 1.5262383720725913e-6 1.695031000974613e-5 1.2639152911228959e-5 -1.8872873232950138e-7 9507.350780128092 7.387780845850773e8
750 12335.508437401231 16.42277881891944 2.3732435105704446e-7 3.4069637002960755e-6 3.902253927856393e-6 1.564212203856152e-6 1.6960514903577546e-5 1.2790420774877489e-5 -1.8900861987920423e-7 9507.35078012823 7.3877808458491e8
800 13156.65550211237 16.423514453439417 2.3776509644007535e-7 3.5269067699632776e-6 3.962966830247512e-6 1.6179519238953985e-6 1.6849241297672806e-5 1.2848760884194895e-5 -1.8922361127258727e-7 9507.35078012816 7.387780845847727e8
850 13977.904396256365 16.426799535830753 2.3817991689109686e-7 3.643055277371761e-6 4.015618320900333e-6 1.6630257055300562e-6 1.6812459897488088e-5 1.280235093295534e-5 -1.8946178031181776e-7 9507.350780128176 7.387780845846131e8
