#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 l2_H l2_vcon1 l2_vcon2 linf_H linf_vcon1 linf_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.805639735628474e-13 9507.350780128203 7.387780845871601e8
50 825.9391478290345 16.50888315393906 4.4884411187268367e-7 2.5159820334528417e-6 6.613128494146412e-6 1.3783318102313526e-6 1.4303023162150676e-5 1.2112834301407692e-5 3.4712863580566914e-7 4.098301604558827e-6 5.546749699008797e-6 1.3528423366201355e-6 1.4758385436670914e-5 1.4461772760027032e-5 -3.1936924637103077e-13 9507.350780128158 7.387780845871724e8
100 1650.9079213080404 16.490628279018722 8.446070096486804e-7 5.1534134998630025e-6 1.3087915799817062e-5 2.5728513989947712e-6 2.5409897670271974e-5 2.4980996696842204e-5 6.532051358053011e-7 8.320156472524165e-6 1.1081730279191595e-5 2.5252537825263916e-6 2.2510792212907823e-5 2.1157153984634127e-5 4.834647719881423e-13 9507.350780128198 7.38778084587173e8
150 2475.024837921301 16.474768236965385 1.1982478850021273e-6 7.835537754592733e-6 1.89817105505498e-5 3.5373529619643196e-6 4.7300117851490575e-5 3.853165369266381e-5 9.267051581505452e-7 1.2657449611999046e-5 1.639694794075604e-5 3.4718927344319142e-6 4.211108096558631e-5 3.585952389880764e-5 9.821915727022758e-14 9507.350780128118 7.387780845871742e8
200 3298.410810726036 16.46134900110928 1.5269914207482267e-6 1.0457600055419517e-5 2.3717135353202147e-5 5.1107839513609065e-6 7.633550028628055e-5 5.48728137652384e-5 1.180949988537654e-6 1.700236199570993e-5 2.113223379617366e-5 5.016194270168837e-6 6.838272640068567e-5 5.735689627578152e-5 -1.0144539545500433e-12 9507.350780128125 7.387780845871779e8
250 4121.18889661944 16.450409349736113 1.8343519888355718e-6 1.3005098838815967e-5 2.7068413407267673e-5 6.651962503317323e-6 0.00010876587986513478 7.38829984585437e-5 1.4186575842893566e-6 2.130122823643657e-5 2.5245792080890033e-5 6.528824728997942e-6 9.80967807230724e-5 7.891767102485611e-5 -2.355850736208702e-13 9507.350780128256 7.387780845871711e8
300 4943.483973127781 16.44198444528705 2.1119130111245803e-6 1.543506761000921e-5 2.9175103161587004e-5 7.662679558806805e-6 0.00014845266893098624 9.600443509984734e-5 1.6333187026412244e-6 2.5421782982255332e-5 2.8840717287324743e-5 7.520965136426615e-6 0.0001350874595243827 0.0001048895114503994 6.110363407519596e-13 9507.350780128205 7.387780845871819e8
350 5765.42262197348 16.436105369588553 2.3496083581146874e-6 1.7677023264930347e-5 3.037000849818597e-5 8.06322420627203e-6 0.00018885638743120487 0.00011949637142589537 1.817148365001874e-6 2.9183998714973065e-5 3.2082814272314684e-5 7.914303264493678e-6 0.0001736416929369029 0.00013356418744427624 1.2505827331581416e-12 9507.350780128136 7.387780845871817e8
400 6587.132817674845 16.43279843467942 2.5443030687682958e-6 1.9666075444978855e-5 3.100087043655161e-5 8.33833732479493e-6 0.00022836729818503243 0.00014342204261585747 1.9677220441923923e-6 3.2410261066037064e-5 3.513176230196135e-5 8.184062582552587e-6 0.00021215779081690348 0.00016341366689562128 -3.2368212874859136e-12 9507.350780128167 7.387780845871713e8
450 7408.665505209997 16.427914484920194 2.6947453423712026e-6 2.1357342477496546e-5 3.139844205593296e-5 8.138773444167057e-6 0.0002593904611889846 0.0001682401215164848 2.084071618179888e-6 3.4974361164480024e-5 3.814685707100732e-5 7.988168167419808e-6 0.00024389309936629855 0.00019770977231949697 -7.433978738750882e-13 9507.350780128087 7.387780845871701e8
500 8229.951849781384 16.42404032796766 2.797312969124558e-6 2.278379465747957e-5 3.187331697775317e-5 8.052111775205926e-6 0.0002844077726345444 0.0001959322717924525 2.163395729627192e-6 3.687356223124022e-5 4.126711083987525e-5 7.903092352453457e-6 0.00027138768989193047 0.0002479914982165163 -1.5234001116790465e-12 9507.350780128227 7.387780845871716e8
550 9050.57067072791 16.422714359235098 2.850086502752778e-6 2.401764828992119e-5 3.258813452686238e-5 8.53925104972569e-6 0.00030399449755732876 0.00022985091321537748 2.2042099104318557e-6 3.821131060336247e-5 4.45066679191031e-5 8.381224407065838e-6 0.0002940855906842318 0.00029588083501272747 3.139704855823585e-13 9507.350780128247 7.387780845871733e8
600 9871.727045619262 16.423942118771578 2.8545008142577574e-6 2.5137811550208227e-5 3.356584742815686e-5 8.533745333350449e-6 0.000323075997991913 0.00026134854424604873 2.2076238661689736e-6 3.9173791223188814e-5 4.7787915396172364e-5 8.375760086634604e-6 0.00032115227966465613 0.00034170011081624253 -1.2411176716903417e-12 9507.350780128063 7.38778084587173e8
650 10693.009933948379 16.42772364704123 2.8150806175954466e-6 2.6182351408410486e-5 3.4752723605513476e-5 8.591650737311519e-6 0.0003446581621253107 0.00029145883234588224 2.177136936010582e-6 3.996059999479622e-5 5.095879304753442e-5 8.432767381612896e-6 0.00036415842804448604 0.00038653917301644767 -1.581163023209479e-12 9507.350780128192 7.38778084587173e8
700 11514.332559247712 16.42458226554955 2.739653010114643e-6 2.716132638283468e-5 3.6094542249300925e-5 8.747140725347809e-6 0.0003718903164267698 0.0003191602094471934 2.118802467998064e-6 4.076125432534014e-5 5.3890154716337805e-5 8.58523797073752e-6 0.0003961304295235686 0.00043096121505511233 -3.9633030442231623e-13 9507.350780128165 7.38778084587178e8
