#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 l2_H l2_vcon1 l2_vcon2 linf_H linf_vcon1 linf_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0099196663022713e-14 5619.927979669221 1.5690751210205686e8
50 1005.361675825118 20.1072336903313 0.00034793498601226526 0.0012239843116128007 0.0017806713866581334 0.003051705878591222 0.029297146030954783 0.011527725209188966 0.0003469410200035675 0.0012999988573814873 0.0017943241232801243 0.003051705878591222 0.04527238682736631 0.011736871768959382 -2.4163780112789768e-5 5619.927979669338 1.5690751207910076e8
100 2010.723338616849 20.10723303092064 0.0006433779676421719 0.003566926503169325 0.00543702884257715 0.006042082008386063 0.05591608102175473 0.021870839484542624 0.0006415399925712803 0.004031400078314588 0.005515226713314237 0.006042082008386063 0.08698070508042208 0.02184929964441513 -1.540720273190358e-5 5619.927979669382 1.569075120585273e8
150 3016.0849984486886 20.107233190265386 0.0008712326607215218 0.006634760358780085 0.010387806280648195 0.008687003035289466 0.08238912413693257 0.03552223277850358 0.0008687437599635098 0.007692674752422509 0.010562644917134703 0.008687003035289466 0.12807425384938467 0.035533762622831346 -1.0768622320808808e-5 5619.927979669356 1.569075120460565e8
200 4021.4466472791974 20.107232943923933 0.0010211234253968856 0.010153024343247137 0.01627780762145055 0.010485897380285769 0.11019789617201624 0.05021588457577395 0.0010182063230176094 0.011936823247561505 0.01659640870936084 0.010485897380285769 0.17122166404763395 0.05019066776207371 -1.0913473757511117e-5 5619.927979669375 1.5690751203501698e8
250 5026.808240401191 20.107232883042617 0.0010911057258485635 0.013790041475793506 0.022690582708190812 0.010118898177687232 0.13720441385195115 0.06579345613878688 0.0010879887009818802 0.016347231943367607 0.02321647783222538 0.010118898177687232 0.21314062974078118 0.06560362284745995 -8.979147734722752e-6 5619.92797966934 1.5690751202536654e8
300 6032.169741396022 20.107209645686055 0.001100725251170065 0.01709720144879538 0.02905472598665684 0.009085662156332436 0.1634098490918805 0.08149189801895249 0.001097580745648737 0.0203487177712914 0.029810474756667447 0.009085662156332436 0.25383520141687066 0.08086394193353906 -9.043905141880131e-6 5619.927979669251 1.5690751201616564e8
350 7037.529868481038 20.107226097402545 0.0010776893035182938 0.019784231886197365 0.034914222370428905 0.00831809059692211 0.19028514464209725 0.09650941597201591 0.0010746106061216578 0.023558789469362715 0.03589180150596855 0.00831809059692211 0.29521530462891793 0.09580188416644143 -8.801242918006435e-6 5619.927979669256 1.569075120069936e8
400 8042.8879141400685 20.10678248837129 0.0010437061623836006 0.021748079358936908 0.04006369149832939 0.007752606754211259 0.2132012930683052 0.11026327988893606 0.0010407245465927659 0.02582611846883735 0.04126717824464367 0.007752606754211259 0.33120147029236907 0.10875979270217802 -7.661774352810387e-6 5619.927979669352 1.569075119991324e8
450 9042.13783592943 20.10719354617374 0.00101491007044623 0.022981526104903127 0.044400001141914065 0.00706322021307349 0.2148052104433334 0.12060275532077154 0.0010120107181175928 0.027125613929674598 0.04584897851474233 0.00706322021307349 0.3381419684978946 0.12132698554236093 -9.862335018616921e-6 5619.927979669324 1.5690751198991552e8
500 10047.490699229586 20.107097871968065 0.000993444117036141 0.02361803192334531 0.048032986245819614 0.006479047485812399 0.19786392015428503 0.12474936980181896 0.0009906060877387937 0.02763888088274802 0.04978574912103094 0.006479047485812399 0.3142013359999117 0.14204230643191534 -6.169238354581809e-6 5619.927979669311 1.5690751198231947e8
550 11052.851811644341 20.107232537751475 0.0009711511418443313 0.023826523195379038 0.05113742935279671 0.005920813941681305 0.17803151940369075 0.12434726440945416 0.0009683767981792546 0.027623542151275812 0.05330203413412137 0.005920813941681305 0.2768460634644992 0.16612898728517062 -9.224945525330793e-6 5619.927979669286 1.5690751197429162e8
600 12058.213438311814 20.10723253197279 0.0009467178493642513 0.023734779481411637 0.053915036687490356 0.005471009062032698 0.16827265179917794 0.1296175718662111 0.0009440133056996983 0.027263176277450063 0.05659286452968223 0.005471009062032698 0.2487853214034639 0.18261173060829394 -5.376434417274283e-6 5619.92797966926 1.5690751196678668e8
650 13063.575065132794 20.107232543486727 0.000922540255779036 0.023445406715236147 0.05651360510416532 0.005202831351106086 0.16198709287701304 0.14115262865991948 0.0009199047816451767 0.026697827347189812 0.05977153842012662 0.005202831351106086 0.2387018294647948 0.1987914553783637 -7.0345897548204245e-6 5619.927979669244 1.569075119609605e8
700 14068.936692960679 20.107232571822948 0.0009017549390415134 0.023048861370328706 0.0590381455910498 0.004995935105334438 0.15817919860460614 0.15290173757805997 0.0008991788435247743 0.02604187798914207 0.06290693246014455 0.004995935105334438 0.22985252117812432 0.21531164813944442 -5.626581401533179e-6 5619.92797966931 1.5690751195418215e8
750 15074.298322624221 20.107232616436107 0.0008869956911766705 0.022630085361555384 0.061558433868826964 0.004816403291174721 0.15501169319622018 0.16398949369162674 0.0008844617592573887 0.025394595404619875 0.06603824579118585 0.004816403291174721 0.22298991773479537 0.23088798352627907 -5.273536909358627e-6 5619.9279796692235 1.5690751194901338e8
800 16079.659954909694 20.107232676275444 0.0008797984634215753 0.022266618752691297 0.06411077292477624 0.004659595549155893 0.1528468309122043 0.17458503694320157 0.0008772850922393079 0.02483924771458276 0.06918189792486659 0.004659595549155893 0.2178690978606985 0.24576723206963064 -5.205961715236111e-6 5619.927979669278 1.569075119435862e8
850 17085.021590494845 20.107232747962453 0.0008805142172356547 0.022013115856558275 0.06669746742085568 0.004529656390921586 0.1514913891544501 0.18576911507747051 0.0008779988013180476 0.024429221972853684 0.07233172980052534 0.004529656390921586 0.21358889907929204 0.26015690018373694 -4.609303238400799e-6 5619.927979669225 1.5690751193874124e8
900 18084.289312012468 20.107232831549954 0.0008885366630699849 0.021886794674886106 0.06926238559610393 0.004416275231298013 0.15039305032694292 0.19684531644485315 0.0008859983289671233 0.02417795825396743 0.07543298453324862 0.004416275231298013 0.209508037723585 0.2739659024491519 -4.78849645071526e-6 5619.927979669373 1.5690751193399224e8
950 19089.65095504391 20.10723293047417 0.0009028350259804439 0.021876865312207814 0.07177099477599372 0.004536245369201467 0.14763635764552113 0.20768749167362494 0.000900255844916844 0.024067107004750482 0.07847246381143017 0.004536245369201467 0.20542122560274792 0.2873263670308249 -4.3790766324443874e-6 5619.927979669271 1.5690751192947403e8
1000 20094.965796481414 20.103515212852255 0.0009219356114463435 0.0219662488824674 0.07416790328308628 0.004881978279432807 0.14441451448886133 0.218229398307992 0.0009193018646349387 0.024072259900366048 0.08140395880405366 0.004881978279432807 0.20118548549540802 0.30014679866151567 -4.8083276610563e-6 5619.927979669332 1.5690751192475244e8
1050 21099.90291534302 20.09186562901748 0.0009444834657051005 0.022128268333564672 0.07644881375021835 0.005213488084414227 0.14362851505582938 0.2284688833790465 0.0009417853051336447 0.02415944492969413 0.08422833040994543 0.005213488084414227 0.19679979658447944 0.31247353789520727 -4.211353943904004e-6 5619.927979669311 1.5690751192031062e8
1100 22104.06968743124 20.075852981321507 0.0009695009185448569 0.022335285428770942 0.07862716314223453 0.0055121146162777 0.14545142486114113 0.23842153261975302 0.0009667312891681745 0.024297337647218174 0.08696041442814242 0.0055121146162777 0.19232567822212593 0.324341950617321 -4.506167855514868e-6 5619.92797966933 1.5690751191586417e8
1150 23107.563654567646 20.064985043059465 0.0009963978411649326 0.0225732239286101 0.08073723025474117 0.005761515027896337 0.14823834750224774 0.24810432023566092 0.0009935513737929415 0.02447053145350036 0.08963035067749302 0.005761515027896337 0.1877771494004873 0.33578702605394944 -4.55228469805787e-6 5619.927979669321 1.5690751191141737e8
1200 24110.633616745836 20.058760766669888 0.0010247927893888478 0.022840103027098498 0.082826256052684 0.005984664949884161 0.1512702124377969 0.2577606180333756 0.0010218652045251185 0.024676706647486363 0.09227572948875176 0.005984664949884161 0.1831757225533234 0.3487749234055768 -4.671825878487331e-6 5619.927979669305 1.569075119066875e8
1250 25113.57153460829 20.06064687672186 0.0010543752556729986 0.02313730871093243 0.0849387931335283 0.006194228480389267 0.1545849289897907 0.26712793804318447 0.0010513631608659695 0.024917625664297824 0.09493036936912365 0.006194228480389267 0.17857687523686208 0.36148440091357453 -4.636165543128304e-6 5619.927979669362 1.569075119020918e8
1300 26100.652251609514 20.073810744236614 0.0010843717102963122 0.023460490002728315 0.087076646426337 0.006389586858804037 0.15803106004959833 0.2760820418294228 0.0010812739228815381 0.025190472115671863 0.09757817862261495 0.006389586858804037 0.174135105526799 0.3736427134559934 -4.6644929112218525e-6 5619.927979669319 1.569075118974512e8
1350 27104.469172995316 20.076741262751625 0.0011155071879487873 0.0238206401190882 0.08933151744276786 0.006581053316168687 0.16159496845225624 0.2849432729563179 0.0011123204540132688 0.02550532192194041 0.10032093828238396 0.006581053316168687 0.17490503645707847 0.3856829156417033 -4.637756787284518e-6 5619.927979669253 1.5690751189282092e8
1400 28108.334767270313 20.078012827504114 0.0011470193193658937 0.024212362461523328 0.09166702175634647 0.006766312551369827 0.1654218730995284 0.29358160427926056 0.001143742562901025 0.025858078308062686 0.1031121211196069 0.006766312551369827 0.17876263647344476 0.3974250139709936 -4.71178674447626e-6 5619.927979669348 1.5690751188809717e8
1450 29112.290406429776 20.08039920694925 0.0011786563562255104 0.024635145023629405 0.09406879684247323 0.006944700398697713 0.17105996812860852 0.30201839762774063 0.0011752892204066857 0.026248085295342227 0.10594006159850909 0.006944700398697713 0.18275455862497197 0.4088947728332043 -4.630649342131123e-6 5619.92797966933 1.56907511883435e8
1500 30116.40678319996 20.084470534093196 0.0012101835707176848 0.025087676385925496 0.09652331491805331 0.007114226350517581 0.17661953009611242 0.3102689118674494 0.0012067263692808168 0.026673525007007818 0.10879427778407877 0.007114226350517581 0.18685921462478589 0.42011533247650784 -4.694204950803585e-6 5619.927979669304 1.5690751187872213e8
1550 31120.75988116229 20.089533997300475 0.0012413923969230053 0.025567818122626658 0.09902251731058151 0.0072725254727057115 0.18209919225104976 0.3183310029619904 0.001237846039426337 0.027131733614395793 0.11166892889211726 0.0072725254727057115 0.1910659702978881 0.4310779613715447 -4.586883133115555e-6 5619.927979669319 1.5690751187408575e8
1600 32125.34068311934 20.093033445386112 0.001272104399245266 0.026072967110811654 0.10156507949152772 0.007434107635041323 0.18750828690308244 0.3262019444953144 0.0012684703049943345 0.027619642725195306 0.11456423080553617 0.007434107635041323 0.19537548418372777 0.44177921450693575 -4.594117845876915e-6 5619.927979669324 1.5690751186945775e8
1650 33129.88989041339 20.089039548805673 0.0013021716416842873 0.02659985695220522 0.10415526301998722 0.007739484663631214 0.1928270097040452 0.3339017625336402 0.0012984516526019616 0.02813356302763793 0.11748521479378204 0.007739484663631214 0.19976582428742398 0.45224759137409715 -4.538973252438378e-6 5619.927979669376 1.5690751186487657e8
1700 34134.24505955812 20.085297205346606 0.0013314889088300304 0.02714455889118232 0.10679686651356779 0.008038609947665854 0.19805742366912898 0.3414518583255376 0.0013276851674141302 0.02866920171872173 0.12043651903313873 0.008038609947665854 0.20435376998468163 0.462514976818889 -4.480104087764506e-6 5619.927979669357 1.5690751186035395e8
1750 35122.32034926515 20.08200914383131 0.0013595432784267313 0.027693919483829262 0.10944492592154867 0.0083270271689394 0.2031268360453873 0.3487474818724793 0.0013556593924697654 0.029213114769302866 0.12337034210147649 0.0083270271689394 0.2096448778147776 0.47243841845853246 -4.478928238782604e-6 5619.9279796692845 1.5690751185591143e8
1800 36126.34770227712 20.079255192696312 0.0013872199281147845 0.028261904974875376 0.11217994783577522 0.008614616114688955 0.20819303348991383 0.3565433364104288 0.0013832569766710737 0.029778734788581267 0.1263787943207894 0.008614616114688955 0.21490454024124078 0.4823533154374119 -4.432725574032065e-6 5619.927979669329 1.569075118514706e8
1850 37130.257304452294 20.077339797991698 0.001414051539170762 0.028835613105268273 0.11495163006818722 0.008907910506357457 0.213174163384884 0.36433433013575484 0.0014100119363110676 0.030352959255309283 0.1294092087543305 0.008907910506357457 0.22004933168584473 0.49210420849403796 -4.462569295839383e-6 5619.927979669276 1.5690751184696203e8
1900 38134.10345107358 20.07680856153241 0.001440054998813346 0.02941101823540951 0.11775258391553703 0.009205850634962862 0.21807369774311883 0.3720320127334017 0.0014359411103657329 0.030931459471111963 0.1324563677013011 0.009205850634962862 0.225084863808922 0.5016992898467354 -4.458649504103375e-6 5619.927979669376 1.5690751184253705e8
1950 39137.971341710734 20.078203609436454 0.0014652609518298507 0.029984947910694067 0.12057650867615399 0.009502976982111366 0.22289253545272902 0.37961766360709626 0.0014610750560776478 0.03151065332290635 0.13551567787427 0.009502976982111366 0.23001083974666164 0.5111447731080047 -4.471841910033636e-6 5619.9279796693045 1.569075118380022e8
2000 40141.952292897164 20.081155003529904 0.001489709007899062 0.03055605486859298 0.12341882277650974 0.009798246244030293 0.22764665522003713 0.3871002933442536 0.001485453269970336 0.03208870842021557 0.13858374447487123 0.009798246244030293 0.23483968335150054 0.520443893712877 -4.501324694727815e-6 5619.927979669341 1.5690751183354497e8
2050 41146.10056467913 20.084758041035798 0.001513443098648876 0.031124898890133618 0.12627720866552544 0.010091714313241802 0.23235561716126552 0.3944862123429261 0.0015091195581696704 0.03266575335540038 0.14165889391308326 0.010091714313241802 0.2395912003195215 0.5296025228658404 -4.483149541896057e-6 5619.927979669353 1.5690751182899407e8
2100 42150.43329938084 20.087883226870375 0.0015365107800187612 0.03169280792038681 0.129151090087174 0.010383249603679793 0.2370260795391403 0.40177761300086556 0.0015321213407593162 0.03324283206569706 0.1447408337703528 0.010383249603679793 0.24427835886224825 0.5386226249318403 -4.522495886080231e-6 5619.92797966931 1.569075118244997e8
2150 43154.78343990073 20.086295345709964 0.0015589589829631918 0.03226089904433755 0.13203983723455562 0.010672141463926024 0.24165726844526247 0.40897453092551456 0.0015545054146233715 0.03382094955116299 0.14782911171017438 0.010672141463926024 0.24890587541156145 0.5475046586077003 -4.5123563512860286e-6 5619.92797966931 1.5690751181994566e8
2200 44144.034032722375 20.08555798491969 0.0015805165839461995 0.03282182087686355 0.13489940622839994 0.010953823592806493 0.24618131398938273 0.4159739075850349 0.0015760014307601648 0.034392577775843994 0.150877114641758 0.010953823592806493 0.25353644874139303 0.5561137019546104 -4.530819325510643e-6 5619.9279796693545 1.5690751181548235e8
2250 45148.31150106428 20.085688529167378 0.0016018964073909346 0.03339383129216908 0.13781609787846202 0.0112367944352827 0.2507386163970673 0.4229897037854388 0.0015973201772260665 0.03497633793439999 0.15397723346869716 0.0112367944352827 0.2582528208504114 0.5647145074426533 -4.541419575924365e-6 5619.9279796692645 1.569075118109239e8
2300 46152.61734433578 20.086648776309797 0.0016228263598694083 0.0339690845205493 0.14074498420345427 0.011516477227672985 0.2552612604241187 0.42991210955005343 0.0016181903378981292 0.03556429332967696 0.15708209508804838 0.011516477227672985 0.26293685395444083 0.5731731276453917 -4.544084442764785e-6 5619.92797966937 1.5690751180636024e8
2350 47156.968666561304 20.086594214476428 0.001643366807691251 0.03454752543200431 0.14368347850786362 0.011792770602254213 0.25974961967167104 0.4367400519644261 0.0016386721066340535 0.03615644463239979 0.16018967596925554 0.011792770602254213 0.2675890505754658 0.5814888611564561 -4.570506202778145e-6 5619.927979669336 1.5690751180178437e8
2400 48161.25219012442 20.08478328010859 0.0016635757711669105 0.03512840008873446 0.1466276405058745 0.012065580373556052 0.2642065901890469 0.4434729854379257 0.001658823337994308 0.036752028957355284 0.1632966826559572 0.012065580373556052 0.27221241094071347 0.5896630906022488 -4.5668399376330965e-6 5619.927979669387 1.5690751179719537e8
2450 49165.44521587435 20.082972931747047 0.0016835126424843228 0.03571056766261641 0.1495730558985159 0.01233468129116147 0.268697193341955 0.4501090984947122 0.001678703254497729 0.03734973956884628 0.16639944053405614 0.01233468129116147 0.2768079499919152 0.5976964510542389 -4.594340456599951e-6 5619.9279796692945 1.5690751179259276e8
