#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 l2_H l2_vcon1 l2_vcon2 linf_H linf_vcon1 linf_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.2045757173673146e-11 9507.350780128016 7.387780849075294e8
50 660.8308670153493 13.210183174564998 7.121369493130076e-9 3.119794192717692e-8 7.531486011610476e-8 2.5032935224204118e-8 1.866528180287087e-7 1.9424646478063318e-7 5.507549750612568e-9 5.93795128760227e-8 7.553827076027131e-8 2.456950678148491e-8 2.600992088321603e-7 2.3128850710660456e-7 -1.50400643038221e-10 9507.350780127888 7.387780849075251e8
100 1321.0254855581438 13.198045188888782 7.623236744020249e-9 3.7063969740554785e-8 8.134509961975534e-8 2.7526550185969873e-8 2.544741791914337e-7 2.2522195898369135e-7 5.895685607214925e-9 7.555165194265686e-8 9.425224582716644e-8 2.7016943977301762e-8 3.6989434755493986e-7 3.623968164077589e-7 -1.9549555950690003e-10 9507.35078012799 7.387780849075242e8
150 1980.6441388287449 13.18712385959563 7.119763295282963e-9 3.978235450866822e-8 7.121919252544746e-8 3.347564516571044e-8 3.080466048900723e-7 2.0550767955732183e-7 5.506307543482358e-9 8.162547886933857e-8 9.568638320933458e-8 3.285590748626796e-8 4.601558243751206e-7 3.93804753188755e-7 -1.7879218706927476e-10 9507.350780127983 7.3877808490753e8
200 2639.7481991792306 13.177440024105639 7.278975292644282e-9 4.5677483488201016e-8 8.057553410752744e-8 3.502346926457542e-8 3.564352389608424e-7 2.265123101116298e-7 5.6294394764273376e-9 8.644751746431936e-8 9.976357881044827e-8 3.437516118782506e-8 5.641633018347232e-7 3.9340239613198904e-7 -1.8240445100404859e-10 9507.35078012795 7.387780849075239e8
250 3298.4000269138446 13.16901235603069 7.134316825668133e-9 5.1219819474513756e-8 7.813946014635889e-8 3.460644426060435e-8 3.916915023818394e-7 2.368360850235884e-7 5.517563004097418e-9 9.285423470787248e-8 9.850855198630636e-8 3.396609142853008e-8 6.645930064356365e-7 4.612160827108627e-7 -1.7933340805148462e-10 9507.350780127863 7.387780849075187e8
300 3956.6628618336167 13.161857461671113 7.094524729671645e-9 5.762985858140454e-8 8.062937688346124e-8 3.215341274883157e-8 4.2814254850269923e-7 2.258116089386118e-7 5.4867884527048245e-9 1.0108069905071782e-7 1.0047911596017293e-7 3.1558752233738006e-8 7.327722486594896e-7 5.04754867761868e-7 -1.765966584724107e-10 9507.350780127974 7.387780849075274e8
350 4614.600721976846 13.15598984679901 7.1295145291495635e-9 6.350562714424343e-8 8.430131234382653e-8 3.520721107995974e-8 4.63230346982388e-7 2.3966885267129674e-7 5.5138489865520504e-9 1.0928680509604582e-7 1.0498681980955188e-7 3.455611709633657e-8 7.627047083140862e-7 5.131959945794926e-7 -1.7564465497171658e-10 9507.350780127894 7.387780849075196e8
400 5272.278294960542 13.151421880484774 7.030302044780823e-9 6.94068899701235e-8 8.528688389327299e-8 3.5819688951933503e-8 4.875303516539121e-7 2.412062544354088e-7 5.437119686961977e-9 1.1740605987473656e-7 1.0883101814836481e-7 3.51567066040849e-8 7.741731490722462e-7 4.6049505324336334e-7 -1.7731557526249897e-10 9507.350780127987 7.387780849075125e8
450 5929.760835368264 13.148163875954793 7.033018780027133e-9 7.54067539854642e-8 8.914611506820299e-8 3.28625456620016e-8 5.205486535609025e-7 2.3505640980181688e-7 5.439220765515507e-9 1.2520558442087766e-7 1.1435507209073665e-7 3.2254227374964534e-8 7.921544582098128e-7 5.232010787476339e-7 -1.7464600388052535e-10 9507.35078012805 7.387780849075189e8
500 6587.11405720809 13.146223958384063 7.004641303241053e-9 8.100912421195501e-8 9.194727724710972e-8 3.3413455088199965e-8 5.42132943211147e-7 2.4591673369237725e-7 5.4172740926479355e-9 1.3221070748520002e-7 1.2028628459670098e-7 3.2795195717297645e-8 8.28719639371833e-7 5.66636258324198e-7 -1.7727181562612908e-10 9507.350780127916 7.38778084907511e8
550 7244.361939963865 13.143167310380548 6.965549230220308e-9 8.662290122542008e-8 9.461102166330641e-8 3.207914365100155e-8 5.678446628344618e-7 2.41702771292078e-7 5.387040927622327e-9 1.386022443783716e-7 1.266980736085876e-7 3.148556468088714e-8 8.747111107148447e-7 5.665890146127466e-7 -1.7257866234927376e-10 9507.350780128005 7.387780849075224e8
600 7901.439514869551 13.14021124431563 6.9664856783062085e-9 9.192320528177612e-8 9.848535229728123e-8 3.108288533826508e-8 5.907184646237706e-7 2.600989872479662e-7 5.387765161792637e-9 1.4426705538744917e-7 1.342636528344449e-7 3.0507442346690173e-8 9.124017354119155e-7 6.031349673734851e-7 -1.7612785267670459e-10 9507.350780127968 7.387780849075271e8
650 8558.402464134542 13.138557133226508 6.928469380092861e-9 9.711871009581051e-8 1.014542087192227e-7 3.125675815767602e-8 6.11497599774952e-7 2.7816896992861755e-7 5.3583639831127704e-9 1.4945790342664605e-7 1.4201726640432528e-7 3.067819301922788e-8 9.313176792706519e-7 6.54838701050129e-7 -1.7526529821856156e-10 9507.350780127927 7.387780849075279e8
700 9204.944334752445 13.13820452843484 6.915426517101877e-9 1.0204419050271698e-7 1.0471850408620137e-7 3.047000434521157e-8 6.324200306128619e-7 2.9414026371955625e-7 5.348276848205142e-9 1.5412297869878745e-7 1.501190952169988e-7 2.990598023122029e-8 9.360591076704831e-7 7.364514180611433e-7 -1.735748782547508e-10 9507.350780128087 7.387780849075216e8
750 9861.87307094627 13.13914412384051 6.908106595566051e-9 1.0677107205090078e-7 1.0838464830678061e-7 3.035766188741021e-8 6.515963561533413e-7 3.113744068402764e-7 5.342615741803604e-9 1.583696291769846e-7 1.5875935071359836e-7 2.9795866517702227e-8 9.381278554982183e-7 7.71415197220984e-7 -1.7532615967410207e-10 9507.350780127994 7.387780849075187e8
800 10518.882146487127 13.141391727784223 6.884807484112504e-9 1.1132020347514969e-7 1.1157196487673511e-7 3.040528660330306e-8 6.703691076720098e-7 3.2647723800752296e-7 5.324596592460221e-9 1.6223855612907364e-7 1.6744003239285995e-7 2.984238224045274e-8 9.444711521535864e-7 8.14097560616812e-7 -1.6935540593116546e-10 9507.350780127872 7.387780849075258e8
850 11175.973825437732 13.140854589215335 6.886472622738345e-9 1.1562822825050048e-7 1.1504966195535496e-7 2.988240685375708e-8 6.871832990890042e-7 3.388610813657822e-7 5.325884383763921e-9 1.6573776122118262e-7 1.76643106281219e-7 2.9329253620846668e-8 9.458742797650684e-7 8.614179842298607e-7 -1.7292625352148306e-10 9507.35078012803 7.387780849075202e8
900 11832.960248946802 13.138860095928024 6.876455605633395e-9 1.1972122291082186e-7 1.1853571034957181e-7 2.9676990243599507e-8 7.038162973517255e-7 3.506084606641641e-7 5.31813738761637e-9 1.6889927025759244e-7 1.862322093714191e-7 2.9127698554913122e-8 9.441045892543094e-7 9.237791282508294e-7 -1.7663888558821123e-10 9507.350780127943 7.387780849075093e8
