#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 l2_H l2_vcon1 l2_vcon2 linf_H linf_vcon1 linf_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -4.8005934048527736e-12 9507.350780128063 7.387780844940976e8
50 2123.654822323963 42.45211575937226 9.672120856116841e-7 5.903590613068924e-6 1.4092024875553027e-5 3.906348800737873e-6 2.88036755617906e-5 3.639919537470299e-5 7.480258801909374e-7 1.0030366198703762e-5 1.272927818836728e-5 3.834204438657931e-6 4.1236659251626064e-5 3.649340618911249e-5 -3.8360531005109595e-12 9507.350780128083 7.387780844940997e8
100 4245.981580223177 42.449024537411205 1.4659906626564156e-6 1.1052577492808458e-5 2.006141767211135e-5 5.660736272289238e-6 7.192555228053687e-5 4.8178540704251824e-5 1.1337730081091738e-6 1.943608652082746e-5 2.2216992003869655e-5 5.556123813229907e-6 6.689048870924068e-5 6.239809153184706e-5 -4.43077446223375e-12 9507.35078012806 7.387780844940984e8
150 6369.384253277078 42.49422301592583 1.639034580213548e-6 1.366556955978548e-5 1.9819874239428352e-5 6.681342319989792e-6 9.272441766610589e-5 9.765025395209956e-5 1.2676023209046622e-6 2.3364075308633297e-5 2.808495207075411e-5 6.55773016050471e-6 9.77643515729864e-5 0.00012346900693572033 -5.543570098178577e-12 9507.35078012805 7.387780844940965e8
200 8496.276656972677 42.58757583524073 1.4300008128475279e-6 1.5297570268563805e-5 2.1659663842838956e-5 5.690726794671535e-6 0.00014958476901692452 0.00013862115706030843 1.1059390516467244e-6 2.516821342124244e-5 3.265400886841475e-5 5.586326004241367e-6 0.00016324266710874384 0.0001767078305921366 -4.870363772943428e-12 9507.350780128088 7.387780844941006e8
250 10602.314616491532 42.72613620661196 1.213865497041635e-6 1.628551519810496e-5 2.298308939077803e-5 4.859444685532008e-6 0.0001800894299060868 0.00016626444739143356 9.387835619135756e-7 2.8415704258435594e-5 3.31066534832291e-5 4.769502374502074e-6 0.0002028623238711875 0.00021819859443111375 -5.889182682161386e-12 9507.350780128083 7.387780844940932e8
300 12736.218937362744 42.61013095952231 1.2412788780402007e-6 1.6668058556785235e-5 2.471384196371812e-5 5.993205232216887e-6 0.00020692094144858145 0.00018895277841155862 9.599846188039247e-7 3.0493489221559667e-5 3.267443209521943e-5 5.88326970983245e-6 0.00022726111794290477 0.0002605240978611191 -5.449800132503014e-12 9507.350780128092 7.387780844940964e8
350 14863.920973168579 42.507941284821506 1.4085210595259062e-6 1.691998005555837e-5 2.6047017155481496e-5 5.534346266765223e-6 0.0002121622565343722 0.00022114163824674926 1.0893269645748051e-6 3.1339006784973604e-5 3.707178785853579e-5 5.432091886368003e-6 0.00022614359748034677 0.00030108768581113587 -4.752165371946914e-12 9507.35078012808 7.387780844940983e8
400 16987.736611670065 42.45382796678447 1.6711399429635282e-6 1.7813404671834474e-5 2.7320909717399822e-5 7.735094721475975e-6 0.0002694375670960122 0.0002576021445427232 1.2924320791194392e-6 3.3043274091793446e-5 4.459385452062817e-5 7.592000365844384e-6 0.0002778058429802141 0.0003386453087764757 -6.1183505051754235e-12 9507.350780128038 7.387780844940957e8
450 19105.18152071725 42.447998039996634 1.9007525353874358e-6 1.9994356722002776e-5 2.9164624406423455e-5 8.534083725992814e-6 0.0002958445001412326 0.00032537845623197475 1.4700106723827355e-6 3.5426581190393225e-5 5.118734412731985e-5 8.376615599339298e-6 0.0002959805858033011 0.0004118963401454654 -5.8023200671627815e-12 9507.350780128063 7.387780844940963e8
500 21228.45400419444 42.4899628471572 1.8823165689329343e-6 2.3046576150120444e-5 3.137142235907665e-5 9.057630489725551e-6 0.0003003296160136518 0.00038112409798175324 1.455752599887345e-6 3.773682163927559e-5 5.697064918236616e-5 8.890245497257983e-6 0.00029785026466477567 0.00046075740125927397 -4.979464687682484e-12 9507.350780128045 7.387780844940993e8
550 23352.419128540463 42.45673520868992 1.7147134010553255e-6 2.4566052531402247e-5 3.3653839593516704e-5 7.792580529453992e-6 0.00034014670340440763 0.000350917669943919 1.3261310731940176e-6 3.89693984881648e-5 6.282853252301246e-5 7.648647774830065e-6 0.000338948040979898 0.00043244385160396933 -4.829547609852308e-12 9507.35078012809 7.387780844940947e8
600 25474.796498834552 42.446551520685404 1.5740382760932946e-6 2.5137492691444087e-5 3.528845384340628e-5 8.090948314141285e-6 0.00036526606048216197 0.000331950114839208 1.217335250915272e-6 3.9616988989125513e-5 6.649101223467243e-5 7.941696633653118e-6 0.0003718573878708621 0.00043376419491044597 -6.510648968761424e-12 9507.350780128065 7.387780844940968e8
650 27576.144829450855 42.48399965533277 1.6603795752867424e-6 2.5273357758134112e-5 3.68403484605695e-5 7.89622867997056e-6 0.00034818853250616447 0.00031913275175655254 1.284110188169277e-6 4.053994060391567e-5 6.765294004232917e-5 7.750065814508667e-6 0.000366596352618393 0.0004304565948307014 -6.095851839666661e-12 9507.350780128038 7.387780844940983e8
700 29702.333081761237 42.56980896643525 1.970719200106599e-6 2.5261356744986993e-5 3.855714834079555e-5 9.309211169528077e-6 0.0003618164775434903 0.0003224530688470748 1.5241217373069344e-6 4.108960877788173e-5 6.898494110752974e-5 9.13794922327173e-6 0.0003935976905501713 0.00044702399379231353 -5.678043274148711e-12 9507.350780128052 7.387780844940958e8
750 31834.02730775498 42.703094815978105 2.2456109975020543e-6 2.58284583192248e-5 4.013414541307805e-5 1.0966429695623167e-5 0.00036699552904447116 0.0003452662530065328 1.7367185211587238e-6 4.2067070900636865e-5 7.024083096267626e-5 1.0763559919905447e-5 0.00041183260314952446 0.0004595802655642415 -5.205742163500142e-12 9507.350780128063 7.387780844940983e8
800 33968.64415739214 42.62888705996494 2.392673400279942e-6 2.7570516566710284e-5 4.0242596231605664e-5 1.1089952441762144e-5 0.00036812401399841766 0.0003895377227339011 1.8504541587895633e-6 4.5159858689983714e-5 6.77444876248235e-5 1.088583088996042e-5 0.0004064909843919885 0.0005012101373619707 -5.8732620812108355e-12 9507.350780128074 7.387780844940963e8
850 36091.93613901851 42.51990658383068 2.42790145266088e-6 2.9837928287262402e-5 3.8551203060634595e-5 1.1261207503153321e-5 0.00032235076021572143 0.0004480833413018558 1.877698953680957e-6 5.012728783380333e-5 6.179375889546457e-5 1.1053559836922438e-5 0.000344890774371564 0.0005572109205659464 -4.168264505242464e-12 9507.35078012807 7.387780844940985e8
900 38216.165467048675 42.45854314134675 2.345266616243318e-6 3.179373471250187e-5 3.699011744536511e-5 1.2553283427956877e-5 0.00031584975752981263 0.0005151821081667159 1.8137905336290208e-6 5.578082997929663e-5 5.7199736347143666e-5 1.2321014191124466e-5 0.000299234441824108 0.0006145382908399065 -4.693709428052719e-12 9507.350780128083 7.387780844940946e8
950 40338.559491750966 42.44553087813926 2.2857680086343055e-6 3.309373241414076e-5 3.656642329922446e-5 9.611569930681648e-6 0.0003416098151974465 0.000579287295450098 1.7677752914822236e-6 6.102271635639879e-5 5.4965440202764234e-5 9.434528713568142e-6 0.000312104067626607 0.0006562825118226276 -4.00188312147497e-12 9507.35078012809 7.387780844940964e8
1000 42461.52898009292 42.48048861062394 2.402268975867237e-6 3.434945155124317e-5 3.6557273003307294e-5 1.2509551492721251e-5 0.0003584692378736864 0.0006072435536328046 1.8578752187434458e-6 6.595543275157698e-5 5.236611162960918e-5 1.227831372250385e-5 0.00032552130390696947 0.0006466379643398285 -4.008346318782458e-12 9507.350780128065 7.38778084494098e8
1050 44559.30813736329 42.46238253976644 2.5962466968883836e-6 3.597345343831476e-5 3.781408735374845e-5 1.205640046432966e-5 0.0003308455249575903 0.0005357452454683067 2.0078943899895553e-6 6.942126269696636e-5 5.1335350090461025e-5 1.1833885914635186e-5 0.00033162195872557336 0.0005883830230377883 -4.090575954668468e-12 9507.350780128063 7.387780844940938e8
1100 46681.775360928215 42.44464606992141 2.7113225942557593e-6 3.8041540719710134e-5 4.013370810166595e-5 1.2110323221005346e-5 0.00036264102897145433 0.0005298302477326218 2.0968921917101176e-6 7.040798342380779e-5 5.415434839443012e-5 1.1886734403245981e-5 0.0003687002061735433 0.0006153772882614158 -4.378103998867761e-12 9507.350780128078 7.387780844940993e8
