#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 l2_H l2_vcon1 l2_vcon2 linf_H linf_vcon1 linf_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 NaN NaN 0.0 NaN NaN 0.0 NaN NaN 0.0 NaN NaN 0.0 5942.575079315504 1.7407953881592667e8
50 1028.702770437303 20.574055408746034 1.2069751263018237e-18 Inf Inf 7.62998910883329e-16 Inf Inf 1.2037390015695195e-18 Inf Inf 7.62998910883329e-16 Inf Inf -5.532618299365913e-27 5942.575079315504 1.7407953881592667e8
100 2057.405540874606 20.57405540874602 1.2606756868955102e-17 Inf Inf 7.62998910883329e-16 Inf Inf 1.246534171922336e-17 Inf Inf 7.62998910883329e-16 Inf Inf -1.1530133242612455e-26 5942.575079315504 1.7407953881592667e8
150 3086.108311311909 20.574055408746 3.277505750680897e-17 Inf Inf 1.0681984752366606e-15 Inf Inf 3.2626613383175987e-17 Inf Inf 1.0681984752366606e-15 Inf Inf -1.9725895425182195e-26 5942.575079315504 1.7407953881592667e8
200 4114.811081749212 20.574055408745984 5.1249907244885316e-17 Inf Inf 1.0681984752366606e-15 Inf Inf 5.10634154801595e-17 Inf Inf 1.0681984752366606e-15 Inf Inf -2.6541767756533214e-26 5942.575079315506 1.7407953881592667e8
250 5143.513852186515 20.57405540874597 6.672440361362562e-17 Inf Inf 1.0681984752366606e-15 Inf Inf 6.6511643602659e-17 Inf Inf 1.0681984752366606e-15 Inf Inf -3.0868614797894124e-26 5942.575079315506 1.7407953881592667e8
300 6172.216622623818 20.57405540874595 7.949727975443759e-17 Inf Inf 1.2207982574133264e-15 Inf Inf 7.919442426536648e-17 Inf Inf 1.2207982574133264e-15 Inf Inf -2.3097429922463964e-26 5942.575079315506 1.7407953881592667e8
350 7200.919393061121 20.574055408745934 8.992484358093676e-17 Inf Inf 1.525997821766658e-15 Inf Inf 8.959523977338103e-17 Inf Inf 1.525997821766658e-15 Inf Inf -1.859825988588185e-26 5942.575079315506 1.7407953881592667e8
400 8229.622163498423 20.57405540874592 9.868334120130597e-17 Inf Inf 1.678597603943324e-15 Inf Inf 9.83437376838488e-17 Inf Inf 1.678597603943324e-15 Inf Inf -1.1462226991259105e-26 5942.575079315506 1.7407953881592667e8
450 9257.221662262382 20.57405540874592 1.0709292573864767e-16 Inf Inf 1.83119738611999e-15 Inf Inf 1.066986757896245e-16 Inf Inf 1.83119738611999e-15 Inf Inf 6.116182545803107e-27 5942.575079315504 1.7407953881592667e8
500 10285.924432699685 20.574055408745934 1.1650930861943733e-16 Inf Inf 1.678597603943324e-15 Inf Inf 1.1613456839239322e-16 Inf Inf 1.678597603943324e-15 Inf Inf 9.331015410323187e-27 5942.575079315504 1.7407953881592667e8
550 11314.627203136988 20.574055408745913 1.2622615909548556e-16 Inf Inf 2.1363969504733212e-15 Inf Inf 1.2586208437526151e-16 Inf Inf 2.1363969504733212e-15 Inf Inf 2.3234385078438628e-26 5942.575079315504 1.7407953881592667e8
600 12343.329973574291 20.574055408745924 1.35646566088068e-16 Inf Inf 2.288996732649987e-15 Inf Inf 1.3526010006346453e-16 Inf Inf 2.288996732649987e-15 Inf Inf 4.6353851885356205e-26 5942.575079315504 1.7407953881592667e8
650 13372.032744011594 20.574055408745867 1.4627791086254107e-16 Inf Inf 2.1363969504733212e-15 Inf Inf 1.4586043193564905e-16 Inf Inf 2.1363969504733212e-15 Inf Inf 4.4938703019011704e-26 5942.575079315504 1.7407953881592667e8
700 14400.735514448897 20.57405540874589 1.5628812764133628e-16 Inf Inf 2.441596514826653e-15 Inf Inf 1.5586061435658793e-16 Inf Inf 2.441596514826653e-15 Inf Inf 6.679363354271464e-26 5942.575079315504 1.7407953881592667e8
750 15429.4382848862 20.57405540874588 1.6734961721317083e-16 Inf Inf 3.357195207886648e-15 Inf Inf 1.6693961356585526e-16 Inf Inf 3.357195207886648e-15 Inf Inf 7.244204070656768e-26 5942.575079315506 1.7407953881592667e8
800 16458.141055323504 20.57405540874589 1.811343152982036e-16 Inf Inf 2.8993958613566503e-15 Inf Inf 1.806865023689035e-16 Inf Inf 2.8993958613566503e-15 Inf Inf 6.940715362685257e-26 5942.575079315506 1.7407953881592667e8
850 17485.74055408746 20.57405540874581 1.9541060650618055e-16 Inf Inf 2.7467960791799845e-15 Inf Inf 1.9490847610286837e-16 Inf Inf 2.7467960791799845e-15 Inf Inf 7.757331564857598e-26 5942.575079315506 1.7407953881592667e8
900 18514.443324524764 20.574055408745842 2.1252982392602586e-16 Inf Inf 4.120194118769977e-15 Inf Inf 2.1192641835638755e-16 Inf Inf 4.120194118769977e-15 Inf Inf 8.05803437533769e-26 5942.575079315506 1.7407953881592667e8
950 19543.146094962067 20.57405540874589 2.2814241329456216e-16 Inf Inf 3.5097949900633137e-15 Inf Inf 2.2752279489159517e-16 Inf Inf 3.5097949900633137e-15 Inf Inf 8.998949488240474e-26 5942.575079315506 1.7407953881592667e8
1000 20571.84886539937 20.57405540874585 2.4270978185245464e-16 Inf Inf 3.967594336593311e-15 Inf Inf 2.419830319472812e-16 Inf Inf 3.967594336593311e-15 Inf Inf 9.302982316815779e-26 5942.575079315506 1.7407953881592667e8
1050 21600.551635836673 20.574055408745842 2.5991484085160615e-16 Inf Inf 3.967594336593311e-15 Inf Inf 2.591585995834116e-16 Inf Inf 3.967594336593311e-15 Inf Inf 9.235250184055642e-26 5942.575079315504 1.7407953881592667e8
1100 22629.254406273976 20.574055408745863 2.7766070334635465e-16 Inf Inf 3.967594336593311e-15 Inf Inf 2.7684672706382776e-16 Inf Inf 3.967594336593311e-15 Inf Inf 1.1129834596814116e-25 5942.575079315506 1.7407953881592667e8
1150 23657.95717671128 20.57405540874582 2.922718971682779e-16 Inf Inf 3.967594336593311e-15 Inf Inf 2.914712178766405e-16 Inf Inf 3.967594336593311e-15 Inf Inf 8.738489837616903e-26 5942.575079315504 1.7407953881592667e8
1200 24686.659947148582 20.574055408745842 3.1233957565967837e-16 Inf Inf 5.3409923761833036e-15 Inf Inf 3.1150411060365706e-16 Inf Inf 5.3409923761833036e-15 Inf Inf 8.543651131810751e-26 5942.575079315504 1.7407953881592667e8
1250 25715.362717585886 20.574055408745856 3.3104951664828247e-16 Inf Inf 4.883193029653306e-15 Inf Inf 3.3017176261526365e-16 Inf Inf 4.883193029653306e-15 Inf Inf 6.719062393524192e-26 5942.575079315504 1.740795388159267e8
1300 26742.962216349842 20.574055408745867 3.497012883115032e-16 Inf Inf 5.3409923761833036e-15 Inf Inf 3.4875815829866744e-16 Inf Inf 5.3409923761833036e-15 Inf Inf 8.377193756698436e-26 5942.575079315504 1.7407953881592667e8
