#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 l2_H l2_vcon1 l2_vcon2 linf_H linf_vcon1 linf_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 NaN NaN 0.0 NaN NaN 0.0 NaN NaN 0.0 NaN NaN 4.788261313377265e-30 5942.575079315504 1.7407953881592667e8
50 1028.702770437303 20.574055408746034 0.0 Inf Inf 0.0 Inf Inf 0.0 Inf Inf 0.0 Inf Inf 2.1107526462333054e-27 5942.575079315504 1.7407953881592667e8
100 2057.405540874606 20.574055408746023 1.2391871673927024e-18 Inf Inf 3.051995643533316e-16 Inf Inf 1.235864676188894e-18 Inf Inf 3.051995643533316e-16 Inf Inf 6.81587233135102e-27 5942.575079315504 1.7407953881592667e8
150 3086.108311311909 20.57405540874602 3.4724224444354234e-18 Inf Inf 4.577993465299975e-16 Inf Inf 3.46311223421769e-18 Inf Inf 4.577993465299975e-16 Inf Inf 1.3840686974558503e-26 5942.575079315504 1.7407953881592667e8
200 4114.811081749212 20.57405540874602 8.9301769596682e-18 Inf Inf 4.577993465299975e-16 Inf Inf 8.906233494808588e-18 Inf Inf 4.577993465299975e-16 Inf Inf 2.2049508051619271e-26 5942.575079315504 1.7407953881592667e8
250 5143.513852186515 20.57405540874602 1.4281012644130518e-17 Inf Inf 4.577993465299975e-16 Inf Inf 1.424375014756484e-17 Inf Inf 4.577993465299975e-16 Inf Inf 2.0915996009797962e-26 5942.575079315504 1.7407953881592667e8
300 6172.216622623818 20.57405540874602 1.998192429112792e-17 Inf Inf 6.103991287066632e-16 Inf Inf 1.9893966434359652e-17 Inf Inf 6.103991287066632e-16 Inf Inf 2.300541912836259e-26 5942.575079315504 1.7407953881592667e8
350 7200.919393061121 20.574055408746013 2.4793402388668947e-17 Inf Inf 6.103991287066632e-16 Inf Inf 2.4716315331184678e-17 Inf Inf 6.103991287066632e-16 Inf Inf 2.523631360391336e-26 5942.575079315504 1.7407953881592667e8
400 8229.622163498423 20.57405540874602 2.9420339526352215e-17 Inf Inf 7.62998910883329e-16 Inf Inf 2.933485918300343e-17 Inf Inf 7.62998910883329e-16 Inf Inf 2.673547469148348e-26 5942.575079315506 1.7407953881592667e8
450 9257.221662262382 20.57405540874602 3.374280040441766e-17 Inf Inf 7.62998910883329e-16 Inf Inf 3.363229788656261e-17 Inf Inf 7.62998910883329e-16 Inf Inf 2.650389696250923e-26 5942.575079315506 1.7407953881592667e8
500 10285.924432699685 20.574055408746013 3.766748199493341e-17 Inf Inf 7.62998910883329e-16 Inf Inf 3.7554128605428695e-17 Inf Inf 7.62998910883329e-16 Inf Inf 3.26203566697449e-26 5942.575079315506 1.7407953881592667e8
550 11314.627203136988 20.57405540874601 4.107208371293396e-17 Inf Inf 7.62998910883329e-16 Inf Inf 4.094590733989174e-17 Inf Inf 7.62998910883329e-16 Inf Inf 3.516319548745012e-26 5942.575079315506 1.7407953881592667e8
600 12343.329973574291 20.574055408746005 4.3790344910856356e-17 Inf Inf 7.62998910883329e-16 Inf Inf 4.365769018132811e-17 Inf Inf 7.62998910883329e-16 Inf Inf 3.7041989520286527e-26 5942.575079315506 1.7407953881592667e8
650 13372.032744011594 20.574055408746 4.622271958399602e-17 Inf Inf 7.62998910883329e-16 Inf Inf 4.608402632660617e-17 Inf Inf 7.62998910883329e-16 Inf Inf 2.9959715741318516e-26 5942.575079315506 1.7407953881592667e8
700 14400.735514448897 20.57405540874599 4.809967514668937e-17 Inf Inf 7.62998910883329e-16 Inf Inf 4.795196487732998e-17 Inf Inf 7.62998910883329e-16 Inf Inf 2.9361618373629394e-26 5942.575079315506 1.7407953881592667e8
750 15429.4382848862 20.574055408745988 5.001597590518495e-17 Inf Inf 7.62998910883329e-16 Inf Inf 4.9857018851178214e-17 Inf Inf 7.62998910883329e-16 Inf Inf 2.255967552973547e-26 5942.575079315506 1.7407953881592667e8
800 16458.141055323504 20.574055408745984 5.1643027839189244e-17 Inf Inf 9.15598693059995e-16 Inf Inf 5.148023217882856e-17 Inf Inf 9.15598693059995e-16 Inf Inf 1.817536935261403e-26 5942.575079315506 1.7407953881592667e8
850 17485.74055408746 20.574055408745984 5.319548810133932e-17 Inf Inf 9.15598693059995e-16 Inf Inf 5.3038908426089097e-17 Inf Inf 9.15598693059995e-16 Inf Inf 2.9855244585390286e-26 5942.575079315506 1.7407953881592667e8
900 18514.443324524764 20.57405540874599 5.469153819724411e-17 Inf Inf 9.15598693059995e-16 Inf Inf 5.451942678290973e-17 Inf Inf 9.15598693059995e-16 Inf Inf 3.644160684606147e-26 5942.575079315506 1.7407953881592667e8
950 19543.146094962067 20.574055408745995 5.62185930295984e-17 Inf Inf 9.15598693059995e-16 Inf Inf 5.603933890573702e-17 Inf Inf 9.15598693059995e-16 Inf Inf 5.579151493402279e-26 5942.575079315506 1.7407953881592667e8
1000 20571.84886539937 20.57405540874599 5.759380709050909e-17 Inf Inf 9.15598693059995e-16 Inf Inf 5.740828949856549e-17 Inf Inf 9.15598693059995e-16 Inf Inf 5.793360892703457e-26 5942.575079315506 1.7407953881592667e8
