#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 l2_H l2_vcon1 l2_vcon2 linf_H linf_vcon1 linf_vcon2 dsdu_ut mass entropy 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -4.831848783775176e-12 9507.350780128065 7.387780844940976e8
50 2123.653588830331 42.4520766866604 6.046631556797703e-7 3.470410079664624e-6 7.0227937018602855e-6 2.2743831175280516e-6 1.864622482936331e-5 2.3027383466863662e-5 4.676365152741148e-7 6.216664347117251e-6 7.27823823339208e-6 2.2323786965573073e-6 2.36038293046714e-5 3.3104121284709394e-5 -4.0160558220079855e-7 9507.35078012807 7.387780844937218e8
100 4245.977343042628 42.44894446232721 6.085799822152056e-7 4.436480615576744e-6 6.61698217300659e-6 3.476077806353608e-6 2.4208137153542964e-5 1.5837800892590502e-5 4.7066572433802265e-7 8.211866346641985e-6 1.0280327005795278e-5 3.4118386291576205e-6 3.8175243864255916e-5 8.169434649333341e-5 -3.859312001287736e-7 9507.350780128083 7.387780844928786e8
150 6369.374331806775 42.49409152065439 5.674927429084136e-7 5.6795663952465924e-6 6.8892349411400675e-6 3.5423562218609375e-6 3.06546907888287e-5 1.771707233496987e-5 4.3888953088049464e-7 9.659650799557877e-6 1.1385624503385483e-5 3.476818745328663e-6 5.867493294739105e-5 8.215999117152223e-5 -3.869924730166326e-7 9507.350780128078 7.38778084492036e8
200 8496.259314626464 42.58741825277803 5.481959441044193e-7 6.868077005901481e-6 7.5086249183697675e-6 3.5362293241599535e-6 3.617817598949844e-5 1.9007995502602935e-5 4.2396570483846387e-7 1.118333133877329e-5 1.1884898599335e-5 3.4713544475699595e-6 8.008831625595901e-5 6.370979246186681e-5 -3.567498278266056e-7 9507.350780128067 7.387780844912548e8
250 10602.307030969416 42.72598304663324 5.55226092978202e-7 7.998156979316834e-6 8.16014731822906e-6 3.4320337929247094e-6 4.050204206084068e-5 2.0623321121056824e-5 4.294027060685364e-7 1.2526100068899513e-5 1.3108949015217175e-5 3.3685110929057734e-6 9.439711831537227e-5 5.831963270321501e-5 -3.533372488430732e-7 9507.350780128054 7.38778084490503e8
300 12736.198565605333 42.60988182839649 5.554494067947056e-7 9.021891995387876e-6 8.824762869053061e-6 4.436531577742871e-6 4.459141848679289e-5 2.601461605609763e-5 4.295754132938307e-7 1.3578612649454427e-5 1.4681960924225189e-5 4.3551506604423515e-6 0.0001023388239689399 6.61591277331554e-5 -3.459326551750211e-7 9507.350780128021 7.387780844897578e8
350 14863.888662214662 42.507711883420114 5.643282358925406e-7 9.936175095307791e-6 9.518312956137285e-6 4.989988961264082e-6 4.803801101105108e-5 3.1798943977715077e-5 4.364421533280522e-7 1.4551115689655796e-5 1.6371100192659582e-5 4.8977923201614335e-6 0.00010905322894655118 7.606447920851233e-5 -3.427497529606595e-7 9507.350780128094 7.387780844890331e8
400 16987.693441970216 42.45361533974403 5.719446208196728e-7 1.07665396087179e-5 1.0226796760116685e-5 4.7741960397852805e-6 5.089811551517965e-5 3.692540284171954e-5 4.4233253985608653e-7 1.5452172567197067e-5 1.834904872713524e-5 4.68587642810746e-6 0.00011287821104503456 8.292097720120309e-5 -3.4608937033414157e-7 9507.35078012806 7.387780844883009e8
450 19105.17302767428 42.44779856928736 5.745678790283942e-7 1.1549266150900946e-5 1.0702735498846604e-5 4.2336868315230056e-6 5.274100247255695e-5 4.083261457739437e-5 4.4436132450568383e-7 1.618897148099023e-5 2.024608014441251e-5 4.155568227330992e-6 0.00011646539456068537 8.622011679767725e-5 -3.4773239966263247e-7 9507.350780128067 7.387780844875641e8
500 21228.435379902694 42.489750588316696 5.66809905912421e-7 1.2306085043149354e-5 1.1094865062420284e-5 3.930328025264402e-6 5.707834784964057e-5 4.325757492567634e-5 4.383614360055496e-7 1.6883486114919532e-5 2.186247701395341e-5 3.857695575816671e-6 0.00012466643814637723 8.920339316148115e-5 -3.4468029073699673e-7 9507.350780128076 7.387780844868265e8
550 23352.390261097524 42.45653602604654 5.693472246734226e-7 1.3024805356576874e-5 1.1382734497257129e-5 3.952966711519951e-6 6.185465982038184e-5 3.900283161491188e-5 4.403237565003823e-7 1.7605870400203618e-5 2.290863674484952e-5 3.879953494361317e-6 0.00012877201227312135 8.521056825271588e-5 -3.4463460971227395e-7 9507.350780128056 7.387780844860966e8
