#timestep time dt l2_h l2_h_v1 l2_h_v2 l2_h_v3 l2_b linf_h linf_h_v1 linf_h_v2 linf_h_v3 linf_b l2_H l2_v1 l2_v2 l2_v3 l2_b linf_H linf_v1 linf_v2 linf_v3 linf_b dsdu_ut waterheight e_total 
0 0.0 100.0 0.0 7.163826804359159e-6 7.108348117541709e-6 1.0 0.0 0.0 1.6728976255064083e-5 1.6728976255277722e-5 1.0 0.0 0.0 7.0295097179926114e-6 7.029509717991392e-6 1.0 0.0 0.0 1.6744809806107968e-5 1.6744809806330013e-5 1.0 0.0 -3.942005975931915e-14 5619.927855768583 1.5690751204018012e8
50 724.0099933218405 14.48020006726554 0.00025507424260253267 0.000912074039475207 0.00034127078458067464 1.0 0.0 0.002264376393480211 0.02062849896436866 0.006719429425107272 1.0 0.0 0.0002543455433723366 0.0009304463063657565 0.00035258370462477715 1.0 0.0 0.002264376393480211 0.03293353940457248 0.007369101766932759 1.0 0.0 -6.431078058905225e-14 5619.927855768584 1.5690751204017904e8
100 1448.0199832769194 14.480199280645119 0.0004855499397338648 0.002632579037922184 0.0010036965148222216 1.0 0.0 0.0044559744455220296 0.03198687827807106 0.0128575429827569 1.0 0.0 0.00048416277238280653 0.0028920399249385805 0.001059370323000142 1.0 0.0 0.0044559744455220296 0.05186698011237586 0.014342437108893543 1.0 0.0 -8.744614695020142e-14 5619.927855768573 1.5690751204017878e8
150 2172.0299145087924 14.480198079842433 0.0006849026384650402 0.004947125883924543 0.0018628561467586837 1.0 0.0 0.0066264707401582365 0.052408444640041074 0.019275140145922725 1.0 0.0 0.0006829458568582136 0.005616491429622009 0.0019831825032190927 1.0 0.0 0.0066264707401582365 0.08276893454460547 0.02123484378090655 1.0 0.0 -5.3268847529492706e-14 5619.92785576858 1.5690751204017925e8
200 2896.039597929951 14.480187968441895 0.000848050009875984 0.007684211546395344 0.002871414328420855 1.0 0.0 0.008391836734847223 0.07089638676603702 0.026100469561654394 1.0 0.0 0.0008456269950543428 0.00888755154016442 0.003073798277997526 1.0 0.0 0.008391836734847223 0.11356441482999464 0.028653510171740608 1.0 0.0 -8.290342661597086e-14 5619.927855768555 1.5690751204017934e8
250 3620.049091367473 14.480193053046518 0.000971140244678549 0.010755910554559087 0.004002419863545541 1.0 0.0 0.01012058106467152 0.08423776105999443 0.03212985388474727 1.0 0.0 0.0009683654072444572 0.012578524783218492 0.004302239732992443 1.0 0.0 0.010120581064671673 0.134158618770155 0.035253794414269464 1.0 0.0 -5.906043727173062e-14 5619.927855768579 1.569075120401794e8
300 4344.058570566799 14.480179373253865 0.0010519536139830684 0.014021179679149662 0.005214283553469171 1.0 0.0 0.010696091456789701 0.10271179738240745 0.03874227669302693 1.0 0.0 0.001048947747940982 0.01651969364373334 0.005626011944969672 1.0 0.0 0.010696091456789701 0.15930671253734482 0.04242299068258865 1.0 0.0 -7.843373774546347e-14 5619.927855768604 1.5690751204017943e8
350 5068.064110611887 14.480075246391099 0.0010925777260388007 0.017287613792467384 0.006458427388854012 1.0 0.0 0.01026310460762363 0.11943623156945969 0.04668599005032604 1.0 0.0 0.001089455700133345 0.02047132926134803 0.006990701220553497 1.0 0.0 0.010263104607623783 0.18066512291486264 0.05099349513178893 1.0 0.0 -6.727121826044458e-14 5619.927855768577 1.5690751204017904e8
400 5792.072650105193 14.480193875102584 0.0011023928396205992 0.02032766977809576 0.007677674744447422 1.0 0.0 0.009381483968399542 0.13633857737634397 0.05315399002588398 1.0 0.0 0.0010992427466066663 0.024142518809706068 0.008327568700271579 1.0 0.0 0.009381483968399542 0.20206433652911204 0.05794369853265413 1.0 0.0 -4.2994435964404644e-14 5619.927855768567 1.5690751204017952e8
450 6516.067039292279 14.479798623435228 0.0010923827051402138 0.022989762089202663 0.008832541645697866 1.0 0.0 0.0087600526970958 0.15065952664335136 0.05914856700506014 1.0 0.0 0.0010892612695073845 0.02733396246975096 0.009591764482515565 1.0 0.0 0.0087600526970958 0.2186956200183291 0.06437779848388163 1.0 0.0 -1.0364410369728248e-13 5619.9278557685875 1.5690751204017898e8
500 7240.073836055542 14.480141000560124 0.001071223234416545 0.025203711450134298 0.009902749650870192 1.0 0.0 0.008236134570209606 0.16529675791540796 0.06472688166152296 1.0 0.0 0.001068162394126294 0.029948491350697493 0.010764630759985789 1.0 0.0 0.008236134570209606 0.23655296077262503 0.07031312167460373 1.0 0.0 -7.971411129702628e-14 5619.927855768577 1.5690751204017895e8
550 7964.082031763802 14.480191325586716 0.0010464597504192183 0.02693543038103766 0.01087741064822431 1.0 0.0 0.0079258313949182 0.17897713914267654 0.06967389542130335 1.0 0.0 0.001043469878385729 0.03193127845571914 0.011838383606852385 1.0 0.0 0.0079258313949182 0.2525662590552644 0.07558503849145007 1.0 0.0 -1.2024541155616882e-13 5619.927855768597 1.5690751204017884e8
600 8683.440570002733 14.480189982867186 0.001024229022451685 0.0281760681620886 0.011746164772946138 1.0 0.0 0.007365735748871704 0.1796458107630174 0.07379681154213016 1.0 0.0 0.0010213029328455271 0.033263225031241385 0.012805117681029484 1.0 0.0 0.007365735748871704 0.2534776482640226 0.07993301349362482 1.0 0.0 -6.984940005378714e-14 5619.927855768571 1.5690751204017878e8
650 9407.450040601587 14.480188674983706 0.001006823030958763 0.02898484448735349 0.012523925273147501 1.0 0.0 0.006959263499126934 0.17828837371988518 0.07466317252353526 1.0 0.0 0.0010039469564827774 0.034017545826550026 0.013683774038144244 1.0 0.0 0.006959263499126934 0.25703994620871545 0.08075683126786934 1.0 0.0 -9.776525482442347e-14 5619.927855768588 1.5690751204017907e8
700 10131.459430757257 14.480187015138325 0.0009918814741748942 0.029436368080926305 0.013217334054830042 1.0 0.0 0.006541542735511378 0.16064864837614665 0.07388197337668942 1.0 0.0 0.0009890483462469944 0.034309424176884415 0.014484375441260841 1.0 0.0 0.006541542735511378 0.2399434053290796 0.07982976284132456 1.0 0.0 -8.780529761625227e-14 5619.927855768582 1.56907512040179e8
750 10855.468726956204 14.480184586323862 0.000975876949021475 0.02961646864273165 0.013845338458002236 1.0 0.0 0.006070164414438299 0.1513600212583172 0.07153623310644605 1.0 0.0 0.0009730897416054535 0.034271811605311946 0.015228512192888254 1.0 0.0 0.006070164414438299 0.226228568945214 0.08186779033519848 1.0 0.0 -7.284265336741571e-14 5619.92785576858 1.5690751204017943e8
800 11579.477830027528 14.48018241474714 0.0009586853473470968 0.029579638016812876 0.014423326763294374 1.0 0.0 0.00586444518236787 0.13990409771827253 0.06853472259892883 1.0 0.0 0.0009559473749255423 0.033984535343781 0.01592932479605498 1.0 0.0 0.00586444518236787 0.21306429182295 0.08918900867954432 1.0 0.0 -1.0126312502747416e-13 5619.92785576858 1.5690751204017958e8
850 12303.486873546297 14.480179518664617 0.0009408547340647504 0.029375503282719956 0.014963439205261022 1.0 0.0 0.005449308401829715 0.1296960190473014 0.06587876369923669 1.0 0.0 0.0009381677447632574 0.033518984096494085 0.016595121344643127 1.0 0.0 0.005449308401829715 0.19726156673780013 0.09483615765118698 1.0 0.0 -8.293810728525375e-14 5619.927855768574 1.569075120401793e8
900 13027.495780834306 14.480176797570657 0.0009235349380709349 0.029047372051890247 0.01547394332991503 1.0 0.0 0.0052120866135269735 0.12514215383522137 0.06879350730543093 1.0 0.0 0.0009208973984488261 0.03293622319078288 0.01723116852413291 1.0 0.0 0.0052120866135269735 0.192234716414149 0.10071365586031586 1.0 0.0 -6.09698147690702e-14 5619.927855768592 1.5690751204017943e8
950 13751.504555680769 14.480174232503154 0.0009079979581256855 0.028635735581553686 0.015960845213112675 1.0 0.0 0.005069554525226676 0.12286591041841413 0.07281893412922882 1.0 0.0 0.0009054047047535174 0.03228744624337922 0.01784131454395323 1.0 0.0 0.005069554525226676 0.19113960665128618 0.10705271030061364 1.0 0.0 -2.272820556265032e-14 5619.927855768583 1.5690751204017955e8
1000 14475.5130073786 14.48017183423736 0.0008951298134784688 0.028181889883872872 0.01642901240846963 1.0 0.0 0.0049417977826719806 0.12137254333236405 0.07701357500612335 1.0 0.0 0.0008925731530929285 0.031621755464766726 0.01842886160827128 1.0 0.0 0.0049417977826719806 0.18813984901591913 0.11327587144808629 1.0 0.0 -7.676747372739861e-14 5619.927855768595 1.5690751204017922e8
1050 15199.521516069175 14.48016848425501 0.0008858972472276586 0.02772317298374468 0.016882683690917676 1.0 0.0 0.004857925621309776 0.11998408648165282 0.08157920560110878 1.0 0.0 0.0008833667293325996 0.03097914485015636 0.018997612025550063 1.0 0.0 0.004857925621309776 0.18651106491479005 0.11917195242229142 1.0 0.0 -7.322086977519399e-14 5619.927855768576 1.569075120401796e8
1100 15923.529857852942 14.480164766126643 0.0008806008019634572 0.027296620409830667 0.017325951751256737 1.0 0.0 0.004777849801611927 0.11689737436647735 0.0859629453121318 1.0 0.0 0.000878085124360935 0.03039786644789372 0.019552385056856213 1.0 0.0 0.004777849801611927 0.180011345834482 0.12440325357907397 1.0 0.0 -6.469278687761692e-14 5619.927855768593 1.569075120401793e8
1150 16647.537848695498 14.480140266358042 0.0008794731885682689 0.026930505524429795 0.017762981085881632 1.0 0.0 0.0045583571584609925 0.11514032599695209 0.08984957281882623 1.0 0.0 0.0008769603962986634 0.02990450752702761 0.020098457548520715 1.0 0.0 0.0045583571584609925 0.17686830223551395 0.1297665055774931 1.0 0.0 -6.615516625812596e-14 5619.927855768588 1.5690751204017925e8
1200 17366.8806938215 14.48012054958246 0.0008822984523241678 0.026643299753460057 0.018195943547314908 1.0 0.0 0.004525550647622277 0.11496327683866883 0.09403471928491156 1.0 0.0 0.0008797772302623929 0.029514506811782013 0.020638218743536933 1.0 0.0 0.004525550647622277 0.17583488591059424 0.13547553421071384 1.0 0.0 -4.8926927676232865e-14 5619.927855768594 1.5690751204017916e8
1250 18090.887845906553 14.480142832202844 0.000888837539631087 0.026435165010757624 0.018636748930697025 1.0 0.0 0.004458084870453119 0.11560919726222196 0.09809345074003857 1.0 0.0 0.0008862972775218522 0.029222374168029207 0.021185252997265744 1.0 0.0 0.004458084870453119 0.17652012725815527 0.1409234657191136 1.0 0.0 -1.2145309269601675e-13 5619.927855768567 1.5690751204017898e8
1300 18814.895022530574 14.480146828613616 0.0008986143862233496 0.026303503130710365 0.019089808713712207 1.0 0.0 0.004487138118840728 0.11210010825678249 0.10194431379278121 1.0 0.0 0.0008960458644625751 0.029020623731190662 0.02174304016865889 1.0 0.0 0.004487138118840728 0.1703968878684451 0.14588293875026517 1.0 0.0 -7.386383004986162e-14 5619.9278557685775 1.5690751204017887e8
1350 19538.902770431996 14.480164539729135 0.0009110866494271454 0.026243251182915185 0.01956101959396327 1.0 0.0 0.004736302642267945 0.11021939053175367 0.10590446290508172 1.0 0.0 0.000908482217959762 0.02890074817705286 0.02231693025194341 1.0 0.0 0.004736302642267945 0.16663099588439992 0.15071652811956762 1.0 0.0 -1.3936999073294486e-13 5619.927855768583 1.569075120401792e8
1400 20262.79679030668 14.474160805009465 0.0009257172246770241 0.02624908402444209 0.020051376022047193 1.0 0.0 0.00497059323309506 0.10987029474241236 0.10961325918283905 1.0 0.0 0.0009230707740374047 0.028852947174686745 0.022907439792692212 1.0 0.0 0.00497059323309506 0.16659670034837298 0.15578848514297278 1.0 0.0 -8.086172842347742e-14 5619.927855768597 1.569075120401793e8
1450 20986.360365503093 14.468139999257255 0.0009420214228286573 0.026310246007329192 0.020556571470404957 1.0 0.0 0.0051350453582014784 0.1075284702371429 0.11327717646748685 1.0 0.0 0.0009393282224275177 0.028862857168675718 0.023510195493249654 1.0 0.0 0.0051350453582014784 0.16245417126783646 0.16058904521773268 1.0 0.0 -1.0438591318058755e-13 5619.92785576859 1.5690751204017922e8
1500 21709.60882320251 14.462904922145691 0.0009596448896515887 0.026413210753126196 0.021069908170093726 1.0 0.0 0.005403764489215778 0.10694336235246407 0.1169839520047128 1.0 0.0 0.0009569012083809864 0.028916401809558477 0.024118926236723973 1.0 0.0 0.005403764489215778 0.1609969873916705 0.16511529628078717 1.0 0.0 -5.877888835551408e-14 5619.927855768578 1.569075120401791e8
1550 22432.62304302579 14.457907888465693 0.0009783413522089994 0.02654453339522005 0.021586214900402325 1.0 0.0 0.005621253910883441 0.10586703913386358 0.12054142136193219 1.0 0.0 0.0009755441512819873 0.029000219796463646 0.02472900734430073 1.0 0.0 0.005621253910883441 0.15954240581403203 0.16971155257759768 1.0 0.0 -1.0060785751399208e-13 5619.927855768597 1.5690751204017937e8
1600 23155.475292848463 14.45675693069656 0.0009979377373606907 0.02669975551260686 0.022103554409274934 1.0 0.0 0.005803182432665671 0.1054846433311037 0.12399017558126456 1.0 0.0 0.0009950844632022693 0.029110052211539512 0.025338796072098168 1.0 0.0 0.005803182432665671 0.15558036926361457 0.17488752663856164 1.0 0.0 -8.490790863251604e-14 5619.927855768578 1.5690751204017884e8
1650 23878.297310432605 14.456593217150164 0.00101831032678148 0.02688046828704585 0.022621627768277957 1.0 0.0 0.0060829121993213305 0.10573238861456992 0.12749843781611866 1.0 0.0 0.0010153987782942405 0.029247333347686078 0.025947980460202358 1.0 0.0 0.006082912199321482 0.15489466896841086 0.17996039290883284 1.0 0.0 -7.71233079410327e-14 5619.927855768574 1.569075120401795e8
1700 24601.238556786546 14.460890296424395 0.0010393508621886595 0.02708646824104432 0.0231396884153777 1.0 0.0 0.006064678904270646 0.10692369284494754 0.1310239317911639 1.0 0.0 0.0010363791478450806 0.029411484330753055 0.026555944750230816 1.0 0.0 0.006064678904270646 0.15091090085159023 0.18491595849269443 1.0 0.0 -7.764810769253509e-14 5619.92785576858 1.5690751204017937e8
1750 25324.387337425633 14.465645028617573 0.001060932884821674 0.02731531297333601 0.023656800048018973 1.0 0.0 0.006303081169763707 0.10692600214539837 0.13416497821043508 1.0 0.0 0.0010578994745032643 0.029600852999069404 0.027161949362107866 1.0 0.0 0.0063030811697638595 0.14814288132935594 0.18981166492856166 1.0 0.0 -1.3286311994260036e-13 5619.927855768575 1.5690751204017937e8
1800 26035.765315861772 14.470950932315468 0.0010825935524376871 0.02755959668901273 0.024163652737969655 1.0 0.0 0.0063730285581705655 0.10748011415655911 0.137436814091877 1.0 0.0 0.0010794982356578406 0.02980921662064686 0.027755479864098456 1.0 0.0 0.0063730285581705655 0.14639426351089477 0.1944506649193067 1.0 0.0 -1.0786034837991504e-13 5619.927855768575 1.569075120401789e8
1850 26759.449543771043 14.476031407346595 0.0011049599084238723 0.027827791592230228 0.024676911314054018 1.0 0.0 0.006608232491279412 0.11072275287716872 0.14088492887493737 1.0 0.0 0.0011018006796175855 0.030043952731109217 0.02835638681881177 1.0 0.0 0.006608232491279412 0.14591041808233454 0.19915340432381676 1.0 0.0 -9.556955255813558e-14 5619.92785576858 1.569075120401791e8
1900 27483.31357745123 14.47869956325033 0.001127574229039599 0.028116872731250377 0.025187803895181417 1.0 0.0 0.006670132483193965 0.11384363445984616 0.14390146784339186 1.0 0.0 0.0011243503903337888 0.030302098333411874 0.02895449333127046 1.0 0.0 0.006670132483193965 0.13984118164190182 0.20371535477117678 1.0 0.0 -1.0639770538803973e-13 5619.927855768574 1.5690751204017892e8
1950 28207.277947883013 14.479606531829788 0.0011503377463146943 0.02842687549376299 0.025696100122584963 1.0 0.0 0.006760267544989257 0.11601603077177473 0.14729454698722716 1.0 0.0 0.0011470488838804809 0.03058398794877034 0.029549643994822447 1.0 0.0 0.006760267544989409 0.13926219800223016 0.2083069243317716 1.0 0.0 -7.85385681920063e-14 5619.927855768585 1.5690751204017943e8
2000 28931.276642373607 14.480074447267555 0.0011731605970745876 0.028756064699986178 0.026201571236875075 1.0 0.0 0.006875983460966806 0.1185493402435789 0.15045350634426619 1.0 0.0 0.0011698065541960651 0.030887782303964953 0.03014162895494679 1.0 0.0 0.006875983460966806 0.13570710474989559 0.212891189386868 1.0 0.0 -1.2924863045482472e-13 5619.927855768577 1.569075120401792e8
2050 29655.282108586263 14.480073118982986 0.0011959392946224053 0.02910294741292442 0.026703951063144993 1.0 0.0 0.007062239783829213 0.12184635765034108 0.153335397579257 1.0 0.0 0.0011925202077503593 0.031211551398327955 0.03073025146969464 1.0 0.0 0.007062239783829213 0.13585902183293727 0.21721982934430978 1.0 0.0 -1.0400080875737495e-13 5619.927855768575 1.5690751204017937e8
2100 30379.283523596958 14.48000547162881 0.0012185920878914223 0.02946736442573947 0.027202983605959713 1.0 0.0 0.007216533186510184 0.12384969116860547 0.15655585689253923 1.0 0.0 0.001215108325278417 0.0315550995877644 0.031315348357171924 1.0 0.0 0.007216533186510184 0.13710962317860426 0.221506077901558 1.0 0.0 -8.927482722137377e-14 5619.92785576856 1.569075120401793e8
2150 31103.284991014836 14.480070031112783 0.001241050126453226 0.029848214319211773 0.027698602366204313 1.0 0.0 0.0073121732030755554 0.1280271520047965 0.16023817878524307 1.0 0.0 0.0012375022534745382 0.03191676544188832 0.031896892554293926 1.0 0.0 0.0073121732030755554 0.13856261849448873 0.22571927647921375 1.0 0.0 -5.824535390682526e-14 5619.927855768595 1.569075120401789e8
2200 31827.28602317135 14.479963635100189 0.0012632473183044248 0.03024413420843615 0.028190761731528267 1.0 0.0 0.007383406866785854 0.12827498273781926 0.16312697482735802 1.0 0.0 0.0012596360902210825 0.032295051889481535 0.03247484931615167 1.0 0.0 0.007383406866786007 0.13975880580897515 0.2301837615174087 1.0 0.0 -8.547690909268314e-14 5619.927855768576 1.5690751204017925e8
2250 32551.28595020946 14.480108121453492 0.0012851343246840332 0.03065421973571389 0.02867956308778772 1.0 0.0 0.007610118918169443 0.1325464045442231 0.16655509519584635 1.0 0.0 0.0012814606370269263 0.032689060999989764 0.0330492835344733 1.0 0.0 0.007610118918169596 0.1404803303124019 0.23425446734559086 1.0 0.0 -6.817754218149688e-14 5619.92785576856 1.569075120401793e8
2300 33275.29376043806 14.480162349146156 0.0013066565179952615 0.03107708217093861 0.02916496166261806 1.0 0.0 0.007798527186042811 0.13444917758906835 0.16945450338799145 1.0 0.0 0.0013029214199066835 0.033096895696765244 0.03362019410954901 1.0 0.0 0.007798527186042811 0.14194278378741518 0.23813655582714763 1.0 0.0 -1.1449967546868936e-13 5619.927855768586 1.569075120401794e8
2350 33999.30202462947 14.48015611695708 0.0013277877255443613 0.03151181400251797 0.02964692652647856 1.0 0.0 0.008015890485198605 0.1373128569724995 0.1727421595623748 1.0 0.0 0.0013239923405359943 0.033517708724835116 0.03418766599808632 1.0 0.0 0.008015890485198605 0.14305215221357 0.2422398506494076 1.0 0.0 -9.203164123747384e-14 5619.927855768576 1.569075120401791e8
2400 34719.28058592566 14.48003705693496 0.0013483858151628412 0.03195419494896051 0.030122873780313315 1.0 0.0 0.008195015717495294 0.13887386493389423 0.17609457784980412 1.0 0.0 0.001344531673187321 0.03394710747126693 0.034748698590637436 1.0 0.0 0.008195015717495294 0.14438192398134417 0.24618076095690855 1.0 0.0 -7.945750619737299e-14 5619.927855768582 1.569075120401792e8
2450 35443.27908407082 14.479936933099566 0.0013686701932106157 0.03240846346322166 0.03059830766247417 1.0 0.0 0.008394756212292333 0.1418107843348519 0.17873344244995457 1.0 0.0 0.0013647581979678704 0.03438916262615246 0.035309764875059005 1.0 0.0 0.008394756212292333 0.1448162246651834 0.25004870676462226 1.0 0.0 -7.392856253175007e-14 5619.92785576859 1.5690751204017958e8
