#timestep time dt l2_h l2_h_v1 l2_h_v2 l2_h_v3 l2_b linf_h linf_h_v1 linf_h_v2 linf_h_v3 linf_b l2_H l2_v1 l2_v2 l2_v3 l2_b linf_H linf_v1 linf_v2 linf_v3 linf_b dsdu_ut waterheight e_total 
0 0.0 100.0 0.0 7.163826804359159e-6 7.108348117541709e-6 1.0 0.0 0.0 1.6728976255064083e-5 1.6728976255277722e-5 1.0 0.0 0.0 7.0295097179926114e-6 7.029509717991392e-6 1.0 0.0 0.0 1.6744809806107968e-5 1.6744809806330013e-5 1.0 0.0 -2.7880255717049036e-7 5619.927855768583 1.5690751204018012e8
50 724.0099765527923 14.48019922801272 0.0002550500378817338 0.0008979976654926017 0.00033939031422112754 1.0 0.0 0.0022099330640129107 0.01697606395919178 0.006372993119055609 1.0 0.0 0.0002543214077698251 0.0009107608727208245 0.00035028567027044953 1.0 0.0 0.0022099330640128344 0.02696496068296994 0.007012722194531046 1.0 0.0 -2.9476272385333537e-5 5619.927855768585 1.569075120245009e8
100 1448.0199322950748 14.480199188107306 0.00048548564622474284 0.0026354140828871594 0.001001811096366933 1.0 0.0 0.004386913304727485 0.03608524558096976 0.011633215962620937 1.0 0.0 0.0004840986627713707 0.0028964684362367712 0.0010572871789390483 1.0 0.0 0.004386913304727485 0.05777324842048609 0.012873920999381398 1.0 0.0 -2.1800725772330802e-5 5619.92785576857 1.5690751200680062e8
150 2172.0298954794616 14.480199217098047 0.0006848094652295174 0.004935265705488836 0.0018586834282041775 1.0 0.0 0.006506178917354626 0.05176862135583239 0.017908874112477054 1.0 0.0 0.0006828529496983673 0.00560508632332082 0.0019788784552672595 1.0 0.0 0.006506178917354626 0.082525223474415 0.019768998185373296 1.0 0.0 -1.4347620094586702e-5 5619.927855768588 1.569075119938139e8
200 2896.039850840845 14.480199096134427 0.0008479610580319127 0.00768413051243745 0.0028711620784545415 1.0 0.0 0.008394851985447859 0.0683012358689075 0.02464796981548723 1.0 0.0 0.0008455382965299002 0.008885343544398502 0.003073225238113468 1.0 0.0 0.008394851985447859 0.10892047132165286 0.02713282862737077 1.0 0.0 -1.10637658411823e-5 5619.927855768593 1.5690751198484397e8
250 3620.0498006173293 14.4801985870264 0.0009710598793438147 0.010757925077160549 0.00400208929759756 1.0 0.0 0.009960961479709362 0.08581510007852523 0.03157951980543137 1.0 0.0 0.0009682852720263578 0.012580148776552181 0.004301804199260183 1.0 0.0 0.009960961479709362 0.13670418757360162 0.03467493263002885 1.0 0.0 -1.1369119756404582e-5 5619.927855768573 1.569075119768392e8
300 4344.059762452898 14.480199473986268 0.0010518682578463713 0.014019992768989123 0.005213255293142733 1.0 0.0 0.01064143960070061 0.10280710833606456 0.03839375737446427 1.0 0.0 0.0010488626365501785 0.01651908615621669 0.005624973602358679 1.0 0.0 0.01064143960070061 0.15943925835761802 0.042062303918509875 1.0 0.0 -1.0158051836844348e-5 5619.927855768586 1.5690751196882805e8
350 5068.069356577386 14.480179812295365 0.0010924769105233828 0.017285827434072008 0.0064573514004591945 1.0 0.0 0.010065568321413924 0.11946324720485459 0.04531209717215813 1.0 0.0 0.0010893551722892972 0.020469968361087398 0.0069896060703454835 1.0 0.0 0.010065568321413924 0.18071203416345194 0.04952820489650372 1.0 0.0 -9.235107574570918e-6 5619.927855768564 1.5690751196202803e8
400 5792.079072102907 14.48020004252378 0.0011023158009860865 0.02032656127863468 0.007676799900853308 1.0 0.0 0.009286309290248809 0.13512799019569502 0.052047706828763654 1.0 0.0 0.0010991659276532034 0.024141009952429855 0.008326599741018747 1.0 0.0 0.009286309290248809 0.20047892626897523 0.056767540504597515 1.0 0.0 -9.352592602205927e-6 5619.927855768574 1.5690751195521274e8
450 6516.088196935075 14.480067601166915 0.001092264836386216 0.02298974377650767 0.0088318510492137 1.0 0.0 0.008693313463223582 0.1504984484077601 0.058241831896501166 1.0 0.0 0.001089143737478005 0.027333816457218274 0.009591027271728055 1.0 0.0 0.00869331346322343 0.2191593514034477 0.06340866531557007 1.0 0.0 -9.439179641932693e-6 5619.927855768584 1.5690751194846976e8
