#timestep time dt l2_h l2_h_v1 l2_h_v2 l2_h_v3 l2_b linf_h linf_h_v1 linf_h_v2 linf_h_v3 linf_b l2_H l2_v1 l2_v2 l2_v3 l2_b linf_H linf_v1 linf_v2 linf_v3 linf_b dsdu_ut waterheight e_total 
0 0.0 100.0 0.0 NaN NaN NaN 0.0 0.0 NaN NaN NaN 0.0 0.0 NaN NaN NaN 0.0 0.0 NaN NaN NaN 0.0 0.0 5942.574955414761 1.7407953877230707e8
50 730.3910964739375 14.607821929478725 1.2193247380079625e-16 1.0 1.0 1.0 0.0 6.103991287066606e-15 1.0 1.0 1.0 0.0 1.2160554764072165e-16 1.0 1.0 1.0 0.0 6.103991287066606e-15 1.0 1.0 1.0 0.0 2.998461468984917e-25 5942.574955414761 1.7407953877230707e8
100 1460.7821929478714 14.607821929478693 1.9497797689093337e-16 1.0 1.0 1.0 0.0 7.324789544479912e-15 1.0 1.0 1.0 0.0 1.9445520064193998e-16 1.0 1.0 1.0 0.0 7.324789544479912e-15 1.0 1.0 1.0 0.0 4.732682656797898e-25 5942.574955414761 1.7407953877230707e8
150 2191.173289421803 14.607821929478675 2.326607053818446e-16 1.0 1.0 1.0 0.0 7.629989108833235e-15 1.0 1.0 1.0 0.0 2.32041773210629e-16 1.0 1.0 1.0 0.0 7.629989108833235e-15 1.0 1.0 1.0 0.0 5.810128511234315e-25 5942.574955414761 1.7407953877230707e8
200 2921.5643858957346 14.60782192947866 2.5329831185837362e-16 1.0 1.0 1.0 0.0 7.782588891009897e-15 1.0 1.0 1.0 0.0 2.5262842898847217e-16 1.0 1.0 1.0 0.0 7.782588891009897e-15 1.0 1.0 1.0 0.0 6.929362828027673e-25 5942.574955414761 1.7407953877230707e8
250 3651.9554823696662 14.60782192947865 2.687071396779858e-16 1.0 1.0 1.0 0.0 7.935188673186562e-15 1.0 1.0 1.0 0.0 2.68004438363046e-16 1.0 1.0 1.0 0.0 7.935188673186562e-15 1.0 1.0 1.0 0.0 7.666789893753128e-25 5942.574955414761 1.7407953877230707e8
300 4382.346578843598 14.60782192947864 2.808192037179685e-16 1.0 1.0 1.0 0.0 8.087788455363225e-15 1.0 1.0 1.0 0.0 2.800893995756747e-16 1.0 1.0 1.0 0.0 8.087788455363225e-15 1.0 1.0 1.0 0.0 8.703143760205222e-25 5942.574955414761 1.7407953877230707e8
350 5112.7376753175295 14.607821929478627 2.914568357424479e-16 1.0 1.0 1.0 0.0 8.240388237539888e-15 1.0 1.0 1.0 0.0 2.9070643155593263e-16 1.0 1.0 1.0 0.0 8.240388237539888e-15 1.0 1.0 1.0 0.0 9.310748002875119e-25 5942.574955414761 1.7407953877230707e8
400 5843.128771791461 14.607821929478616 3.003188420262323e-16 1.0 1.0 1.0 0.0 8.392988019716552e-15 1.0 1.0 1.0 0.0 2.9954628469637467e-16 1.0 1.0 1.0 0.0 8.392988019716552e-15 1.0 1.0 1.0 0.0 1.0322864561160189e-24 5942.574955414761 1.7407953877230707e8
450 6573.519868265393 14.607821929478604 3.0753382572982166e-16 1.0 1.0 1.0 0.0 8.392988019716552e-15 1.0 1.0 1.0 0.0 3.067288099871891e-16 1.0 1.0 1.0 0.0 8.392988019716552e-15 1.0 1.0 1.0 0.0 1.0634049310844863e-24 5942.574955414761 1.7407953877230707e8
500 7303.910964739324 14.607821929478597 3.148500673071178e-16 1.0 1.0 1.0 0.0 8.545587801893217e-15 1.0 1.0 1.0 0.0 3.14026803419669e-16 1.0 1.0 1.0 0.0 8.545587801893217e-15 1.0 1.0 1.0 0.0 1.0706621940471415e-24 5942.574955414761 1.7407953877230707e8
550 8034.302061213256 14.607821929478588 3.220901540286293e-16 1.0 1.0 1.0 0.0 8.698187584069882e-15 1.0 1.0 1.0 0.0 3.2124505323583614e-16 1.0 1.0 1.0 0.0 8.698187584069882e-15 1.0 1.0 1.0 0.0 1.1322444580738176e-24 5942.574955414761 1.7407953877230707e8
600 8756.862575435822 14.607821929478575 3.279600013312776e-16 1.0 1.0 1.0 0.0 8.698187584069882e-15 1.0 1.0 1.0 0.0 3.271030042799474e-16 1.0 1.0 1.0 0.0 8.698187584069882e-15 1.0 1.0 1.0 0.0 1.2119211263010486e-24 5942.574955414761 1.7407953877230707e8
650 9487.253671909708 14.607821929478565 3.342347010122971e-16 1.0 1.0 1.0 0.0 8.850787366246543e-15 1.0 1.0 1.0 0.0 3.3336284421921874e-16 1.0 1.0 1.0 0.0 8.850787366246543e-15 1.0 1.0 1.0 0.0 1.2202231008226271e-24 5942.574955414761 1.7407953877230707e8
700 10217.644768383594 14.607821929478554 3.4015632981580814e-16 1.0 1.0 1.0 0.0 9.003387148423208e-15 1.0 1.0 1.0 0.0 3.392647803055919e-16 1.0 1.0 1.0 0.0 9.003387148423208e-15 1.0 1.0 1.0 0.0 1.3984091043126163e-24 5942.574955414761 1.7407953877230707e8
750 10948.03586485748 14.607821929478542 3.4619164123390892e-16 1.0 1.0 1.0 0.0 9.155986930599872e-15 1.0 1.0 1.0 0.0 3.452832937072497e-16 1.0 1.0 1.0 0.0 9.155986930599872e-15 1.0 1.0 1.0 0.0 1.3512717187739888e-24 5942.574955414761 1.7407953877230707e8
800 11678.426961331366 14.607821929478533 3.5196460034234075e-16 1.0 1.0 1.0 0.0 9.155986930599871e-15 1.0 1.0 1.0 0.0 3.51023431368809e-16 1.0 1.0 1.0 0.0 9.155986930599871e-15 1.0 1.0 1.0 0.0 1.3558405906583475e-24 5942.574955414761 1.7407953877230707e8
850 12408.818057805252 14.607821929478522 3.5750980964767317e-16 1.0 1.0 1.0 0.0 9.308586712776535e-15 1.0 1.0 1.0 0.0 3.565546345564804e-16 1.0 1.0 1.0 0.0 9.308586712776535e-15 1.0 1.0 1.0 0.0 1.4350715152871044e-24 5942.574955414761 1.7407953877230707e8
900 13139.209154279139 14.607821929478513 3.6317318215117435e-16 1.0 1.0 1.0 0.0 9.308586712776535e-15 1.0 1.0 1.0 0.0 3.622046043122398e-16 1.0 1.0 1.0 0.0 9.308586712776535e-15 1.0 1.0 1.0 0.0 1.4585844901066088e-24 5942.574955414761 1.7407953877230707e8
950 13869.600250753025 14.607821929478504 3.688911769372628e-16 1.0 1.0 1.0 0.0 9.308586712776535e-15 1.0 1.0 1.0 0.0 3.6790610085587213e-16 1.0 1.0 1.0 0.0 9.308586712776535e-15 1.0 1.0 1.0 0.0 1.510736491128069e-24 5942.574955414761 1.7407953877230707e8
1000 14599.99134722691 14.607821929478497 3.7472901240180093e-16 1.0 1.0 1.0 0.0 9.308586712776535e-15 1.0 1.0 1.0 0.0 3.737330088452173e-16 1.0 1.0 1.0 0.0 9.308586712776535e-15 1.0 1.0 1.0 0.0 1.567234492234651e-24 5942.574955414761 1.7407953877230707e8
1050 15330.382443700797 14.60782192947849 3.798924638116167e-16 1.0 1.0 1.0 0.0 9.308586712776535e-15 1.0 1.0 1.0 0.0 3.78883501337935e-16 1.0 1.0 1.0 0.0 9.308586712776535e-15 1.0 1.0 1.0 0.0 1.5624427485510554e-24 5942.574955414761 1.7407953877230707e8
1100 16060.773540174683 14.607821929478485 3.856812783216224e-16 1.0 1.0 1.0 0.0 9.308586712776534e-15 1.0 1.0 1.0 0.0 3.846467222642152e-16 1.0 1.0 1.0 0.0 9.308586712776534e-15 1.0 1.0 1.0 0.0 1.6157091085687007e-24 5942.574955414761 1.7407953877230707e8
1150 16791.16463664862 14.607821929478483 3.913400907894113e-16 1.0 1.0 1.0 0.0 9.308586712776534e-15 1.0 1.0 1.0 0.0 3.9030025240132e-16 1.0 1.0 1.0 0.0 9.308586712776534e-15 1.0 1.0 1.0 0.0 1.5871815182663634e-24 5942.574955414761 1.7407953877230707e8
1200 17513.725150871673 14.60782192947848 3.963006951239428e-16 1.0 1.0 1.0 0.0 9.308586712776534e-15 1.0 1.0 1.0 0.0 3.9524755045456937e-16 1.0 1.0 1.0 0.0 9.308586712776534e-15 1.0 1.0 1.0 0.0 1.8061530610167254e-24 5942.574955414761 1.7407953877230707e8
1250 18244.11624734565 14.607821929478474 4.0185708489548127e-16 1.0 1.0 1.0 0.0 9.308586712776534e-15 1.0 1.0 1.0 0.0 4.007968774991478e-16 1.0 1.0 1.0 0.0 9.308586712776534e-15 1.0 1.0 1.0 0.0 1.708312341151678e-24 5942.574955414761 1.7407953877230707e8
1300 18974.507343819627 14.607821929478474 4.0766272214431066e-16 1.0 1.0 1.0 0.0 9.308586712776534e-15 1.0 1.0 1.0 0.0 4.0658115822317086e-16 1.0 1.0 1.0 0.0 9.308586712776534e-15 1.0 1.0 1.0 0.0 1.706529366757782e-24 5942.574955414761 1.7407953877230707e8
1350 19704.898440293604 14.60782192947847 4.127444666155412e-16 1.0 1.0 1.0 0.0 9.461186494953199e-15 1.0 1.0 1.0 0.0 4.11650971556699e-16 1.0 1.0 1.0 0.0 9.461186494953199e-15 1.0 1.0 1.0 0.0 1.7862060349850127e-24 5942.574955414761 1.7407953877230707e8
1400 20435.28953676758 14.60782192947847 4.1798741678869254e-16 1.0 1.0 1.0 0.0 9.613786277129863e-15 1.0 1.0 1.0 0.0 4.1688056490170796e-16 1.0 1.0 1.0 0.0 9.613786277129863e-15 1.0 1.0 1.0 0.0 1.8481643951729016e-24 5942.574955414761 1.7407953877230707e8
1450 21165.680633241558 14.60782192947847 4.240151110516888e-16 1.0 1.0 1.0 0.0 9.613786277129863e-15 1.0 1.0 1.0 0.0 4.228878891897452e-16 1.0 1.0 1.0 0.0 9.613786277129863e-15 1.0 1.0 1.0 0.0 1.8627624980229257e-24 5942.574955414761 1.7407953877230707e8
1500 21896.071729715535 14.607821929478469 4.293371047330462e-16 1.0 1.0 1.0 0.0 9.766386059306526e-15 1.0 1.0 1.0 0.0 4.282003159980573e-16 1.0 1.0 1.0 0.0 9.766386059306526e-15 1.0 1.0 1.0 0.0 1.894187421715344e-24 5942.574955414761 1.7407953877230707e8
1550 22626.462826189512 14.607821929478465 4.349059079199188e-16 1.0 1.0 1.0 0.0 9.918985841483192e-15 1.0 1.0 1.0 0.0 4.3375675962779335e-16 1.0 1.0 1.0 0.0 9.918985841483192e-15 1.0 1.0 1.0 0.0 1.9795473208231186e-24 5942.574955414761 1.7407953877230707e8
1600 23356.85392266349 14.607821929478465 4.404972824738866e-16 1.0 1.0 1.0 0.0 1.0071585623659857e-14 1.0 1.0 1.0 0.0 4.393313814192677e-16 1.0 1.0 1.0 0.0 1.0071585623659857e-14 1.0 1.0 1.0 0.0 1.9376474225665608e-24 5942.574955414761 1.7407953877230707e8
1650 24087.245019137466 14.607821929478455 4.460683989006319e-16 1.0 1.0 1.0 0.0 1.0071585623659857e-14 1.0 1.0 1.0 0.0 4.448843486698005e-16 1.0 1.0 1.0 0.0 1.0071585623659857e-14 1.0 1.0 1.0 0.0 1.988239320993362e-24 5942.574955414761 1.7407953877230707e8
