#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 l2_H l2_vcon1 l2_vcon2 linf_H linf_vcon1 linf_vcon2 dsdu_ut mass entropy pot_enst 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.1365497847526454e-11 9522.996513302529 4.6255238260312957e8 1.1073034970524909e-12
50 1010.9077726193367 20.21249161962101 0.0003142044298403722 0.004466869713031028 0.010672956694925574 0.001248517106731758 0.006174589985676564 0.00869233446523433 0.0003142044298403722 0.004638245400543696 0.010624551719989763 0.001248517106731758 0.007258578985910264 0.009139907991844018 -1.024407336953216e-11 9522.9965133024 4.625523826031213e8 1.1073035299939068e-12
100 2021.182522006389 20.19844951426525 0.0005810902088827897 0.008996453760500633 0.021345572954920865 0.002248215756931051 0.01262826661718095 0.017616784294549902 0.0005810902088827897 0.009324533407082081 0.021225630134743913 0.002248215756931051 0.014843513419145339 0.018516139728565563 -1.0792224821693777e-11 9522.996513302323 4.625523826031312e8 1.1073035648728817e-12
150 3030.729998559805 20.18389958420282 0.0007784008020241929 0.013609253590469862 0.031985059298699874 0.002812498991475423 0.019223177174542534 0.026581223260228534 0.0007784008020241929 0.01406478520470552 0.03175650674511883 0.002812498991475423 0.022594482977526916 0.027932381895190758 -1.2330348213206371e-11 9522.996513302329 4.625523826031341e8 1.1073035632215642e-12
200 4039.595728610474 20.171511715518548 0.0009286530329315954 0.018273928567500337 0.04251412690931484 0.002914813599588341 0.02579858465282316 0.035386949449036684 0.0009286530329315954 0.01881330622978362 0.04213932485333763 0.002914813599588341 0.030324327557282784 0.03718696523532792 -1.0267830014644202e-11 9522.996513302287 4.625523826031184e8 1.1073035775434743e-12
250 5047.933037759605 20.16281057022789 0.0010989444280714359 0.02293660150094691 0.052839488433676814 0.002623729674705303 0.03219383286615103 0.04385628213658746 0.0010989444280714359 0.02350361377269121 0.05229154383237516 0.002623729674705303 0.03784539567131202 0.04609986099504686 -1.0295896087580578e-11 9522.996513302387 4.625523826031186e8 1.107303599418476e-12
300 6055.930753707276 20.15771732099393 0.0013582931206929155 0.027556816584627247 0.06289677814313967 0.002415965831132481 0.03827227432091767 0.0518572749406114 0.0013582931206929155 0.028087969731870485 0.06216499130731556 0.002415965831132481 0.04499730472364127 0.054536435796357426 -1.0157176948754545e-11 9522.996513302372 4.6255238260313153e8 1.107303613666211e-12
350 7063.739050001257 20.154901699499487 0.0017250113696205074 0.03212044948744056 0.07268306728452062 0.0034225264304429404 0.04394081501214438 0.05933114600629758 0.0017250113696205074 0.032554586475242946 0.07177197184852135 0.0034225264304429404 0.051669925246449346 0.06243448587130276 -9.668733310272095e-12 9522.996513302314 4.6255238260312134e8 1.1073036348818799e-12
400 8071.425995185679 20.152555700677006 0.002172667704638551 0.03662526840817864 0.08225876255755131 0.004563173300272015 0.049162548097922545 0.0663128332763077 0.002172667704638551 0.03691511666904862 0.08118246103685324 0.004563173300272015 0.05781854975389822 0.06982516643994242 -1.1241940069212344e-11 9522.996513302269 4.625523826031216e8 1.1073036577359797e-12
450 9063.150404205446 20.149227065104746 0.0026585536801078703 0.04098999389938403 0.09157314845068322 0.005638025585939106 0.05388591118681985 0.0728334138270777 0.0026585536801078703 0.04111386797085344 0.09034979750267197 0.005638025585939106 0.06338097773026817 0.07673059048335117 -1.0052849561036939e-11 9522.99651330239 4.625523826031254e8 1.1073036564745069e-12
500 10070.48861451845 20.14410102043503 0.003172807838409739 0.045324316983661746 0.10102157104566416 0.006625928589904723 0.05833150653670121 0.07931055970858254 0.003172807838409739 0.045281069880359334 0.0996593503840604 0.006625928589904723 0.06861582382063086 0.08358031381367435 -1.0960435660785008e-11 9522.996513302374 4.6255238260311943e8 1.1073036212844463e-12
550 11077.52798874445 20.137401065582154 0.0036908079622975797 0.0495215991636415 0.11053140945581094 0.007497611973214173 0.06252403981210279 0.08588295626885643 0.0036908079622975797 0.04933675415015261 0.10903102326881695 0.007497611973214173 0.07355166648699667 0.09051046774507703 -1.095312543716032e-11 9522.996513302314 4.625523826031232e8 1.1073035717942633e-12
600 12084.208987774553 20.12994760986001 0.004198561494569231 0.05355867148524586 0.12015001905441067 0.008769775159384133 0.0665830413415377 0.09276527140904965 0.004198561494569231 0.053276962790716066 0.11850133587055091 0.008769775159384133 0.07832950647579526 0.0977440280997372 -1.0493964033421528e-11 9522.996513302309 4.625523826031229e8 1.1073035577821194e-12
650 13090.519538120514 20.122729464747955 0.004681948197392977 0.05744005897295565 0.12990179883088376 0.010044165898292363 0.07063053336845777 0.10008481810002348 0.004681948197392977 0.05711947692549116 0.12808684502627038 0.010044165898292363 0.083093718967498 0.10542020045720339 -1.1432811853706447e-11 9522.996513302433 4.625523826031254e8 1.107303595788503e-12
700 14096.490523081631 20.1164106620635 0.0051276041945284385 0.06120020387134588 0.1397965260614671 0.011136113277347441 0.07478402143263693 0.10784917205215071 0.0051276041945284385 0.06090530720401643 0.13779558055302046 0.011136113277347441 0.08798317669795774 0.11355903511294713 -1.0750913488040505e-11 9522.996513302367 4.625523826031162e8 1.1073036462987422e-12
750 15102.170828274224 20.111034564291586 0.005526377118905499 0.06489512011700052 0.14983314395936911 0.011938041685316612 0.07915234709533212 0.11595299236351532 0.005526377118905499 0.06468938451409637 0.14763231914401612 0.011938041685316612 0.09312572302350942 0.12206428653773722 -9.509605210154112e-12 9522.99651330225 4.6255238260312647e8 1.1073036843811543e-12
800 16107.59526032704 20.10603576547112 0.0058761928060114795 0.0685909809113294 0.15999923082472742 0.012459896786623384 0.08383027604700202 0.1242163391276192 0.0058761928060114795 0.06852885135468999 0.15759728921379287 0.012459896786623384 0.0986314820213006 0.1307580382573444 -1.0154184073564326e-11 9522.996513302392 4.625523826031187e8 1.1073037079593575e-12
850 17112.760729224017 20.10053535511973 0.006181975843273093 0.072356344287858 0.1702696571398146 0.012632655019554276 0.08888506534885306 0.1324444305795705 0.006181975843273093 0.0724767502851495 0.16768172341698143 0.012632655019554276 0.10457734550017755 0.13943894845793198 -1.0183750844060164e-11 9522.996513302276 4.6255238260313225e8 1.107303710470032e-12
900 18103.965019536066 20.09386920771793 0.00644922836843648 0.0762037105716846 0.18046604510361494 0.012619441364799736 0.09426326966328817 0.14037789509161336 0.00644922836843648 0.07652401785894565 0.17772452405223552 0.012619441364799736 0.11089837164355269 0.1478277554310798 -1.0724957168730644e-11 9522.996513302338 4.62552382603121e8 1.1073037004486296e-12
950 19108.45379370608 20.085613862918866 0.006694829422323164 0.08029692807310412 0.19082175968615597 0.012865759321013193 0.1000768399386141 0.14816400062849272 0.006694829422323164 0.08082194692459352 0.18796459154036535 0.012865759321013193 0.11772515956659016 0.1560677464590351 -1.0900946809063263e-11 9522.996513302389 4.625523826031216e8 1.1073037152473395e-12
1000 20112.500326209618 20.076341649703537 0.006923649894194876 0.08462209966059563 0.20114091861915115 0.013503019438978237 0.1062901387110233 0.15570433768109693 0.006923649894194876 0.08533870619618868 0.1982097318890901 0.013503019438978237 0.12485653146011967 0.1640395274873271 -1.0385934932636855e-11 9522.996513302358 4.625523826031225e8 1.1073037574716725e-12
1050 21116.079967833062 20.067149816119322 0.007144384885194712 0.0891833122938151 0.21136499563261338 0.014019081835073815 0.11234789530746322 0.16306908823781227 0.007144384885194712 0.09006656710584901 0.2083937456321776 0.014019081835073815 0.1321183010734097 0.17180494059738868 -1.0972686671855846e-11 9522.99651330232 4.625523826031192e8 1.1073037956611769e-12
1100 22119.229247636384 20.05929058428545 0.007366866309642132 0.09394548500033227 0.22144058002764974 0.014384978182103403 0.1184799119106682 0.1703398152177589 0.007366866309642132 0.09496109608784706 0.21844867083299963 0.014384978182103403 0.13931836336211592 0.17944556151324834 -1.0485998617767821e-11 9522.996513302262 4.6255238260312337e8 1.1073038092539972e-12
1150 23122.038479135437 20.053573852350915 0.0076017169991245605 0.09884249549020756 0.23133030621090167 0.014623817355766951 0.12442181680758967 0.1775695689981314 0.0076017169991245605 0.09994845430910733 0.22831940775217188 0.014623817355766951 0.14629317602201503 0.18702200587706103 -1.0687806706796151e-11 9522.996513302478 4.6255238260313064e8 1.1073037931240867e-12
1200 24124.61694501478 20.049924814716505 0.007858189788093616 0.10379498676540176 0.24102423122286729 0.014800510285303846 0.13008559650809826 0.18476941109164516 0.007858189788093616 0.10494361672548229 0.23797909093253886 0.014800510285303846 0.1529444526286274 0.19455737562751205 -1.002572146116018e-11 9522.996513302262 4.6255238260312957e8 1.107303779442495e-12
1250 25127.04665814224 20.04738894907048 0.008141588381126297 0.1087291839288378 0.2505475639526434 0.015382658362777595 0.1354539876666026 0.19192439110953502 0.008141588381126297 0.10987043436864954 0.24744010076672585 0.015382658362777595 0.15924980670874023 0.20204935662148255 -1.1007679618715282e-11 9522.996513302505 4.625523826031202e8 1.1073037993925902e-12
1300 26120.449309644948 20.044642468506318 0.008449138551854711 0.11354634277918574 0.2598777702528035 0.016488420736666506 0.1405197698180608 0.19896492518953945 0.008449138551854711 0.11463261917193164 0.25667421090145076 0.016488420736666506 0.16519726308248098 0.2094353002301424 -1.1234032191880685e-11 9522.996513302349 4.625523826031173e8 1.1073038605747738e-12
