#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 l2_H l2_vcon1 l2_vcon2 linf_H linf_vcon1 linf_vcon2 dsdu_ut mass entropy pot_enst 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.131793618459553e-11 9522.996513302529 4.6255238260312957e8 1.1073034970524909e-12
50 1010.907787066317 20.212492077912028 0.00031420443399917867 0.004466869631998254 0.010672956291948954 0.0012485181501743976 0.006174628801004668 0.008692224872617288 0.00031420443399917867 0.004638245294706278 0.010624551222800574 0.0012485181501743976 0.007258633905465385 0.009139777532400402 -6.029663257085045e-10 9522.996513302332 4.625523826031193e8 1.1073035016477653e-12
100 2021.1825739746178 20.19845044019908 0.0005810902210422086 0.008996453867698569 0.02134557325835057 0.0022482132917051863 0.012628218438512397 0.0176163106795057 0.0005810902210422086 0.009324533505584792 0.02122563039642089 0.0022482132917051863 0.014843467195696783 0.018515612862401238 -5.79024368136378e-10 9522.996513302342 4.625523826031225e8 1.1073035039926356e-12
150 3030.7300659975353 20.18389946500922 0.0007784008128601581 0.013609253878699918 0.03198505904750286 0.0028123256321881877 0.019222944766994435 0.026580230127991007 0.0007784008128601581 0.014064785461404116 0.03175650633709966 0.0028123256321881877 0.022594219930651725 0.02793131044816306 -6.338303391983794e-10 9522.996513302322 4.625523826031124e8 1.107303504613385e-12
200 4039.5958241332974 20.171512746868668 0.0009286530459980361 0.018273928870497495 0.0425141273689333 0.0029146936647419038 0.025798186478383087 0.03538595121561985 0.0009286530459980361 0.018813306500308644 0.04213932505338483 0.0029146936647419038 0.030323869719961576 0.03718588862938955 -7.028497900684458e-10 9522.996513302262 4.625523826031091e8 1.1073035034935179e-12
250 5047.9330963555885 20.16280727568033 0.0010989444397293048 0.02293660180923136 0.05283948891241532 0.002623735550133063 0.0321935341455746 0.04385533464440244 0.0010989444397293048 0.023503614056832784 0.05229154446078349 0.002623735550133063 0.03784505546836193 0.0460988351206213 -8.097162869490137e-10 9522.996513302436 4.6255238260312355e8 1.10730350133263e-12
300 6055.9305665853035 20.15771224885717 0.0013582930628901365 0.02755681551039539 0.06289677652944478 0.0024160523473427888 0.03827214605591452 0.051856378958816285 0.0013582930628901365 0.028087968554235912 0.06216498967835299 0.0024160523473427888 0.04499716647900582 0.054535469309084914 -8.854779008426071e-10 9522.99651330238 4.625523826031146e8 1.1073034982881343e-12
350 7063.738681332964 20.15489940180818 0.0017250112194019335 0.03212044756860925 0.07268306401791184 0.003422477350605958 0.04394072411120662 0.059329964519583105 0.0017250112194019335 0.03255458455408608 0.0717719685983356 0.003422477350605958 0.051669830058340874 0.06243323110994998 -8.955020435745558e-10 9522.996513302433 4.625523826031211e8 1.1073034947119213e-12
400 8071.425515834585 20.152553046307858 0.0021726674780289967 0.036625265839200026 0.0822587590369568 0.004563142831016165 0.049162200225351234 0.06631101265134638 0.0021726674780289967 0.036915114053735945 0.08118245784851316 0.004563142831016165 0.05781815196302311 0.06982323873120383 -9.66023714016656e-10 9522.99651330241 4.6255238260311544e8 1.1073034911063899e-12
450 9063.150340500604 20.149224190375836 0.0026585536465534567 0.04098999318425975 0.0915731491165016 0.005637964235941015 0.053885498463151014 0.07283136933741564 0.0026585536465534567 0.041113867163616986 0.09034979822132629 0.005637964235941015 0.06338050272005265 0.07672842331975627 -1.1864869766680403e-9 9522.996513302427 4.625523826031144e8 1.10730348802117e-12
500 10070.48840789147 20.144097915634056 0.003172807730858475 0.04532431567969204 0.10102156936908617 0.006625879405602771 0.058331078642017524 0.07930879971906149 0.003172807730858475 0.045281068608370424 0.09965934879259512 0.006625879405602771 0.06861532994885439 0.08357846314835407 -1.184706232606551e-9 9522.996513302236 4.625523826031188e8 1.1073034856037629e-12
550 11077.527585314632 20.137396320659064 0.0036908077559436626 0.04952159710353666 0.11053140725211866 0.0074976707123476 0.06252416137530453 0.08588144472173884 0.0036908077559436626 0.049336752068897684 0.10903102120511418 0.0074976707123476 0.07355181759411726 0.09050888642982503 -1.0259546769085358e-9 9522.996513302394 4.6255238260311526e8 1.1073034841450703e-12
600 12084.208336800846 20.129942762927016 0.00419856117267706 0.05355866846536807 0.12015001368679487 0.008769744578914362 0.06658427950385024 0.09276403051790774 0.00419856117267706 0.05327695979962767 0.11850133074938826 0.008769744578914362 0.07833096920365845 0.09774273727669074 -1.1883545086807734e-9 9522.996513302358 4.625523826031221e8 1.1073034836664714e-12
650 13090.518616597312 20.122723084959432 0.004681947769443794 0.057440055523479826 0.1299017900138772 0.010044121295894165 0.07063319922761402 0.1000838512479436 0.004681947769443794 0.05711947358071708 0.12808683643486235 0.010044121295894165 0.08309685735891022 0.10541918818378347 -1.5894416045540502e-9 9522.996513302222 4.6255238260311574e8 1.107303484226585e-12
700 14096.489192746252 20.116400554804713 0.005127603634226892 0.061200198921386575 0.1397965134961518 0.011136121593687124 0.07478796281184354 0.10784896974901587 0.005127603634226892 0.06090530221034769 0.13779556819633734 0.011136121593687124 0.0879878110006499 0.11355881417874049 -1.4904912356105514e-9 9522.996513302336 4.625523826031169e8 1.107303485788339e-12
750 15102.168924182808 20.11102246564019 0.005526376410739199 0.0648951131983765 0.14983312425658485 0.011938035863442454 0.07915727604463944 0.1159535707587023 0.005526376410739199 0.06468937741585867 0.14763229993427937 0.011938035863442454 0.09313151483680468 0.12206487803973681 -1.095833851891985e-9 9522.996513302223 4.6255238260311186e8 1.1073034880070283e-12
800 16107.59280773699 20.10602626620768 0.005876192010352833 0.06859097218753217 0.15999920506159673 0.012459922844358488 0.0838354382100001 0.12421761744371806 0.005876192010352833 0.06852884239798923 0.1575972638931066 0.012459922844358488 0.09863754683933378 0.13075935428788255 -1.110989939040944e-9 9522.996513302258 4.62552382603106e8 1.1073034903624187e-12
850 17112.757849376376 20.10052697063492 0.006181975022533848 0.07235633384549492 0.17026962679729393 0.012632710779161059 0.08889004299050102 0.13244600938361045 0.006181975022533848 0.07247673933293426 0.1676816935562505 0.012632710779161059 0.10458319183437662 0.13944058123669462 -1.5315537981779719e-9 9522.996513302396 4.625523826031102e8 1.107303492391097e-12
900 18103.96465746085 20.09385997211102 0.0064492282748063075 0.0762037092092202 0.18046604070764966 0.012619443990738617 0.09426784343363817 0.14037914864930204 0.0064492282748063075 0.07652401647464029 0.1777245197567355 0.012619443990738617 0.11090374361534684 0.14782905027172755 -1.452200454591027e-9 9522.99651330241 4.6255238260310555e8 1.107303494162817e-12
