#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 l2_H l2_vcon1 l2_vcon2 linf_H linf_vcon1 linf_vcon2 dsdu_ut mass entropy pot_enst 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.6088066297511115e-12 9522.996513302529 4.6255238260312957e8 1.1073034970524909e-12
50 1010.9077682136491 20.212491543828232 0.00031420442849369674 0.004466869661543293 0.010672955965543386 0.0012485232206627115 0.006174174718241846 0.008691905006516006 0.00031420442849369674 0.004638245312938246 0.010624550874031753 0.0012485232206627115 0.007258123655136993 0.009139453477827984 1.021001033857713e-9 9522.996513302493 4.6255238260312474e8 1.1073034842417577e-12
100 2021.1825288044374 20.198449938501685 0.0005810902107098024 0.008996453612138555 0.021345572039954564 0.002248215704791615 0.012627535098693278 0.01761566144064675 0.0005810902107098024 0.009324533192869527 0.021225629080077475 0.002248215704791615 0.01484270104635863 0.01851494368471089 1.6253378029272338e-9 9522.99651330234 4.625523826031286e8 1.1073034698575659e-12
150 3030.730000274775 20.183899081886672 0.0007784008021308634 0.013609253506009302 0.031985057601815255 0.002812327091007855 0.019222091806484553 0.026579359897362584 0.0007784008021308634 0.014064785017553417 0.031756504770308 0.002812327091007855 0.022593258474655285 0.027930406340863245 1.9048119335814152e-9 9522.996513302309 4.6255238260312414e8 1.1073034554947735e-12
200 4039.595737776655 20.17151227651928 0.0009286530334087777 0.018273928158823526 0.04251412582042537 0.0029146912906681667 0.025797236331910806 0.03538492457417297 0.0009286530334087777 0.018813305668589346 0.042139323428579636 0.0029146912906681667 0.0303227986118462 0.03718481767060198 1.834888798130866e-9 9522.996513302314 4.625523826031265e8 1.1073034412342113e-12
250 5047.932977308214 20.162806408396072 0.0010989444151622001 0.02293660069626075 0.05283948700523652 0.0026237279528310534 0.03219249902158702 0.04385422008713113 0.0010989444151622001 0.023503612788775302 0.05229154246263726 0.0026237279528310534 0.03784388621728713 0.046097670798702875 1.6418205698460845e-9 9522.99651330228 4.6255238260313356e8 1.1073034274806857e-12
300 6055.930394159694 20.15771103449467 0.0013582930086894769 0.02755681393739937 0.06289677440554443 0.0024160421062989447 0.038271083145122634 0.05185519030634927 0.0013582930086894769 0.028087966797500714 0.06216498745058004 0.0024160421062989447 0.04499596578889131 0.054534225273772836 1.4315516261573229e-9 9522.99651330238 4.6255238260313165e8 1.107303414421442e-12
350 7063.738444253978 20.154898051003343 0.0017250111218683282 0.032120445428114305 0.0726830615011687 0.0034224778475512798 0.04393964221054911 0.05932870142979095 0.0017250111218683282 0.032554582201017236 0.07177196601145687 0.0034224778475512798 0.05166860665448778 0.06243190788052568 1.304846084160396e-9 9522.996513302356 4.6255238260313493e8 1.107303402376704e-12
400 8071.425212563405 20.152551803654394 0.0021726673346293235 0.03662526333608505 0.08225875623345157 0.0045631422082937825 0.04916111582777934 0.06630964652114524 0.0021726673346293235 0.03691511134014976 0.08118245497528902 0.0045631422082937825 0.05781692453622583 0.06982180630183353 1.380326551453706e-9 9522.99651330228 4.6255238260313535e8 1.1073033921156907e-12
450 9063.150317800964 20.149223138668493 0.0026585536349369204 0.04098999189960177 0.09157314910507144 0.005637957770796243 0.05388442258917212 0.07282987362931914 0.0026585536349369204 0.041113865622895714 0.09034979810710929 0.005637957770796243 0.0633792836514386 0.07672685346131064 1.757489752820722e-9 9522.99651330237 4.6255238260312706e8 1.1073033840826746e-12
500 10070.488335947832 20.144096995186782 0.0031728076935161353 0.045324314266933875 0.10102156894422457 0.00662587494989273 0.05833000203462715 0.07930717457753027 0.0031728076935161353 0.04528106696046525 0.09965934826626706 0.00662587494989273 0.06861410761209225 0.08357675653887457 2.2287335831436485e-9 9522.996513302312 4.625523826031381e8 1.1073033780270017e-12
550 11077.527469908588 20.13739549858894 0.003690807696918484 0.04952159562840935 0.1105314063974713 0.0074976699694651915 0.06252307174904455 0.08587973311416128 0.003690807696918484 0.0493367503748935 0.10903102026373693 0.0074976699694651915 0.07355057724989157 0.09050708830536754 2.3353126395854804e-9 9522.99651330247 4.6255238260314286e8 1.1073033737661447e-12
600 12084.208185502466 20.129942183569952 0.0041985610980944076 0.05355866700605232 0.12015001226191169 0.008769741966297455 0.06658314724279961 0.09276232568774564 0.0041985610980944076 0.053276958138462914 0.11850132923428269 0.008769741966297455 0.07832967588418221 0.09774094602318127 2.3328131129850015e-9 9522.99651330237 4.625523826031411e8 1.1073033707409816e-12
650 13090.518444703011 20.122722814414182 0.004681947689543175 0.0574400541256368 0.12990178795918209 0.010044125151532609 0.07063198354758864 0.10008226834150111 0.004681947689543175 0.05711947198097051 0.12808683427814505 0.010044125151532609 0.0830954632342071 0.10541752555023905 2.786043925716782e-9 9522.996513302307 4.6255238260315e8 1.107303368680936e-12
700 14096.489011722577 20.116400430837555 0.0051276035577387195 0.06120019759317291 0.13979651080927719 0.011136132786958759 0.07478661339046772 0.10784760143720092 0.0051276035577387195 0.06090530065816961 0.1377955653749226 0.011136132786958759 0.08798625711554556 0.11355737809008686 3.1983856118789083e-9 9522.996513302323 4.625523826031449e8 1.1073033675155063e-12
750 15102.16873697633 20.111022302173442 0.005526376341359236 0.06489511186476521 0.14983312089028444 0.011938039841758407 0.07915575093094107 0.11595245455208948 0.005526376341359236 0.06468937582265175 0.14763229638590555 0.011938039841758407 0.09312975213874344 0.12206370834636356 2.6013347127447414e-9 9522.99651330225 4.625523826031479e8 1.107303367288543e-12
800 16107.592606150758 20.106025841526947 0.005876191945172171 0.0685909707173926 0.159999200975811 0.012459928596974163 0.08383371339575423 0.12421672138693399 0.005876191945172171 0.06852884061442972 0.15759725957314127 0.012459928596974163 0.09863554708665946 0.13075841742416724 1.3218593258736506e-9 9522.996513302345 4.625523826031525e8 1.1073033680023718e-12
850 17112.757621886452 20.100526418054976 0.006181974957411424 0.07235633213529435 0.17026962201298834 0.012632717686453973 0.08888813388091524 0.13244525331561866 0.006181974957411424 0.0724767372452466 0.16768168846602852 0.012632717686453973 0.10458097288442687 0.13943979271482265 9.074204026022704e-10 9522.996513302342 4.625523826031526e8 1.1073033696778691e-12
900 18103.96463872053 20.09385962467448 0.006449228269636562 0.07620370810751273 0.18046603787107313 0.012619464772449848 0.09426581421075467 0.1403784292683328 0.006449228269636562 0.07652401497514685 0.1777245165173397 0.012619464772449848 0.11090138047543772 0.14782830067034275 1.7515775154765202e-9 9522.9965133023 4.6255238260315776e8 1.1073033725498893e-12
950 19108.452933807064 20.08560422213526 0.006694829218300326 0.08029692348506157 0.19082174774114793 0.012865663861432843 0.10007924135240151 0.1481637869323859 0.006694829218300326 0.08082194180306765 0.18796457923155144 0.012865663861432843 0.1177279964314207 0.15606750972603647 2.648819655944945e-9 9522.996513302225 4.6255238260315114e8 1.1073033769346842e-12
1000 20112.498974939597 20.076331405931015 0.006923649592577733 0.08462209264586841 0.2011409021886775 0.013503016273223273 0.10628982556424434 0.15570355648439918 0.006923649592577733 0.0853386984562588 0.1982097151032108 0.013503016273223273 0.1248597348139473 0.1640387108300742 3.353861122029226e-9 9522.996513302382 4.625523826031627e8 1.1073033822829209e-12
1050 21116.078083381264 20.067138895075875 0.007144384472002388 0.08918330230323854 0.21136497434140614 0.014019091099882986 0.11234947362376867 0.1630681336841494 0.007144384472002388 0.09006655633082063 0.2083937240146469 0.014019091099882986 0.13212196022604025 0.1718039442726812 4.297524375189464e-9 9522.996513302276 4.6255238260316664e8 1.1073033871000538e-12
1100 22119.22680861035 20.059278814787 0.007366865757254714 0.09394547123109773 0.22144055378793698 0.014385033292722598 0.11848253382360824 0.17033904824414656 0.007366865757254714 0.09496108144356598 0.21844864421478813 0.014385033292722598 0.1393214462584263 0.17944475519080774 5.04759198124534e-9 9522.996513302365 4.6255238260316586e8 1.1073033895653533e-12
1150 23122.035357151308 20.053558187417863 0.0076017162372368045 0.09884247768957834 0.231330273801089 0.014623884320035207 0.12442286440684984 0.1775691474210852 0.0076017162372368045 0.09994843550265951 0.2283193748715 0.014623884320035207 0.14629440676266744 0.18702155148084912 4.740769509976372e-9 9522.996513302245 4.625523826031823e8 1.107303388483706e-12
1200 24124.612957881287 20.04990676685442 0.007858188715998155 0.10379496432549397 0.2410241905515354 0.014800548192191006 0.13008439632236937 0.1847691050968576 0.007858188715998155 0.10494359337064577 0.2379790497627416 0.014800548192191006 0.15294304013608873 0.19455703485643172 3.881800130218995e-9 9522.996513302316 4.6255238260317165e8 1.1073033838510764e-12
1250 25127.041837785422 20.047374092276492 0.008141586952089419 0.10872915633491967 0.2505475161962711 0.015382519586072401 0.1354507269330628 0.19192381140493578 0.008141586952089419 0.10987040594335673 0.24744005247283668 0.015382519586072401 0.15924597065305507 0.20204872509686428 3.5127759607762355e-9 9522.99651330234 4.625523826031806e8 1.107303376354867e-12
1300 26120.449189661016 20.044630508582028 0.008449138513950757 0.1135463376237408 0.25987776623581016 0.016488340057211753 0.14051542597476205 0.19896437127422723 0.008449138513950757 0.11463261277406643 0.2566742059016021 0.016488340057211753 0.16519215194354628 0.209434702974026 3.7045801240602166e-9 9522.996513302322 4.62552382603183e8 1.1073033670602563e-12
1350 27122.433455894305 20.033966950638984 0.008782135167695534 0.11829619591394544 0.2692677330870206 0.017527940821053835 0.14543905317836064 0.20605270805706602 0.008782135167695534 0.11928453133271026 0.2659326111538916 0.017527940821053835 0.17096621986561622 0.21688917146809716 4.002790670503816e-9 9522.996513302296 4.6255238260318244e8 1.107303357006409e-12
1400 28123.793741766716 20.02037712719942 0.009131834586988944 0.12291239371954006 0.27872935540027677 0.018431112070144542 0.15026050581491243 0.2132204548912271 0.009131834586988944 0.12376871905102467 0.2752340406425513 0.018431112070144542 0.17661068076318198 0.22444291282564602 4.245485008736998e-9 9522.99651330236 4.625523826031897e8 1.1073033472782818e-12
1450 29124.432285069008 20.00533482394009 0.009492676655875845 0.127380180546283 0.28834966584668964 0.019198622110549148 0.15506835724851742 0.22061061047667416 0.009492676655875845 0.12808111841562103 0.2846759381784317 0.019198622110549148 0.1822281439589263 0.2322381139346955 4.349619007387215e-9 9522.996513302433 4.6255238260320175e8 1.1073033382523806e-12
1500 30124.311581705788 19.990249663264184 0.009860194668319291 0.13168880229323848 0.29818667670975635 0.019831399021069025 0.15994079973314224 0.22837175016148298 0.009860194668319291 0.13222346548984862 0.29432825489035347 0.019831399021069025 0.1879113672879855 0.2404205603950432 4.237300552842641e-9 9522.996513302318 4.6255238260320324e8 1.1073033305048228e-12
1550 31123.462557731502 19.976325759020636 0.010229865949217981 0.13583399866516999 0.3082595391159597 0.020404699031673117 0.1649316091551773 0.23660458375462282 0.010229865949217981 0.136205831809888 0.30422040252275606 0.020404699031673117 0.19372665787705623 0.2490871188302724 4.085321754749668e-9 9522.996513302329 4.625523826032067e8 1.107303325549011e-12
1600 32121.958590919417 19.964028697486327 0.010595692246699122 0.13982259660172372 0.3185490875120303 0.020981060320083393 0.17073752139407966 0.24532082068379785 0.010595692246699122 0.14005098846397981 0.31433914837758836 0.020981060320083393 0.19970204837002203 0.25824532090814245 3.897280069936539e-9 9522.996513302212 4.625523826032183e8 1.1073033246204665e-12
1650 33119.87689081315 19.953104366234307 0.010950299696859579 0.14367431882851806 0.32900561061207767 0.021572567564639877 0.17651433699659125 0.2544319343870712 0.010950299696859579 0.14379512079686999 0.3246353492904482 0.021572567564639877 0.20582789271047203 0.2678025871682638 3.5043102226548325e-9 9522.996513302276 4.625523826032106e8 1.1073033282565459e-12
1700 34117.27132505427 19.94295196551098 0.011287143920460917 0.14741894281711446 0.33955911115287485 0.022216342786245905 0.18214287312694666 0.26376910110701957 0.011287143920460917 0.14748280391166235 0.3350351945132514 0.022216342786245905 0.21220125802787063 0.2775862185956253 3.0429949139631226e-9 9522.996513302154 4.625523826032153e8 1.1073033373014935e-12
1750 35098.26529577221 19.933162840725096 0.011598638945533398 0.15103334648428773 0.34996099628968375 0.02286422969142145 0.18764288331087847 0.27297594735066427 0.011598638945533398 0.1511006193974117 0.34528688808012176 0.02286422969142145 0.2186004993886373 0.28722879739717416 2.8674555661756966e-9 9522.996513302349 4.6255238260322464e8 1.1073033520933502e-12
1800 36094.66737556031 19.923086200226496 0.011897583204856272 0.15467253521858143 0.3604685850841456 0.023532638752447384 0.1933193226601479 0.2821542060251919 0.011897583204856272 0.15480693663374245 0.3556385320540954 0.023532638752447384 0.22524082192764686 0.2968416826664214 3.2770122912984933e-9 9522.996513302287 4.6255238260321605e8 1.1073033725683554e-12
1850 37090.559931000076 19.9127867654125 0.012185895864272213 0.15832098198199365 0.37084038043548745 0.02416718864094621 0.199171444017039 0.29100405430987697 0.012185895864272213 0.15858191170447056 0.3658505276726982 0.02416718864094621 0.23210632582073384 0.3061129091789047 4.266984202157008e-9 9522.996513302392 4.6255238260323524e8 1.107303397829288e-12
1900 38085.93279429176 19.902315176741144 0.01247218686469113 0.16203021060817327 0.38101935598792913 0.024725495957331495 0.20520016883805914 0.29944727401600896 0.01247218686469113 0.16246490174018835 0.3758704818831241 0.024725495957331495 0.23918626846302374 0.31495943302182905 5.216745093549124e-9 9522.996513302367 4.6255238260323435e8 1.107303427454494e-12
1950 39080.77909810845 19.891730762905457 0.012763633491515096 0.1658580356946304 0.39096812855789537 0.025190243985929152 0.21130499078192044 0.30747566093709466 0.012763633491515096 0.16649622513039175 0.38567007556202415 0.025190243985929152 0.24635763418139744 0.3233694820610868 5.757910978560868e-9 9522.996513302287 4.625523826032356e8 1.1073034602814486e-12
2000 40075.09283224223 19.880999610005272 0.013064703365144197 0.16986030535149263 0.4006686309971115 0.025571596254983404 0.21731561701288712 0.3151283698169005 0.013064703365144197 0.17071145647566097 0.3952420251658766 0.025571596254983404 0.25341982976898886 0.331380724849298 6.122329502512784e-9 9522.996513302372 4.625523826032497e8 1.1073034947918699e-12
2050 41068.86344420885 19.869983402813293 0.013377624767915463 0.1740783334222019 0.41011947564894713 0.02595771876210338 0.22305978761956782 0.32246122928803894 0.013377624767915463 0.17513138070282028 0.40459357727358775 0.02595771876210338 0.26016825184425874 0.33904975846752444 6.06262610352008e-9 9522.996513302329 4.625523826032516e8 1.107303530279404e-12
2100 42062.072595682635 19.858531136476596 0.01370351143393838 0.1785269803918661 0.41933423030032907 0.02633541295628884 0.22843593597103504 0.32952389014058986 0.01370351143393838 0.17975250660352945 0.41374111221529547 0.02633541295628884 0.26647361640235284 0.34642871422823895 5.027633176472314e-9 9522.996513302456 4.6255238260324895e8 1.1073035665730407e-12
2150 43054.697063224914 19.84661803980515 0.01404292896552129 0.18318816757181255 0.4283424364670563 0.027104745174810867 0.23345574752780038 0.33635461069977624 0.01404292896552129 0.18454282721124568 0.42270899739451234 0.027104745174810867 0.2723301993689222 0.35355904085783124 3.744044127051153e-9 9522.996513302372 4.625523826032603e8 1.1073036030110513e-12
2200 44033.26346656931 19.834605012481525 0.014390739737841515 0.1879456669912016 0.437072825324985 0.02782922463027148 0.2381773279381311 0.3429008179033403 0.014390739737841515 0.18937755363470918 0.4314132617163001 0.02782922463027148 0.2777830634664325 0.3603872141433724 3.2229865580259072e-9 9522.996513302345 4.6255238260326165e8 1.1073036376271502e-12
2250 45024.68507399863 19.822565289573628 0.01475501707923776 0.19285649550234632 0.44583172582758057 0.028495948371240726 0.2429222432885342 0.3493891133837725 0.01475501707923776 0.19431460921325822 0.440141270898614 0.028495948371240726 0.28318459958883074 0.36714941121243494 3.0848484055444445e-9 9522.996513302345 4.6255238260327077e8 1.1073036690794538e-12
2300 46015.51942938728 19.81119342808722 0.015128528357621624 0.1977670956591921 0.45457995990011923 0.029118659163968916 0.247835995618815 0.35579253472667716 0.015128528357621624 0.1992038934146704 0.44883455700907926 0.029118659163968916 0.28869275537261474 0.3738155555764187 2.2951980999796455e-9 9522.996513302334 4.6255238260326344e8 1.107303694104677e-12
2350 47005.81344958137 19.801003781978245 0.015508376700533113 0.20258572321443985 0.4634055213955839 0.029744362341100554 0.2530958848441582 0.36219126804397267 0.015508376700533113 0.20396332385883784 0.45756503661242076 0.029744362341100554 0.29451570201993366 0.38046631096183947 1.451459904498642e-9 9522.99651330238 4.625523826032716e8 1.1073037105055909e-12
2400 47995.635595619664 19.79231355547666 0.01589154107986865 0.20723088967003436 0.47239123302087294 0.030401659978719887 0.2588050198459786 0.3686752369910367 0.01589154107986865 0.20852406708072369 0.4664074322535387 0.030401659978719887 0.3007887922443676 0.38719254081448684 9.716416294424031e-10 9522.996513302225 4.6255238260327625e8 1.10730371756846e-12
2450 48985.06051806622 19.7850248617626 0.016274196259118533 0.21164406738789715 0.4816041523196518 0.031469555685368605 0.2649714006039936 0.3753370050415959 0.016274196259118533 0.21284139948849612 0.4754311920414189 0.031469555685368605 0.3075470922494359 0.39408883472165823 7.557930969203339e-10 9522.996513302303 4.6255238260327446e8 1.1073037160884788e-12
2500 49974.143475447934 19.778455969310606 0.016650771040276475 0.21579912867924855 0.49108784387401605 0.0325181477229689 0.271508986032901 0.38226569472191946 0.016650771040276475 0.2169024916906445 0.4846925653814443 0.0325181477229689 0.3147215328000942 0.4012477269579802 -9.479121541743144e-11 9522.996513302245 4.6255238260327876e8 1.1073037075499332e-12
2550 50962.89102240324 19.771383511834856 0.017013937480071007 0.21970523567726263 0.5008579058387569 0.0334867884708414 0.27825908001348726 0.38954196444918204 0.017013937480071007 0.22072791806150258 0.4942270892308591 0.0334867884708414 0.3221586225627625 0.40875488369111684 -1.730211538288552e-9 9522.996513302376 4.625523826032733e8 1.10730369314566e-12
2600 51938.81466195096 19.762523304882432 0.017351919722120114 0.22335688563235262 0.5107721675672887 0.03433401590437645 0.28494068395302147 0.3985406502347639 0.017351919722120114 0.224321151598863 0.5039173929124252 0.03433401590437645 0.3295635004328823 0.41658125993870115 -4.1982932419386e-9 9522.99651330234 4.625523826032716e8 1.1073036740593256e-12
2650 52926.65078523671 19.750626454427948 0.017667670950893537 0.2269076060241796 0.5210393985730267 0.03506406350772981 0.29153004288160417 0.4087381736886142 0.017667670950893537 0.22783870365345313 0.5139850050148226 0.03506406350772981 0.3369220641021508 0.42497787329356346 -7.65162599149095e-9 9522.996513302342 4.6255238260326284e8 1.1073036508681275e-12
2700 53913.812604268016 19.73569498271152 0.01795462458415632 0.23038187185817938 0.5314627385102545 0.03566609294129702 0.29778310417346593 0.41905346880653616 0.01795462458415632 0.2313061539054686 0.5242469755111575 0.03566609294129702 0.3439738776081798 0.4338610415007102 -1.1752912177834173e-8 9522.996513302316 4.625523826032513e8 1.1073036243471118e-12
2750 54900.17154476228 19.71882558157585 0.018214601106700378 0.23385494911576216 0.5419469446520351 0.036182419405582304 0.30361310200802166 0.42911809178265403 0.018214601106700378 0.23479491453928106 0.5346096564478199 0.036182419405582304 0.3506303352401797 0.44372991507680937 -1.5589823516857396e-8 9522.996513302296 4.625523826032367e8 1.1073035935837989e-12
2800 55885.67908171751 19.702004988215826 0.018452533376636934 0.23739941721671584 0.5523835919884591 0.03662293604688098 0.3090326590678898 0.43861040655387884 0.018452533376636934 0.23837074586475623 0.5449582065468328 0.03662293604688098 0.35690844806253563 0.45375818331526097 -1.8508600145515243e-8 9522.996513302201 4.6255238260322547e8 1.1073035567531384e-12
